koid	org	name	op	definition	source
KO10051	298386	TU00161	PBPR_RS01550,PBPR_RS01555		23107454
KO10052	298386	TU00162	PBPR_RS01570,PBPR_RS01575		23107454
KO10053	298386	TU00163	PBPR_RS01640,PBPR_RS01645		23107454
KO10054	298386	TU00164	PBPR_RS01650,PBPR_RS01655		23107454
KO10055	298386	TU00165	PBPR_RS01675,PBPR_RS01680		23107454
KO10056	298386	TU00166	PBPR_RS01975,PBPR_RS01980		23107454
KO10057	298386	TU00167	PBPR_RS02070,PBPR_RS02075		23107454
KO10058	298386	TU00168	PBPR_RS02080,PBPR_RS02085		23107454
KO10059	298386	TU00169	PBPR_RS02185,PBPR_RS02190		23107454
KO10060	298386	TU00170	PBPR_RS02225,PBPR_RS02230		23107454
KO10061	298386	TU00171	PBPR_RS02250,PBPR_RS02255		23107454
KO10062	298386	TU00172	PBPR_RS02265,PBPR_RS02270		23107454
KO10063	298386	TU00173	PBPR_RS02280,PBPR_RS02285		23107454
KO10064	298386	TU00174	PBPR_RS02325,PBPR_RS02330		23107454
KO10065	298386	TU00175	PBPR_RS02340,PBPR_RS02345		23107454
KO10066	298386	TU00176	PBPR_RS02425,PBPR_RS02430		23107454
KO10067	298386	TU00177	PBPR_RS02490,PBPR_RS02495		23107454
KO10069	298386	TU00179	PBPR_RS02545,PBPR_RS02550		23107454
KO10071	298386	TU00181	PBPR_RS02760,PBPR_RS02765		23107454
KO10072	298386	TU00182	PBPR_RS02770,PBPR_RS02775		23107454
KO10073	298386	TU00183	PBPR_RS02815,PBPR_RS02820		23107454
KO10074	298386	TU00184	PBPR_RS02905,PBPR_RS02910		23107454
KO10075	298386	TU00185	PBPR_RS02950,PBPR_RS02955		23107454
KO10076	298386	TU00186	PBPR_RS02975,PBPR_RS02980		23107454
KO10078	298386	TU00188	PBPR_RS03035,PBPR_RS03040		23107454
KO10081	298386	TU00191	PBPR_RS03160,PBPR_RS03165		23107454
KO10082	298386	TU00192	PBPR_RS03170,PBPR_RS03175		23107454
KO10084	298386	TU00194	PBPR_RS03210,PBPR_RS03215		23107454
KO10085	298386	TU00195	PBPR_RS03385,PBPR_RS03390		23107454
KO10086	298386	TU00196	PBPR_RS03490,PBPR_RS03495		23107454
KO10087	298386	TU00197	PBPR_RS03515,PBPR_RS03520		23107454
KO10088	298386	TU00198	PBPR_RS03645,PBPR_RS03650		23107454
KO10089	298386	TU00199	PBPR_RS03660,PBPR_RS03665		23107454
KO10090	298386	TU00200	PBPR_RS03785,PBPR_RS03790		23107454
KO10091	298386	TU00201	PBPR_RS03845,PBPR_RS03850		23107454
KO10092	298386	TU00202	PBPR_RS04040,PBPR_RS04045		23107454
KO10093	298386	TU00203	PBPR_RS04075,PBPR_RS04080		23107454
KO10094	298386	TU00204	PBPR_RS04090,PBPR_RS04095		23107454
KO10095	298386	TU00205	PBPR_RS04135,PBPR_RS04140		23107454
KO10096	298386	TU00206	PBPR_RS04190,PBPR_RS04195		23107454
KO10097	298386	TU00207	PBPR_RS04230,PBPR_RS04235		23107454
KO10098	298386	TU00208	PBPR_RS04270,PBPR_RS04275		23107454
KO10099	298386	TU00209	PBPR_RS04290,PBPR_RS04295		23107454
KO10100	298386	TU00210	PBPR_RS04360,PBPR_RS04365		23107454
KO10101	298386	TU00211	PBPR_RS04535,PBPR_RS04540		23107454
KO10102	298386	TU00212	PBPR_RS04560,PBPR_RS04565		23107454
KO10103	298386	TU00213	PBPR_RS04615,PBPR_RS04620		23107454
KO10104	298386	TU00214	PBPR_RS04635,PBPR_RS04640		23107454
KO10105	298386	TU00215	PBPR_RS04665,PBPR_RS04670		23107454
KO10107	298386	TU00217	PBPR_RS04740,PBPR_RS04745		23107454
KO10108	298386	TU00218	PBPR_RS04870,PBPR_RS04875		23107454
KO10109	298386	TU00219	PBPR_RS04880,PBPR_RS04885		23107454
KO10110	298386	TU00220	PBPR_RS04930,PBPR_RS04935		23107454
KO10111	298386	TU00221	PBPR_RS05185,PBPR_RS05190		23107454
KO10112	298386	TU00222	PBPR_RS05230,PBPR_RS05235		23107454
KO10113	298386	TU00223	PBPR_RS05275,PBPR_RS05280		23107454
KO10114	298386	TU00224	PBPR_RS05305,PBPR_RS05310		23107454
KO10115	298386	TU00225	PBPR_RS05315,PBPR_RS05320		23107454
KO10116	298386	TU00226	PBPR_RS05350,PBPR_RS05355		23107454
KO10117	298386	TU00227	PBPR_RS05375,PBPR_RS05380		23107454
KO10118	298386	TU00228	PBPR_RS05455,PBPR_RS05460		23107454
KO10119	298386	TU00229	PBPR_RS05480,PBPR_RS05485		23107454
KO10120	298386	TU00230	PBPR_RS05645,PBPR_RS05650		23107454
KO10121	298386	TU00231	PBPR_RS05660,PBPR_RS05665		23107454
KO10122	298386	TU00232	PBPR_RS05675,PBPR_RS05680		23107454
KO10123	298386	TU00233	PBPR_RS05705,PBPR_RS05710		23107454
KO10124	298386	TU00234	PBPR_RS05805,PBPR_RS05810		23107454
KO10125	298386	TU00235	PBPR_RS05830,PBPR_RS05835		23107454
KO10126	298386	TU00236	PBPR_RS05860,PBPR_RS05865		23107454
KO10127	298386	TU00237	PBPR_RS05885,PBPR_RS05890		23107454
KO10129	298386	TU00239	PBPR_RS05985,PBPR_RS05990		23107454
KO10130	298386	TU00240	PBPR_RS06015,PBPR_RS06020		23107454
KO10131	298386	TU00241	PBPR_RS06070,PBPR_RS06075		23107454
KO10132	298386	TU00242	PBPR_RS06265,PBPR_RS06270		23107454
KO10133	298386	TU00243	PBPR_RS06740,PBPR_RS06745		23107454
KO10134	298386	TU00244	PBPR_RS06815,PBPR_RS06820		23107454
KO10135	298386	TU00245	PBPR_RS07265,PBPR_RS07270		23107454
KO10136	298386	TU00246	PBPR_RS07275,PBPR_RS07280		23107454
KO10137	298386	TU00247	PBPR_RS07330,PBPR_RS07335		23107454
KO10138	298386	TU00248	PBPR_RS07340,PBPR_RS07345		23107454
KO10139	298386	TU00249	PBPR_RS07355,PBPR_RS07360		23107454
KO10140	298386	TU00250	PBPR_RS07400,PBPR_RS07405		23107454
KO10141	298386	TU00251	PBPR_RS07425,PBPR_RS07430		23107454
KO10142	298386	TU00252	PBPR_RS07450,PBPR_RS07455		23107454
KO10143	298386	TU00253	PBPR_RS07460,PBPR_RS07465		23107454
KO10144	298386	TU00254	PBPR_RS07645,PBPR_RS07650		23107454
KO10145	298386	TU00255	PBPR_RS07840,PBPR_RS07845		23107454
KO10146	298386	TU00256	PBPR_RS07905,PBPR_RS07910		23107454
KO10147	298386	TU00257	PBPR_RS08115,PBPR_RS08120		23107454
KO10148	298386	TU00258	PBPR_RS08220,PBPR_RS08225		23107454
KO10149	298386	TU00259	PBPR_RS08790,PBPR_RS08795		23107454
KO10150	298386	TU00260	PBPR_RS08860,PBPR_RS08865		23107454
KO10152	298386	TU00262	PBPR_RS09020,PBPR_RS09025		23107454
KO10155	298386	TU00265	PBPR_RS09380,PBPR_RS09385		23107454
KO10156	298386	TU00266	PBPR_RS09415,PBPR_RS09420		23107454
KO10157	298386	TU00267	PBPR_RS09490,PBPR_RS09495		23107454
KO10158	298386	TU00268	PBPR_RS09500,PBPR_RS09505		23107454
KO10159	298386	TU00269	PBPR_RS09530,PBPR_RS09535		23107454
KO10160	298386	TU00270	PBPR_RS09800,PBPR_RS09805		23107454
KO10161	298386	TU00271	PBPR_RS09850,PBPR_RS09855		23107454
KO10162	298386	TU00272	PBPR_RS09910,PBPR_RS09915		23107454
KO10164	298386	TU00274	PBPR_RS10080,PBPR_RS10085		23107454
KO10165	298386	TU00275	PBPR_RS10320,PBPR_RS10325		23107454
KO10166	298386	TU00276	PBPR_RS10905,PBPR_RS10910		23107454
KO10167	298386	TU00277	PBPR_RS10925,PBPR_RS10930		23107454
KO10170	298386	TU00280	PBPR_RS11340,PBPR_RS11345		23107454
KO10171	298386	TU00281	PBPR_RS11435,PBPR_RS11440		23107454
KO10173	298386	TU00283	PBPR_RS12120,PBPR_RS12125		23107454
KO10174	298386	TU00284	PBPR_RS12130,PBPR_RS12135		23107454
KO10175	298386	TU00285	PBPR_RS12190,PBPR_RS12195		23107454
KO10176	298386	TU00286	PBPR_RS12385,PBPR_RS12390		23107454
KO10177	298386	TU00287	PBPR_RS12440,PBPR_RS12445		23107454
KO10178	298386	TU00288	PBPR_RS12625,PBPR_RS12630		23107454
KO10179	298386	TU00289	PBPR_RS12805,PBPR_RS12810		23107454
KO10180	298386	TU00290	PBPR_RS12980,PBPR_RS12985		23107454
KO10181	298386	TU00291	PBPR_RS13095,PBPR_RS13100		23107454
KO10182	298386	TU00292	PBPR_RS13415,PBPR_RS13420		23107454
KO10183	298386	TU00293	PBPR_RS13475,PBPR_RS13480		23107454
KO10184	298386	TU00294	PBPR_RS13485,PBPR_RS13490		23107454
KO10185	298386	TU00295	PBPR_RS13515,PBPR_RS13520		23107454
KO10187	298386	TU00297	PBPR_RS13590,PBPR_RS13595		23107454
KO10188	298386	TU00298	PBPR_RS13690,PBPR_RS13695		23107454
KO10189	298386	TU00299	PBPR_RS13770,PBPR_RS13775		23107454
KO10190	298386	TU00300	PBPR_RS13850,PBPR_RS13855		23107454
KO10191	298386	TU00301	PBPR_RS13930,PBPR_RS13935		23107454
KO10192	298386	TU00302	PBPR_RS13950,PBPR_RS13955		23107454
KO10193	298386	TU00303	PBPR_RS13970,PBPR_RS13975		23107454
KO10194	298386	TU00304	PBPR_RS14300,PBPR_RS14305		23107454
KO10196	298386	TU00306	PBPR_RS14475,PBPR_RS14480		23107454
KO10197	298386	TU00307	PBPR_RS14645,PBPR_RS14650		23107454
KO10198	298386	TU00308	PBPR_RS14655,PBPR_RS14660		23107454
KO10199	298386	TU00309	PBPR_RS14700,PBPR_RS14705		23107454
KO10200	298386	TU00310	PBPR_RS14725,PBPR_RS14730		23107454
KO10201	298386	TU00311	PBPR_RS14735,PBPR_RS14740		23107454
KO10202	298386	TU00312	PBPR_RS14745,PBPR_RS14750		23107454
KO10204	298386	TU00314	PBPR_RS14775,PBPR_RS14780		23107454
KO10205	298386	TU00315	PBPR_RS14805,PBPR_RS14810		23107454
KO10206	298386	TU00316	PBPR_RS14815,PBPR_RS14820		23107454
KO10207	298386	TU00317	PBPR_RS14835,PBPR_RS14840		23107454
KO10208	298386	TU00318	PBPR_RS14860,PBPR_RS14865		23107454
KO10209	298386	TU00319	PBPR_RS14870,PBPR_RS14875		23107454
KO10210	298386	TU00320	PBPR_RS14955,PBPR_RS14960		23107454
KO10211	298386	TU00321	PBPR_RS14995,PBPR_RS15000		23107454
KO10212	298386	TU00322	PBPR_RS15030,PBPR_RS15035		23107454
KO10213	298386	TU00323	PBPR_RS15135,PBPR_RS15140		23107454
KO10214	298386	TU00324	PBPR_RS15165,PBPR_RS15170		23107454
KO10215	298386	TU00325	PBPR_RS15180,PBPR_RS15185		23107454
KO10216	298386	TU00326	PBPR_RS15190,PBPR_RS15195		23107454
KO10217	298386	TU00327	PBPR_RS15210,PBPR_RS15215		23107454
KO10218	298386	TU00328	PBPR_RS15220,PBPR_RS15225		23107454
KO10219	298386	TU00329	PBPR_RS15250,PBPR_RS15255		23107454
KO10220	298386	TU00330	PBPR_RS15370,PBPR_RS15375		23107454
KO10221	298386	TU00331	PBPR_RS15680,PBPR_RS15685		23107454
KO10222	298386	TU00332	PBPR_RS15730,PBPR_RS15735		23107454
KO10223	298386	TU00333	PBPR_RS15740,PBPR_RS15745		23107454
KO10224	298386	TU00334	PBPR_RS15770,PBPR_RS15775		23107454
KO10226	298386	TU00336	PBPR_RS15905,PBPR_RS15910		23107454
KO10227	298386	TU00337	PBPR_RS15965,PBPR_RS15970		23107454
KO10228	298386	TU00338	PBPR_RS16015,PBPR_RS16020		23107454
KO10229	298386	TU00339	PBPR_RS16025,PBPR_RS16030		23107454
KO10230	298386	TU00340	PBPR_RS16155,PBPR_RS16160		23107454
KO10231	298386	TU00341	PBPR_RS16340,PBPR_RS16345		23107454
KO10232	298386	TU00342	PBPR_RS16405,PBPR_RS16410		23107454
KO10233	298386	TU00343	PBPR_RS16415,PBPR_RS16420		23107454
KO10234	298386	TU00344	PBPR_RS16440,PBPR_RS16445		23107454
KO10235	298386	TU00345	PBPR_RS16575,PBPR_RS16580		23107454
KO10236	298386	TU00346	PBPR_RS16590,PBPR_RS16595		23107454
KO10237	298386	TU00347	PBPR_RS16600,PBPR_RS16605		23107454
KO10238	298386	TU00348	PBPR_RS16795,PBPR_RS16800		23107454
KO10239	298386	TU00349	PBPR_RS16855,PBPR_RS16860		23107454
KO10240	298386	TU00350	PBPR_RS16910,PBPR_RS16915		23107454
KO10242	298386	TU00352	PBPR_RS16945,PBPR_RS16950		23107454
KO10243	298386	TU00353	PBPR_RS17020,PBPR_RS17025		23107454
KO10244	298386	TU00354	PBPR_RS17190,PBPR_RS17195		23107454
KO10245	298386	TU00355	PBPR_RS17290,PBPR_RS17295		23107454
KO10246	298386	TU00356	PBPR_RS17345,PBPR_RS17350		23107454
KO10247	298386	TU00357	PBPR_RS17380,PBPR_RS17385		23107454
KO10248	298386	TU00358	PBPR_RS17405,PBPR_RS17410		23107454
KO10249	298386	TU00359	PBPR_RS17415,PBPR_RS17420		23107454
KO10250	298386	TU00360	PBPR_RS17435,PBPR_RS17440		23107454
KO10251	298386	TU00361	PBPR_RS17565,PBPR_RS17570		23107454
KO10252	298386	TU00362	PBPR_RS17600,PBPR_RS17605		23107454
KO10253	298386	TU00363	PBPR_RS17690,PBPR_RS17695		23107454
KO10254	298386	TU00364	PBPR_RS17745,PBPR_RS17750		23107454
KO10255	298386	TU00365	PBPR_RS17900,PBPR_RS17905		23107454
KO10256	298386	TU00366	PBPR_RS18160,PBPR_RS18165		23107454
KO10257	298386	TU00367	PBPR_RS18265,PBPR_RS18270,PBPR_RS18275,PBPR_RS18280,PBPR_RS18285,PBPR_RS18290,PBPR_RS18295,PBPR_RS18300,PBPR_RS18305		23107454
KO10258	298386	TU00368	PBPR_RS01690,PBPR_RS01695,PBPR_RS01700,PBPR_RS01705,PBPR_RS01710,PBPR_RS01715,PBPR_RS01720,PBPR_RS01725		23107454
KO10261	298386	TU00371	PBPR_RS15630,PBPR_RS15635,PBPR_RS15640,PBPR_RS15645,PBPR_RS15650,PBPR_RS15655,PBPR_RS15660		23107454
KO10263	298386	TU00373	PBPR_RS04160,PBPR_RS04165,PBPR_RS04170,PBPR_RS04175,PBPR_RS04180,PBPR_RS04185		23107454
KO10264	298386	TU00374	PBPR_RS12910,PBPR_RS12915,PBPR_RS12920,PBPR_RS12925,PBPR_RS12930,PBPR_RS12935		23107454
KO10265	298386	TU00375	PBPR_RS16475,PBPR_RS16480,PBPR_RS16485,PBPR_RS16490,PBPR_RS16495,PBPR_RS16500		23107454
KO10266	298386	TU00376	PBPR_RS01750,PBPR_RS01755,PBPR_RS01760,PBPR_RS01765,PBPR_RS01770		23107454
KO10267	298386	TU00377	PBPR_RS05520,PBPR_RS05525,PBPR_RS05530,PBPR_RS05535,PBPR_RS05540		23107454
KO10268	298386	TU00378	PBPR_RS16130,PBPR_RS16135,PBPR_RS16140,PBPR_RS16145,PBPR_RS16150		23107454
KO10269	298386	TU00379	PBPR_RS16510,PBPR_RS16515,PBPR_RS16520,PBPR_RS16525,PBPR_RS16530		23107454
KO10270	298386	TU00380	PBPR_RS16615,PBPR_RS16620,PBPR_RS16625,PBPR_RS16630,PBPR_RS16635		23107454
KO10271	298386	TU00381	PBPR_RS16670,PBPR_RS16675,PBPR_RS16680,PBPR_RS16685,PBPR_RS16690		23107454
KO10272	298386	TU00382	PBPR_RS16995,PBPR_RS17000,PBPR_RS17005,PBPR_RS17010,PBPR_RS17015		23107454
KO10276	298386	TU00386	PBPR_RS01585,PBPR_RS01590,PBPR_RS01595,PBPR_RS01600		23107454
KO10277	298386	TU00387	PBPR_RS03700,PBPR_RS03705,PBPR_RS03710,PBPR_RS03715		23107454
KO10278	298386	TU00388	PBPR_RS03805,PBPR_RS03810,PBPR_RS03815,PBPR_RS03820		23107454
KO10279	298386	TU00389	PBPR_RS04305,PBPR_RS04310,PBPR_RS04315,PBPR_RS04320		23107454
KO10280	298386	TU00390	PBPR_RS04590,PBPR_RS04595,PBPR_RS04600,PBPR_RS04605		23107454
KO10281	298386	TU00391	PBPR_RS04680,PBPR_RS04685,PBPR_RS04690,PBPR_RS04695		23107454
KO10282	298386	TU00392	PBPR_RS05325,PBPR_RS05330,PBPR_RS05335,PBPR_RS05340		23107454
KO10283	298386	TU00393	PBPR_RS09305,PBPR_RS09310,PBPR_RS09315,PBPR_RS09320		23107454
KO10284	298386	TU00394	PBPR_RS12090,PBPR_RS12095,PBPR_RS12100,PBPR_RS12105		23107454
KO10285	298386	TU00395	PBPR_RS12120,PBPR_RS12125,PBPR_RS12130,PBPR_RS12135		23107454
KO10286	298386	TU00396	PBPR_RS13620,PBPR_RS13625,PBPR_RS13630,PBPR_RS13635		23107454
KO10287	298386	TU00397	PBPR_RS15455,PBPR_RS15460,PBPR_RS15465,PBPR_RS15470		23107454
KO10289	298386	TU00399	PBPR_RS16320,PBPR_RS16325,PBPR_RS16330,PBPR_RS16335		23107454
KO10290	298386	TU00400	PBPR_RS16365,PBPR_RS16370,PBPR_RS16375,PBPR_RS16380		23107454
KO10291	298386	TU00401	PBPR_RS17145,PBPR_RS17150,PBPR_RS17155,PBPR_RS17160		23107454
KO10292	298386	TU00402	PBPR_RS17625,PBPR_RS17630,PBPR_RS17635,PBPR_RS17640		23107454
KO10293	298386	TU00403	PBPR_RS17650,PBPR_RS17655,PBPR_RS17660,PBPR_RS17665		23107454
KO10294	298386	TU00404	PBPR_RS02950,PBPR_RS02955,PBPR_RS02960		23107454
KO10295	298386	TU00405	PBPR_RS00045,PBPR_RS00050,PBPR_RS00055		23107454
KO10296	298386	TU00406	PBPR_RS00340,PBPR_RS00345,PBPR_RS00350		23107454
KO10298	298386	TU00408	PBPR_RS01120,PBPR_RS01125,PBPR_RS01130		23107454
KO10299	298386	TU00409	PBPR_RS01455,PBPR_RS01460,PBPR_RS01465		23107454
KO10300	298386	TU00410	PBPR_RS01605,PBPR_RS01610,PBPR_RS01615		23107454
KO10301	298386	TU00411	PBPR_RS01635,PBPR_RS01640,PBPR_RS01645		23107454
KO10302	298386	TU00412	PBPR_RS01735,PBPR_RS01740,PBPR_RS01745		23107454
KO10303	298386	TU00413	PBPR_RS01945,PBPR_RS01950,PBPR_RS01955		23107454
KO10304	298386	TU00414	PBPR_RS02140,PBPR_RS02145,PBPR_RS02150		23107454
KO10305	298386	TU00415	PBPR_RS02325,PBPR_RS02330,PBPR_RS02335		23107454
KO10306	298386	TU00416	PBPR_RS02435,PBPR_RS02440,PBPR_RS02445		23107454
KO10307	298386	TU00417	PBPR_RS03005,PBPR_RS03010,PBPR_RS03015		23107454
KO10308	298386	TU00418	PBPR_RS03105,PBPR_RS03110,PBPR_RS03115		23107454
KO10309	298386	TU00419	PBPR_RS03780,PBPR_RS03785,PBPR_RS03790		23107454
KO10310	298386	TU00420	PBPR_RS04575,PBPR_RS04580,PBPR_RS04585		23107454
KO10311	298386	TU00421	PBPR_RS04770,PBPR_RS04775,PBPR_RS04780		23107454
KO10312	298386	TU00422	PBPR_RS04785,PBPR_RS04790,PBPR_RS04795		23107454
KO10313	298386	TU00423	PBPR_RS05440,PBPR_RS05445,PBPR_RS05450		23107454
KO10314	298386	TU00424	PBPR_RS05465,PBPR_RS05470,PBPR_RS05475		23107454
KO10315	298386	TU00425	PBPR_RS05505,PBPR_RS05510,PBPR_RS05515		23107454
KO10316	298386	TU00426	PBPR_RS05705,PBPR_RS05710,PBPR_RS05715		23107454
KO10317	298386	TU00427	PBPR_RS05735,PBPR_RS05740,PBPR_RS05745		23107454
KO10318	298386	TU00428	PBPR_RS06080,PBPR_RS06085,PBPR_RS06090		23107454
KO10319	298386	TU00429	PBPR_RS06390,PBPR_RS06395,PBPR_RS06400		23107454
KO10320	298386	TU00430	PBPR_RS06530,PBPR_RS06535,PBPR_RS06540		23107454
KO10321	298386	TU00431	PBPR_RS07100,PBPR_RS07105,PBPR_RS07110		23107454
KO10323	298386	TU00433	PBPR_RS12165,PBPR_RS12170,PBPR_RS12175		23107454
KO10324	298386	TU00434	PBPR_RS12990,PBPR_RS12995,PBPR_RS13000		23107454
KO10326	298386	TU00436	PBPR_RS13050,PBPR_RS13055,PBPR_RS13060		23107454
KO10327	298386	TU00437	PBPR_RS13345,PBPR_RS13350,PBPR_RS13355		23107454
KO10328	298386	TU00438	PBPR_RS13605,PBPR_RS13610,PBPR_RS13615		23107454
KO10329	298386	TU00439	PBPR_RS13650,PBPR_RS13655,PBPR_RS13660		23107454
KO10331	298386	TU00441	PBPR_RS13780,PBPR_RS13785,PBPR_RS13790		23107454
KO10332	298386	TU00442	PBPR_RS15065,PBPR_RS15070,PBPR_RS15075		23107454
KO10333	298386	TU00443	PBPR_RS15515,PBPR_RS15520,PBPR_RS15525		23107454
KO10334	298386	TU00444	PBPR_RS15710,PBPR_RS15715,PBPR_RS15720		23107454
KO10335	298386	TU00445	PBPR_RS16245,PBPR_RS16250,PBPR_RS16255		23107454
KO10336	298386	TU00446	PBPR_RS16425,PBPR_RS16430,PBPR_RS16435		23107454
KO10337	298386	TU00447	PBPR_RS16810,PBPR_RS16815,PBPR_RS16820		23107454
KO10338	298386	TU00448	PBPR_RS16945,PBPR_RS16950,PBPR_RS16955		23107454
KO10339	298386	TU00449	PBPR_RS17275,PBPR_RS17280,PBPR_RS17285		23107454
KO10340	298386	TU00450	PBPR_RS17610,PBPR_RS17615,PBPR_RS17620		23107454
KO10342	298386	TU00452	PBPR_RS17910,PBPR_RS17915,PBPR_RS17920		23107454
KO10343	298386	TU00453	PBPR_RS18105,PBPR_RS18110,PBPR_RS18115		23107454
KO10344	298386	TU00454	PBPR_RS09165,PBPR_RS09170		23107454
KO10345	298386	TU00455	PBPR_RS00030,PBPR_RS00035		23107454
KO10346	298386	TU00456	PBPR_RS00090,PBPR_RS00095		23107454
KO10347	298386	TU00457	PBPR_RS00125,PBPR_RS00130		23107454
KO10348	298386	TU00458	PBPR_RS00140,PBPR_RS00145		23107454
KO10349	298386	TU00459	PBPR_RS00200,PBPR_RS00205		23107454
KO10350	298386	TU00460	PBPR_RS00260,PBPR_RS00265		23107454
KO10351	298386	TU00461	PBPR_RS00285,PBPR_RS00290		23107454
KO10352	298386	TU00462	PBPR_RS00560,PBPR_RS00565		23107454
KO10353	298386	TU00463	PBPR_RS00600,PBPR_RS00605		23107454
KO10354	298386	TU00464	PBPR_RS00610,PBPR_RS00615		23107454
KO10355	298386	TU00465	PBPR_RS00650,PBPR_RS00655		23107454
KO10356	298386	TU00466	PBPR_RS00755,PBPR_RS00760		23107454
KO10357	298386	TU00467	PBPR_RS00770,PBPR_RS00775		23107454
KO10358	298386	TU00468	PBPR_RS00800,PBPR_RS00805		23107454
KO10359	298386	TU00469	PBPR_RS00830,PBPR_RS00835		23107454
KO10360	298386	TU00470	PBPR_RS00935,PBPR_RS00940		23107454
KO10361	298386	TU00471	PBPR_RS00985,PBPR_RS00990		23107454
KO10362	298386	TU00472	PBPR_RS01055,PBPR_RS01060		23107454
KO10363	298386	TU00473	PBPR_RS01070,PBPR_RS01075		23107454
KO10364	298386	TU00474	PBPR_RS01090,PBPR_RS01095		23107454
KO10365	298386	TU00475	PBPR_RS01160,PBPR_RS01165		23107454
KO10366	298386	TU00476	PBPR_RS01290,PBPR_RS01295		23107454
KO10367	298386	TU00477	PBPR_RS01330,PBPR_RS01335		23107454
KO10368	298386	TU00478	PBPR_RS01515,PBPR_RS01520		23107454
KO10369	298386	TU00479	PBPR_RS01550,PBPR_RS01555		23107454
KO10370	298386	TU00480	PBPR_RS01650,PBPR_RS01655		23107454
KO10371	298386	TU00481	PBPR_RS01665,PBPR_RS01670		23107454
KO10372	298386	TU00482	PBPR_RS01675,PBPR_RS01680		23107454
KO10373	298386	TU00483	PBPR_RS01975,PBPR_RS01980		23107454
KO10374	298386	TU00484	PBPR_RS01985,PBPR_RS01990		23107454
KO10376	298386	TU00486	PBPR_RS02070,PBPR_RS02075		23107454
KO10377	298386	TU00487	PBPR_RS02080,PBPR_RS02085		23107454
KO10378	298386	TU00488	PBPR_RS02185,PBPR_RS02190		23107454
KO10379	298386	TU00489	PBPR_RS02225,PBPR_RS02230		23107454
KO10380	298386	TU00490	PBPR_RS02250,PBPR_RS02255		23107454
KO10381	298386	TU00491	PBPR_RS02265,PBPR_RS02270		23107454
KO10382	298386	TU00492	PBPR_RS02280,PBPR_RS02285		23107454
KO10383	298386	TU00493	PBPR_RS02340,PBPR_RS02345		23107454
KO10384	298386	TU00494	PBPR_RS02490,PBPR_RS02495		23107454
KO10386	298386	TU00496	PBPR_RS02545,PBPR_RS02550		23107454
KO10388	298386	TU00498	PBPR_RS02760,PBPR_RS02765		23107454
KO10389	298386	TU00499	PBPR_RS02815,PBPR_RS02820		23107454
KO10390	298386	TU00500	PBPR_RS02905,PBPR_RS02910		23107454
KO10391	298386	TU00501	PBPR_RS02975,PBPR_RS02980		23107454
KO10393	298386	TU00503	PBPR_RS03020,PBPR_RS03025		23107454
KO10396	298386	TU00506	PBPR_RS03145,PBPR_RS03150		23107454
KO10397	298386	TU00507	PBPR_RS03160,PBPR_RS03165		23107454
KO10399	298386	TU00509	PBPR_RS03210,PBPR_RS03215		23107454
KO10400	298386	TU00510	PBPR_RS03515,PBPR_RS03520		23107454
KO10401	298386	TU00511	PBPR_RS03645,PBPR_RS03650		23107454
KO10402	298386	TU00512	PBPR_RS03830,PBPR_RS03835		23107454
KO10403	298386	TU00513	PBPR_RS03845,PBPR_RS03850		23107454
KO10404	298386	TU00514	PBPR_RS03865,PBPR_RS03870		23107454
KO10405	298386	TU00515	PBPR_RS03885,PBPR_RS03890		23107454
KO10406	298386	TU00516	PBPR_RS04040,PBPR_RS04045		23107454
KO10407	298386	TU00517	PBPR_RS04075,PBPR_RS04080		23107454
KO10408	298386	TU00518	PBPR_RS04090,PBPR_RS04095		23107454
KO10409	298386	TU00519	PBPR_RS04135,PBPR_RS04140		23107454
KO10410	298386	TU00520	PBPR_RS04230,PBPR_RS04235		23107454
KO10411	298386	TU00521	PBPR_RS04270,PBPR_RS04275		23107454
KO10412	298386	TU00522	PBPR_RS04290,PBPR_RS04295		23107454
KO10413	298386	TU00523	PBPR_RS04345,PBPR_RS04350		23107454
KO10414	298386	TU00524	PBPR_RS04360,PBPR_RS04365		23107454
KO10415	298386	TU00525	PBPR_RS04645,PBPR_RS04650		23107454
KO10416	298386	TU00526	PBPR_RS04665,PBPR_RS04670		23107454
KO10417	298386	TU00527	PBPR_RS04760,PBPR_RS04765		23107454
KO10418	298386	TU00528	PBPR_RS04870,PBPR_RS04875		23107454
KO10419	298386	TU00529	PBPR_RS04930,PBPR_RS04935		23107454
KO10420	298386	TU00530	PBPR_RS05185,PBPR_RS05190		23107454
KO10421	298386	TU00531	PBPR_RS05230,PBPR_RS05235		23107454
KO10422	298386	TU00532	PBPR_RS05275,PBPR_RS05280		23107454
KO10424	298386	TU00534	PBPR_RS05455,PBPR_RS05460		23107454
KO10425	298386	TU00535	PBPR_RS05480,PBPR_RS05485		23107454
KO10426	298386	TU00536	PBPR_RS05610,PBPR_RS05615		23107454
KO10427	298386	TU00537	PBPR_RS05625,PBPR_RS05630		23107454
KO10428	298386	TU00538	PBPR_RS05645,PBPR_RS05650		23107454
KO10429	298386	TU00539	PBPR_RS05660,PBPR_RS05665		23107454
KO10430	298386	TU00540	PBPR_RS05675,PBPR_RS05680		23107454
KO10431	298386	TU00541	PBPR_RS05830,PBPR_RS05835		23107454
KO10432	298386	TU00542	PBPR_RS05860,PBPR_RS05865		23107454
