term,name,description,score,pvalue,FDR,cluster,enriched,geneIDs
map05134,Legionellosis - Reference pathway,http://www.genome.jp/kegg-bin/show_pathway?map05134,0.333333333333333,0.0229462917282106,0.0702437501883997,6,2/130,XC_2245; XC_2564
map00072,Synthesis and degradation of ketone bodies - Reference pathway,http://www.genome.jp/kegg-bin/show_pathway?map00072,0.333333333333333,0.0229462917282106,0.0702437501883997,6,2/130,XC_2943; XC_0204
map01130,Biosynthesis of antibiotics - Reference pathway,http://www.genome.jp/kegg-bin/show_pathway?map01130,0.00966183574879227,0.0260857407518214,0.0752473290917924,207,2/130,XC_2943; XC_0204
map01502,Vancomycin resistance - Reference pathway,http://www.genome.jp/kegg-bin/show_pathway?map01502,0.25,0.0346141970206162,0.0961505472794894,8,2/130,XC_3873; XC_3111
map04626,Plant-pathogen interaction - Reference pathway,http://www.genome.jp/kegg-bin/show_pathway?map04626,0.222222222222222,0.0409867083403106,0.107859758790291,9,2/130,XC_2245; XC_0828
map00310,Lysine degradation - Reference pathway,http://www.genome.jp/kegg-bin/show_pathway?map00310,0.222222222222222,0.0409867083403106,0.107859758790291,9,2/130,XC_2943; XC_0204
map00250,"Alanine, aspartate and glutamate metabolism - Reference pathway",http://www.genome.jp/kegg-bin/show_pathway?map00250,0.125,0.0423904212288384,0.105976053072096,24,3/129,XC_1768; XC_1770; XC_0194
map05132,Salmonella infection - Reference pathway,http://www.genome.jp/kegg-bin/show_pathway?map05132,1,0.0612064082033952,0.12241281640679,1,1/131,XC_2245
map05150,Staphylococcus aureus infection - Reference pathway,http://www.genome.jp/kegg-bin/show_pathway?map05150,1,0.0612064082033952,0.12241281640679,1,1/131,XC_2916
map04115,p53 signaling pathway - Reference pathway,http://www.genome.jp/kegg-bin/show_pathway?map04115,1,0.0612064082033952,0.12241281640679,1,1/131,XC_2564
map04215,Apoptosis - multiple species - Reference pathway,http://www.genome.jp/kegg-bin/show_pathway?map04215,1,0.0612064082033952,0.12241281640679,1,1/131,XC_2564
map05210,Colorectal cancer - Reference pathway,http://www.genome.jp/kegg-bin/show_pathway?map05210,1,0.0612064082033952,0.12241281640679,1,1/131,XC_2564
map05222,Small cell lung cancer - Reference pathway,http://www.genome.jp/kegg-bin/show_pathway?map05222,1,0.0612064082033952,0.12241281640679,1,1/131,XC_2564
map05416,Viral myocarditis - Reference pathway,http://www.genome.jp/kegg-bin/show_pathway?map05416,1,0.0612064082033952,0.12241281640679,1,1/131,XC_2564
map05145,Toxoplasmosis - Reference pathway,http://www.genome.jp/kegg-bin/show_pathway?map05145,1,0.0612064082033952,0.12241281640679,1,1/131,XC_2564
map05161,Hepatitis B - Reference pathway,http://www.genome.jp/kegg-bin/show_pathway?map05161,1,0.0612064082033952,0.12241281640679,1,1/131,XC_2564
map05163,Human cytomegalovirus infection - Reference pathway,http://www.genome.jp/kegg-bin/show_pathway?map05163,1,0.0612064082033952,0.12241281640679,1,1/131,XC_2564
map05164,Influenza A - Reference pathway,http://www.genome.jp/kegg-bin/show_pathway?map05164,1,0.0612064082033952,0.12241281640679,1,1/131,XC_2564
map05167,Kaposi sarcoma-associated herpesvirus infection - Reference pathway,http://www.genome.jp/kegg-bin/show_pathway?map05167,1,0.0612064082033952,0.12241281640679,1,1/131,XC_2564
map05168,Herpes simplex infection - Reference pathway,http://www.genome.jp/kegg-bin/show_pathway?map05168,1,0.0612064082033952,0.12241281640679,1,1/131,XC_2564
map05170,Human immunodeficiency virus 1 infection - Reference pathway,http://www.genome.jp/kegg-bin/show_pathway?map05170,1,0.0612064082033952,0.12241281640679,1,1/131,XC_2564
map00071,Fatty acid degradation - Reference pathway,http://www.genome.jp/kegg-bin/show_pathway?map00071,0.166666666666667,0.0616619732339049,0.102769955389841,12,2/130,XC_2943; XC_0204
map00900,Terpenoid backbone biosynthesis - Reference pathway,http://www.genome.jp/kegg-bin/show_pathway?map00900,0.153846153846154,0.0689271780163966,0.112381268504995,13,2/130,XC_2943; XC_0204
map02010,ABC transporters - Reference pathway,http://www.genome.jp/kegg-bin/show_pathway?map02010,0.0714285714285714,0.0802823884429762,0.128110194323898,56,4/128,XC_2707; XC_2708; XC_4059; XC_4058
map01100,Metabolic pathways - Reference pathway,http://www.genome.jp/kegg-bin/show_pathway?map01100,0.0362204724409449,0.0806557328413747,0.126024582564648,635,23/109,XC_1519; XC_4131; XC_4326; XC_3897; XC_3111; XC_1768; XC_1770; XC_0194; XC_2943; XC_0204; XC_1792; XC_1793; XC_1794; XC_1885; XC_3762; XC_1454; XC_1300; XC_1884; XC_3763; XC_1455; XC_1301; XC_0626; XC_1005
map01501,beta-Lactam resistance - Reference pathway,http://www.genome.jp/kegg-bin/show_pathway?map01501,0.133333333333333,0.0837877187345675,0.128246508267195,15,2/130,XC_1235; XC_0828
map04210,Apoptosis - Reference pathway,http://www.genome.jp/kegg-bin/show_pathway?map04210,0.5,0.0889295693903497,0.133394354085524,2,1/131,XC_2564
map00380,Tryptophan metabolism - Reference pathway,http://www.genome.jp/kegg-bin/show_pathway?map00380,0.111111111111111,0.106421702817915,0.156502504143993,18,2/130,XC_2943; XC_0204
map00640,Propanoate metabolism - Reference pathway,http://www.genome.jp/kegg-bin/show_pathway?map00640,0.105263157894737,0.113946469683828,0.162780670976898,19,2/130,XC_2943; XC_0204
map00362,Benzoate degradation - Reference pathway,http://www.genome.jp/kegg-bin/show_pathway?map00362,0.105263157894737,0.113946469683828,0.162780670976898,19,2/130,XC_2943; XC_0204
map05133,Pertussis - Reference pathway,http://www.genome.jp/kegg-bin/show_pathway?map05133,0.333333333333333,0.114852272611441,0.158053586162533,3,1/131,XC_0828
map04214,Apoptosis - fly - Reference pathway,http://www.genome.jp/kegg-bin/show_pathway?map04214,0.333333333333333,0.114852272611441,0.158053586162533,3,1/131,XC_2564
map00280,"Valine, leucine and isoleucine degradation - Reference pathway",http://www.genome.jp/kegg-bin/show_pathway?map00280,0.1,0.121421380023684,0.162617919674577,20,2/130,XC_2943; XC_0204
map00720,Carbon fixation pathways in prokaryotes - Reference pathway,http://www.genome.jp/kegg-bin/show_pathway?map00720,0.0833333333333333,0.150431648668493,0.196215193915426,24,2/130,XC_2943; XC_0204
map00650,Butanoate metabolism - Reference pathway,http://www.genome.jp/kegg-bin/show_pathway?map00650,0.0833333333333333,0.150431648668493,0.196215193915426,24,2/130,XC_2943; XC_0204
map01120,Microbial metabolism in diverse environments - Reference pathway,http://www.genome.jp/kegg-bin/show_pathway?map01120,0.0263157894736842,0.159784327032985,0.203115669957184,190,5/127,XC_1768; XC_1770; XC_0194; XC_2943; XC_0204
map00790,Folate biosynthesis - Reference pathway,http://www.genome.jp/kegg-bin/show_pathway?map00790,0.0769230769230769,0.164177529118784,0.20522191139848,26,2/130,XC_1519; XC_4131
map01212,Fatty acid metabolism - Reference pathway,http://www.genome.jp/kegg-bin/show_pathway?map01212,0.0740740740740741,0.170814960684229,0.210018394283888,27,2/130,XC_2943; XC_0204
map05014,Amyotrophic lateral sclerosis (ALS) - Reference pathway,http://www.genome.jp/kegg-bin/show_pathway?map05014,0.166666666666667,0.182650730531233,0.220948464352298,6,1/131,XC_2564
map04621,NOD-like receptor signaling pathway - Reference pathway,http://www.genome.jp/kegg-bin/show_pathway?map04621,0.142857142857143,0.202187608684778,0.240699534148545,7,1/131,XC_2245
map00620,Pyruvate metabolism - Reference pathway,http://www.genome.jp/kegg-bin/show_pathway?map00620,0.0588235294117647,0.212075862825732,0.248526401748905,34,2/130,XC_2943; XC_0204
map01230,Biosynthesis of amino acids - Reference pathway,http://www.genome.jp/kegg-bin/show_pathway?map01230,0.0275229357798165,0.219467421603572,0.253231640311814,109,3/129,XC_1768; XC_1770; XC_0194
map01200,Carbon metabolism - Reference pathway,http://www.genome.jp/kegg-bin/show_pathway?map01200,0.0210526315789474,0.220843530169071,0.250958557010308,95,2/130,XC_2943; XC_0204
map00730,Thiamine metabolism - Reference pathway,http://www.genome.jp/kegg-bin/show_pathway?map00730,0.111111111111111,0.237102845749361,0.263447606388179,9,1/131,XC_1519
map01524,Platinum drug resistance - Reference pathway,http://www.genome.jp/kegg-bin/show_pathway?map01524,0.111111111111111,0.237102845749361,0.263447606388179,9,1/131,XC_2564
map00500,Starch and sucrose metabolism - Reference pathway,http://www.genome.jp/kegg-bin/show_pathway?map00500,0.0487804878048781,0.243121199070559,0.264262172902781,41,2/130,XC_0626; XC_1005
map00740,Riboflavin metabolism - Reference pathway,http://www.genome.jp/kegg-bin/show_pathway?map00740,0.1,0.252615788656235,0.270659773560252,10,1/131,XC_4326
map04112,Cell cycle - Caulobacter - Reference pathway,http://www.genome.jp/kegg-bin/show_pathway?map04112,0.0909090909090909,0.266917291188314,0.281954885058078,11,1/131,XC_0001
map03070,Bacterial secretion system - Reference pathway,http://www.genome.jp/kegg-bin/show_pathway?map03070,0.0158730158730159,0.267492668264775,0.278638196109141,63,1/131,XC_0828
map05200,Pathways in cancer - Reference pathway,http://www.genome.jp/kegg-bin/show_pathway?map05200,0.0769230769230769,0.292124955990102,0.300128379441886,13,1/131,XC_2564
map00550,Peptidoglycan biosynthesis - Reference pathway,http://www.genome.jp/kegg-bin/show_pathway?map00550,0.0476190476190476,0.355392567048602,0.360195169306016,21,1/131,XC_3111
map00860,Porphyrin and chlorophyll metabolism - Reference pathway,http://www.genome.jp/kegg-bin/show_pathway?map00860,0.0357142857142857,0.374321334236595,0.374321334236595,28,1/131,XC_3897
