Identifier,"subject ids","subject acc.ver","query acc.ver","query id","% identity","alignment length",mismatches,"gap opens","q. start","q. end","s. start","s. end",evalue,"bit score",Taxonomy,Taxonomy.BIOM,taxid
307829144,gi|307829144|gb|GU372691.1|,GU372691.1,Contig_17280,Contig_17280,100,477,0,0,1,477,8749,8273,0,861,"Eukaryota,Chordata,Mammalia,Rodentia,Muridae,Mus,Mus musculus","k__Eukaryota;p__Chordata;c__Mammalia;o__Rodentia;f__Muridae;g__Mus;s__Mus musculus",10090
297747482,gi|297747482|gb|AC231275.2|,AC231275.2,Contig_17280,Contig_17280,100,477,0,0,1,477,32379,31903,0,861,"Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens","k__Eukaryota;p__Chordata;c__Mammalia;o__Primates;f__Hominidae;g__Homo;s__Homo sapiens",9606
296434039,gi|296434039|emb|FP236383.15|,FP236383.15,Contig_17280,Contig_17280,100,477,0,0,1,477,83431,82955,0,861,"Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens","k__Eukaryota;p__Chordata;c__Mammalia;o__Primates;f__Hominidae;g__Homo;s__Homo sapiens",9606
296434039,gi|296434039|emb|FP236383.15|,FP236383.15,Contig_17280,Contig_17280,100,477,0,0,1,477,127641,127165,0,861,"Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens","k__Eukaryota;p__Chordata;c__Mammalia;o__Primates;f__Hominidae;g__Homo;s__Homo sapiens",9606
288778980,gi|288778980|dbj|AK348805.1|,AK348805.1,Contig_17280,Contig_17280,100,477,0,0,1,477,675,199,0,861,"Eukaryota,Chordata,Mammalia,Suidae,Sus,Sus scrofa","k__Eukaryota;p__Chordata;c__Mammalia;o__;f__Suidae;g__Sus;s__Sus scrofa",9823
256016849,gi|256016849|emb|FN435990.1|,FN435990.1,Contig_17280,Contig_17280,100,477,0,0,1,477,508,32,0,861,"Eukaryota,Apicomplexa,Coccidia,Eucoccidiorida,Sarcocystidae,Besnoitia,Besnoitia besnoiti","k__Eukaryota;p__Apicomplexa;c__Coccidia;o__Eucoccidiorida;f__Sarcocystidae;g__Besnoitia;s__Besnoitia besnoiti",94643
225637497,gi|225637497|ref|NR_003286.2|,NR_003286.2,Contig_17280,Contig_17280,100,477,0,0,1,477,1737,1261,0,861,"Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens","k__Eukaryota;p__Chordata;c__Mammalia;o__Primates;f__Hominidae;g__Homo;s__Homo sapiens",9606
194307128,gi|194307128|gb|EU823286.1|,EU823286.1,Contig_17280,Contig_17280,100,477,0,0,1,477,1734,1258,0,861,"Eukaryota,Chordata,Mammalia,Cervidae,Odocoileus,Odocoileus virginianus","k__Eukaryota;p__Chordata;c__Mammalia;o__;f__Cervidae;g__Odocoileus;s__Odocoileus virginianus",9874
164504485,gi|164504485|gb|EU338391.1|,EU338391.1,Contig_17280,Contig_17280,100,477,0,0,1,477,492,16,0,861,"Eukaryota,Chordata,Mammalia,Cervidae,Odocoileus,Odocoileus virginianus","k__Eukaryota;p__Chordata;c__Mammalia;o__;f__Cervidae;g__Odocoileus;s__Odocoileus virginianus",9874
161075477,gi|161075477|gb|EU282235.1|,EU282235.1,Contig_17280,Contig_17280,100,477,0,0,1,477,500,24,0,861,"Eukaryota,Chordata,Mammalia,Cervidae,Odocoileus,Odocoileus virginianus","k__Eukaryota;p__Chordata;c__Mammalia;o__;f__Cervidae;g__Odocoileus;s__Odocoileus virginianus",9874
160966321,gi|160966321|gb|EU253953.1|,EU253953.1,Contig_17280,Contig_17280,100,477,0,0,1,477,506,30,0,861,"Eukaryota,Chordata,Mammalia,Cervidae,Odocoileus,Odocoileus virginianus","k__Eukaryota;p__Chordata;c__Mammalia;o__;f__Cervidae;g__Odocoileus;s__Odocoileus virginianus",9874
160966318,gi|160966318|gb|EU253950.1|,EU253950.1,Contig_17280,Contig_17280,100,477,0,0,1,477,506,30,0,861,"Eukaryota,Chordata,Mammalia,Cervidae,Odocoileus,Odocoileus virginianus","k__Eukaryota;p__Chordata;c__Mammalia;o__;f__Cervidae;g__Odocoileus;s__Odocoileus virginianus",9874
160966315,gi|160966315|gb|EU253947.1|,EU253947.1,Contig_17280,Contig_17280,100,477,0,0,1,477,506,30,0,861,"Eukaryota,Chordata,Mammalia,Cervidae,Odocoileus,Odocoileus virginianus","k__Eukaryota;p__Chordata;c__Mammalia;o__;f__Cervidae;g__Odocoileus;s__Odocoileus virginianus",9874
160966313,gi|160966313|gb|EU253945.1|,EU253945.1,Contig_17280,Contig_17280,100,477,0,0,1,477,506,30,0,861,"Eukaryota,Chordata,Mammalia,Cervidae,Odocoileus,Odocoileus virginianus","k__Eukaryota;p__Chordata;c__Mammalia;o__;f__Cervidae;g__Odocoileus;s__Odocoileus virginianus",9874
160966312,gi|160966312|gb|EU253944.1|,EU253944.1,Contig_17280,Contig_17280,100,477,0,0,1,477,506,30,0,861,"Eukaryota,Chordata,Mammalia,Cervidae,Odocoileus,Odocoileus virginianus","k__Eukaryota;p__Chordata;c__Mammalia;o__;f__Cervidae;g__Odocoileus;s__Odocoileus virginianus",9874
159145045,gi|159145045|gb|EU234452.1|,EU234452.1,Contig_17280,Contig_17280,100,477,0,0,1,477,506,30,0,861,"Eukaryota,Chordata,Mammalia,Cervidae,Odocoileus,Odocoileus virginianus","k__Eukaryota;p__Chordata;c__Mammalia;o__;f__Cervidae;g__Odocoileus;s__Odocoileus virginianus",9874
157677450,gi|157677450|emb|CT476837.18|,CT476837.18,Contig_17280,Contig_17280,100,477,0,0,1,477,99441,98965,0,861,"Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens","k__Eukaryota;p__Chordata;c__Mammalia;o__Primates;f__Hominidae;g__Homo;s__Homo sapiens",9606
151415227,gi|151415227|emb|AL353644.34|,AL353644.34,Contig_17280,Contig_17280,100,477,0,0,1,477,127667,127191,0,861,"Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens","k__Eukaryota;p__Chordata;c__Mammalia;o__Primates;f__Hominidae;g__Homo;s__Homo sapiens",9606
151415227,gi|151415227|emb|AL353644.34|,AL353644.34,Contig_17280,Contig_17280,100,477,0,0,1,477,172748,172272,0,861,"Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens","k__Eukaryota;p__Chordata;c__Mammalia;o__Primates;f__Hominidae;g__Homo;s__Homo sapiens",9606
90081017,gi|90081017|dbj|AB172927.1|,AB172927.1,Contig_17280,Contig_17280,100,477,0,0,1,477,1082,606,0,861,"Eukaryota,Chordata,Mammalia,Primates,Cercopithecidae,Macaca,Macaca fascicularis","k__Eukaryota;p__Chordata;c__Mammalia;o__Primates;f__Cercopithecidae;g__Macaca;s__Macaca fascicularis",9541
115553642,gi|115553642|dbj|AK239829.1|,AK239829.1,Contig_17280,Contig_17280,100,477,0,0,1,477,1749,1273,0,861,"Eukaryota,Chordata,Mammalia,Suidae,Sus,Sus scrofa","k__Eukaryota;p__Chordata;c__Mammalia;o__;f__Suidae;g__Sus;s__Sus scrofa",9823
91974429,gi|91974429|gb|DQ430751.1|,DQ430751.1,Contig_17280,Contig_17280,100,477,0,0,1,477,501,25,0,861,"Eukaryota,uncultured eukaryote","k__Eukaryota;p__;c__;o__;f__;g__;s__uncultured eukaryote",100272
78355009,gi|78355009|gb|DQ235090.1|,DQ235090.1,Contig_17280,Contig_17280,100,477,0,0,1,477,13367,12891,0,861,"Eukaryota,Chordata,Mammalia,Rodentia,Cricetidae,Cricetulus,Cricetulus griseus","k__Eukaryota;p__Chordata;c__Mammalia;o__Rodentia;f__Cricetidae;g__Cricetulus;s__Cricetulus griseus",10029
374532772,gi|374532772|ref|NR_046263.1|,NR_046263.1,Contig_17280,Contig_17280,100,477,0,0,1,477,3772,3296,0,861,"Eukaryota,Chordata,Mammalia,Rodentia,Cricetidae,Cricetulus,Cricetulus griseus","k__Eukaryota;p__Chordata;c__Mammalia;o__Rodentia;f__Cricetidae;g__Cricetulus;s__Cricetulus griseus",10029
37626311,gi|37626311|gb|AY390526.1|,NR_046263.1,Contig_17280,Contig_17280,100,477,0,0,1,477,3772,3296,0,861,"Eukaryota,Chordata,Mammalia,Rodentia,Cricetidae,Cricetulus,Cricetulus griseus","k__Eukaryota;p__Chordata;c__Mammalia;o__Rodentia;f__Cricetidae;g__Cricetulus;s__Cricetulus griseus",10029
37956930,gi|37956930|gb|AY265350.1|,AY265350.1,Contig_17280,Contig_17280,100,477,0,0,1,477,238,714,0,861,"Eukaryota,Chordata,Mammalia,Suidae,Sus,Sus scrofa","k__Eukaryota;p__Chordata;c__Mammalia;o__;f__Suidae;g__Sus;s__Sus scrofa",9823
5714635,gi|5714635|gb|AF159295.1|AF159295,AF159295.1,Contig_17280,Contig_17280,100,477,0,0,1,477,142,618,0,861,"Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens","k__Eukaryota;p__Chordata;c__Mammalia;o__Primates;f__Hominidae;g__Homo;s__Homo sapiens",9606
27469381,gi|27469381|gb|BC042411.1|,BC042411.1,Contig_17280,Contig_17280,100,477,0,0,1,477,806,330,0,861,"Eukaryota,Chordata,Mammalia,Rodentia,Muridae,Mus,Mus musculus","k__Eukaryota;p__Chordata;c__Mammalia;o__Rodentia;f__Muridae;g__Mus;s__Mus musculus",10090
86475748,gi|86475748|emb|AL592188.60|,AL592188.60,Contig_17280,Contig_17280,100,477,0,0,1,477,110814,110338,0,861,"Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens","k__Eukaryota;p__Chordata;c__Mammalia;o__Primates;f__Hominidae;g__Homo;s__Homo sapiens",9606
86475748,gi|86475748|emb|AL592188.60|,AL592188.60,Contig_17280,Contig_17280,100,477,0,0,1,477,154786,154310,0,861,"Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens","k__Eukaryota;p__Chordata;c__Mammalia;o__Primates;f__Hominidae;g__Homo;s__Homo sapiens",9606
18369732,gi|18369732|emb|AJ311675.1|,AJ311675.1,Contig_17280,Contig_17280,100,477,0,0,1,477,1717,1241,0,861,"Eukaryota,Chordata,Mammalia,Insectivora,Erinaceidae,Erinaceus,Erinaceus europaeus","k__Eukaryota;p__Chordata;c__Mammalia;o__Insectivora;f__Erinaceidae;g__Erinaceus;s__Erinaceus europaeus",9365
18369731,gi|18369731|emb|AJ311674.1|,AJ311674.1,Contig_17280,Contig_17280,100,477,0,0,1,477,1716,1240,0,861,"Eukaryota,Chordata,Mammalia,Cingulata,Dasypodidae,Dasypus,Dasypus novemcinctus","k__Eukaryota;p__Chordata;c__Mammalia;o__Cingulata;f__Dasypodidae;g__Dasypus;s__Dasypus novemcinctus",9361
374671780,gi|374671780|ref|NR_046271.1|,NR_046271.1,Contig_17280,Contig_17280,100,477,0,0,1,477,1716,1240,0,861,"Eukaryota,Chordata,Mammalia,Perissodactyla,Equidae,Equus,Equus caballus","k__Eukaryota;p__Chordata;c__Mammalia;o__Perissodactyla;f__Equidae;g__Equus;s__Equus caballus",9796
18369730,gi|18369730|emb|AJ311673.1|,NR_046271.1,Contig_17280,Contig_17280,100,477,0,0,1,477,1716,1240,0,861,"Eukaryota,Chordata,Mammalia,Perissodactyla,Equidae,Equus,Equus caballus","k__Eukaryota;p__Chordata;c__Mammalia;o__Perissodactyla;f__Equidae;g__Equus;s__Equus caballus",9796
337377,gi|337377|gb|K03432.1|HUMRGEA,K03432.1,Contig_17280,Contig_17280,100,477,0,0,1,477,1878,1402,0,861,"Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens","k__Eukaryota;p__Chordata;c__Mammalia;o__Primates;f__Hominidae;g__Homo;s__Homo sapiens",9606
337376,gi|337376|gb|M10098.1|HUMRGE,M10098.1,Contig_17280,Contig_17280,100,477,0,0,1,477,1838,1362,0,861,"Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens","k__Eukaryota;p__Chordata;c__Mammalia;o__Primates;f__Hominidae;g__Homo;s__Homo sapiens",9606
206631,gi|206631|gb|M11188.1|RATRGEA,M11188.1,Contig_17280,Contig_17280,100,477,0,0,1,477,1749,1273,0,861,"Eukaryota,Chordata,Mammalia,Rodentia,Muridae,Rattus,Rattus norvegicus","k__Eukaryota;p__Chordata;c__Mammalia;o__Rodentia;f__Muridae;g__Rattus;s__Rattus norvegicus",10116
36162,gi|36162|emb|X03205.1|,X03205.1,Contig_17280,Contig_17280,100,477,0,0,1,477,1737,1261,0,861,"Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens","k__Eukaryota;p__Chordata;c__Mammalia;o__Primates;f__Hominidae;g__Homo;s__Homo sapiens",9606
672884471,gi|672884471|pdb|4UQ4|1,X03205.1,Contig_17280,Contig_17280,100,477,0,0,1,477,1737,1261,0,861,"Eukaryota,Chordata,Mammalia,Lagomorpha,Leporidae,Oryctolagus,Oryctolagus cuniculus","k__Eukaryota;p__Chordata;c__Mammalia;o__Lagomorpha;f__Leporidae;g__Oryctolagus;s__Oryctolagus cuniculus",9986
672884505,gi|672884505|pdb|4UQ5|1,X03205.1,Contig_17280,Contig_17280,100,477,0,0,1,477,1737,1261,0,861,"Eukaryota,Chordata,Mammalia,Lagomorpha,Leporidae,Oryctolagus,Oryctolagus cuniculus","k__Eukaryota;p__Chordata;c__Mammalia;o__Lagomorpha;f__Leporidae;g__Oryctolagus;s__Oryctolagus cuniculus",9986
958159612,gi|958159612|pdb|5A8L|B,X03205.1,Contig_17280,Contig_17280,100,477,0,0,1,477,1737,1261,0,861,"Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens","k__Eukaryota;p__Chordata;c__Mammalia;o__Primates;f__Hominidae;g__Homo;s__Homo sapiens",9606
644985589,gi|644985589|tpe|HG982138.1|,HG982138.1,Contig_17280,Contig_17280,99.79,477,1,0,1,477,1139,663,0,856,"Eukaryota,Chordata,Mammalia,Rodentia,Muridae,Mus,Mus musculus","k__Eukaryota;p__Chordata;c__Mammalia;o__Rodentia;f__Muridae;g__Mus;s__Mus musculus",10090
577019615,gi|577019615|ref|NR_046233.2|,NR_046233.2,Contig_17280,Contig_17280,99.79,477,1,0,1,477,5744,5268,0,856,"Eukaryota,Chordata,Mammalia,Rodentia,Muridae,Mus,Mus musculus","k__Eukaryota;p__Chordata;c__Mammalia;o__Rodentia;f__Muridae;g__Mus;s__Mus musculus",10090
511668571,gi|511668571|tpg|BK000964.3|,BK000964.3,Contig_17280,Contig_17280,99.79,477,1,0,1,477,5744,5268,0,856,"Eukaryota,Chordata,Mammalia,Rodentia,Muridae,Mus,Mus musculus","k__Eukaryota;p__Chordata;c__Mammalia;o__Rodentia;f__Muridae;g__Mus;s__Mus musculus",10090
374253766,gi|374253766|ref|NG_032038.1|,NG_032038.1,Contig_17280,Contig_17280,99.79,477,1,0,1,477,1843,1367,0,856,"Eukaryota,Chordata,Mammalia,Rodentia,Muridae,Mus,Mus musculus","k__Eukaryota;p__Chordata;c__Mammalia;o__Rodentia;f__Muridae;g__Mus;s__Mus musculus",10090
374088232,gi|374088232|ref|NR_003278.3|,NR_003278.3,Contig_17280,Contig_17280,99.79,477,1,0,1,477,1737,1261,0,856,"Eukaryota,Chordata,Mammalia,Rodentia,Muridae,Mus,Mus musculus","k__Eukaryota;p__Chordata;c__Mammalia;o__Rodentia;f__Muridae;g__Mus;s__Mus musculus",10090
371917048,gi|371917048|dbj|AK399122.1|,AK399122.1,Contig_17280,Contig_17280,100,474,0,0,1,474,474,1,0,856,"Eukaryota,Chordata,Mammalia,Suidae,Sus,Sus scrofa","k__Eukaryota;p__Chordata;c__Mammalia;o__;f__Suidae;g__Sus;s__Sus scrofa",9823
84365506,gi|84365506|emb|CT010467.6|,CT010467.6,Contig_17280,Contig_17280,99.79,477,1,0,1,477,65959,66435,0,856,"Eukaryota,Chordata,Mammalia,Rodentia,Muridae,Mus,Mus musculus","k__Eukaryota;p__Chordata;c__Mammalia;o__Rodentia;f__Muridae;g__Mus;s__Mus musculus",10090
1261918,gi|1261918|emb|X82564.1|,X82564.1,Contig_17280,Contig_17280,99.79,477,1,0,1,477,11379,10903,0,856,"Eukaryota,Chordata,Mammalia,Rodentia,Muridae,Mus,Mus musculus","k__Eukaryota;p__Chordata;c__Mammalia;o__Rodentia;f__Muridae;g__Mus;s__Mus musculus",10090
53990,gi|53990|emb|X00686.1|,X00686.1,Contig_17280,Contig_17280,99.79,477,1,0,1,477,1737,1261,0,856,"Eukaryota,Chordata,Mammalia,Rodentia,Muridae,Mus,Mus musculus","k__Eukaryota;p__Chordata;c__Mammalia;o__Rodentia;f__Muridae;g__Mus;s__Mus musculus",10090
485601472,gi|485601472|pdb|3J3D|2,3J3D_2,Contig_17280,Contig_17280,99.581,477,2,0,1,477,1737,1261,0,854,"Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens","k__Eukaryota;p__Chordata;c__Mammalia;o__Primates;f__Hominidae;g__Homo;s__Homo sapiens",9606
18025948,gi|18025948|gb|AY046772.1|,AY046772.1,Contig_17280,Contig_17280,99.791,478,0,1,1,477,1113,636,0,854,"Eukaryota,uncultured eukaryote","k__Eukaryota;p__;c__;o__;f__;g__;s__uncultured eukaryote",100272
74211473,gi|74211473|dbj|AK145507.1|,AK145507.1,Contig_17280,Contig_17280,99.791,478,0,1,1,477,1140,663,0,854,"Eukaryota,Chordata,Mammalia,Rodentia,Muridae,Mus,Mus musculus","k__Eukaryota;p__Chordata;c__Mammalia;o__Rodentia;f__Muridae;g__Mus;s__Mus musculus",10090
531997081,gi|531997081|gb|KC876029.1|,KC876029.1,Contig_17280,Contig_17280,99.79,477,0,1,1,477,28204,28679,0,852,"Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens","k__Eukaryota;p__Chordata;c__Mammalia;o__Primates;f__Hominidae;g__Homo;s__Homo sapiens",9606
531997080,gi|531997080|gb|KC876028.1|,KC876028.1,Contig_17280,Contig_17280,99.581,477,2,0,1,477,36379,36855,0,852,"Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens","k__Eukaryota;p__Chordata;c__Mammalia;o__Primates;f__Hominidae;g__Homo;s__Homo sapiens",9606
371913276,gi|371913276|dbj|AK392932.1|,AK392932.1,Contig_17280,Contig_17280,99.581,477,2,0,1,477,826,350,0,852,"Eukaryota,Chordata,Mammalia,Suidae,Sus,Sus scrofa","k__Eukaryota;p__Chordata;c__Mammalia;o__;f__Suidae;g__Sus;s__Sus scrofa",9823
343957432,gi|343957432|gb|HQ438181.1|,HQ438181.1,Contig_17280,Contig_17280,99.581,477,2,0,1,477,1619,1143,0,852,"Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens","k__Eukaryota;p__Chordata;c__Mammalia;o__Primates;f__Hominidae;g__Homo;s__Homo sapiens",9606
336126652,gi|336126652|gb|HQ658084.1|,HQ658084.1,Contig_17280,Contig_17280,99.581,477,2,0,1,477,1738,1262,0,852,"Eukaryota,Chordata,Mammalia,Bovidae,Budorcas,Budorcas taxicolor","k__Eukaryota;p__Chordata;c__Mammalia;o__;f__Bovidae;g__Budorcas;s__Budorcas taxicolor",37181
91974411,gi|91974411|gb|DQ430733.1|,DQ430733.1,Contig_17280,Contig_17280,99.581,477,2,0,1,477,501,25,0,852,"Eukaryota,uncultured eukaryote","k__Eukaryota;p__;c__;o__;f__;g__;s__uncultured eukaryote",100272
1048348539,gi|1048348539|pdb|5K0Y|A,5K0Y_A,Contig_17280,Contig_17280,99.581,477,1,1,1,477,1645,1170,0,848,,,
18025958,gi|18025958|gb|AY046782.1|,AY046782.1,Contig_17280,Contig_17280,99.581,477,1,1,1,477,1113,638,0,848,"Eukaryota,uncultured eukaryote","k__Eukaryota;p__;c__;o__;f__;g__;s__uncultured eukaryote",100272
555853,gi|555853|gb|U13369.1|HSU13369,U13369.1,Contig_17280,Contig_17280,99.582,479,0,2,1,477,5395,4917,0,848,"Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens","k__Eukaryota;p__Chordata;c__Mammalia;o__Primates;f__Hominidae;g__Homo;s__Homo sapiens",9606
283837872,gi|283837872|ref|NR_033238.1|,NR_033238.1,Contig_17280,Contig_17280,99.581,477,1,1,1,477,1732,1257,0,848,"Eukaryota,Chordata,Mammalia,Lagomorpha,Leporidae,Oryctolagus,Oryctolagus cuniculus","k__Eukaryota;p__Chordata;c__Mammalia;o__Lagomorpha;f__Leporidae;g__Oryctolagus;s__Oryctolagus cuniculus",9986
1707,gi|1707|emb|X06778.1|,NR_033238.1,Contig_17280,Contig_17280,99.581,477,1,1,1,477,1732,1257,0,848,"Eukaryota,Chordata,Mammalia,Lagomorpha,Leporidae,Oryctolagus,Oryctolagus cuniculus","k__Eukaryota;p__Chordata;c__Mammalia;o__Lagomorpha;f__Leporidae;g__Oryctolagus;s__Oryctolagus cuniculus",9986
902711425,gi|902711425|gb|KP780173.1|,KP780173.1,Contig_17280,Contig_17280,99.371,477,3,0,1,477,1736,1260,0,847,"Eukaryota,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,Microtus ochrogaster","k__Eukaryota;p__Chordata;c__Mammalia;o__Rodentia;f__Cricetidae;g__Microtus;s__Microtus ochrogaster",79684
