R00001	polyphosphate polyphosphohydrolase; Polyphosphate + n H2O <=> (n+1) Oligophosphate
R00048	(R)-3-((R)-3-hydroxybutanoyloxy)-butanoate hydroxybutanoylhydrolase; (R)-3-((R)-3-Hydroxybutanoyloxy)butanoate + H2O <=> 2 (R)-3-Hydroxybutanoate
R00049	1-O-galloyl-beta-D-glucose:1-O-galloyl-beta-D-glucose O-galloyltransferase; 2 1-O-Galloyl-beta-D-glucose <=> D-Glucose + 1-O,6-O-Digalloyl-beta-D-glucose
R00052	chloride:hydrogen-peroxide oxidoreductase; Hydrogen peroxide + Alkane + Hydrochloric acid <=> RCl + 2 H2O
R00053	digallate acylhydrolase; tannin acylhydrolase; Digallate + H2O <=> 2 Gallate
R00054	orsellinate-depside hydrolase; Lecanoric acid + H2O <=> 2 Orsellinate
R00055	inosine:oxygen 5'-oxidoreductase; 2 Inosine + Oxygen <=> 2 5'-Oxoinosine + 2 H2O
R00056	dinucleotide nucleotidohydrolase; Dinucleotide + H2O <=> 2 Mononucleotide
R00057	thiol:oxygen oxidoreductase; Oxygen + 2 R'C(R)SH <=> R'C(R)S-S(R)CR' + Hydrogen peroxide
R00058	catechol:oxygen oxidoreductase; 1,2-benzenediol:oxygen oxidoreductase; Oxygen + 2 Catechol <=> 2 o-Benzoquinone + 2 H2O
R00059	N-(6-aminohexanoyl)-6-aminohexanoate amidohydrolase; N-(6-Aminohexanoyl)-6-aminohexanoate + H2O <=> 2 6-Aminohexanoate
R00060	sulochrin:oxygen oxidoreductase (cyclizing, (+)-specific); Oxygen + 2 Sulochrin <=> 2 (+)-Bisdechlorogeodin + 2 H2O
R00061	sulochrin:oxygen oxidoreductase (cyclizing, (-)-specific); Oxygen + 2 Sulochrin <=> 2 (-)-Bisdechlorogeodin + 2 H2O
R00062	bilirubin-glucuronoside:bilirubin-glucuronoside D-glucuronosyltransferase; 2 Bilirubin-glucuronoside <=> Bilirubin + Bilirubin beta-diglucuronide
R00063	1-O-sinapoyl-beta-D-glucose:1-O-sinapoyl-beta-D-glucose 1-O-sinapoyltransferase; 1-O-(4-hydroxy-3,5-dimethoxycinnamoyl)-beta-D-glucoside:1-O-(4-hydroxy-3,5-dimethoxycinnamoyl-beta-D-glucoside 1-O-sinapoyltransferase; 2 1-O-Sinapoyl-beta-D-glucose <=> 1,2-Bis-O-sinapoyl-beta-D-glucose + D-Glucose
R00066	6,7-dimethyl-8-(1-D-ribityl)lumazine:6,7-dimethyl-8-(1-D-ribityl)lumazine 2,3-butanediyltransferase; 2 6,7-Dimethyl-8-(D-ribityl)lumazine <=> Riboflavin + 5-Amino-6-(1-D-ribitylamino)uracil
R00067	reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing); 2 e- + 2 H+ <=> Hydrogen
R00068	L-ascorbate:oxygen oxidoreductase; Oxygen + 2 Ascorbate <=> 2 Dehydroascorbate + 2 H2O
R00069	4-imidazolone-5-propanoate:oxygen oxidoreductase; Hydantoin-5-propionate + Hydrogen peroxide <=> 4-Imidazolone-5-propanoate + Oxygen + H2O
R00070	D-urobilinogen:oxygen oxidoreductase; 2 D-Urobilinogen + Oxygen <=> 2 D-Urobilin + 2 H2O
R00072	thiamine-aldehyde:oxygen 5-oxidoreductase; Thiamine aldehyde + Oxygen + H2O <=> Hydrogen peroxide + Thiamine acetic acid
R00073	reduced acceptor:prostaglandin G2 oxidoreductase; Prostaglandin H2 + Acceptor + H2O <=> Prostaglandin G2 + Reduced acceptor
R00074	2-aminophenol:oxygen oxidoreductase (dimerizing); 4 2-Aminophenol + 3 Oxygen <=> 2 2-Aminophenoxazin-3-one + 6 H2O
R00075	S-adenosyl-L-methionine:S-adenosyl-L-methionine 3-amino-3-carboxypropyltransferase; 3 S-Adenosyl-L-methionine <=> 3 5'-Methylthioadenosine + Nicotianamine
R00076	ATP:phosphorylase-b phosphotransferase; ATP:[glycogen phosphorylase] phosphotransferase; 4 ATP + 2 Phosphorylase b <=> 4 ADP + Phosphorylase a
R00077	[phosphorylase a] phosphohydrolase; [glycogen phosphorylase] phosphohydrolase; Phosphorylase a + 4 H2O <=> 2 Phosphorylase b + 4 Orthophosphate
R00078	Fe(II):oxygen oxidoreductase; Fe2+:oxygen oxidoreductase; Oxygen + 4 Fe2+ + 4 H+ <=> 4 Fe3+ + 2 H2O
R00080	catechol:oxygen oxidoreductase (dimerizing); 4 Catechol + 3 Oxygen <=> 6 H2O + 2 Dibenzo[1,4]dioxin-2,3-dione
R00081	ferrocytochrome-c:oxygen oxidoreductase; Oxygen + 4 Ferrocytochrome c + 8 H+ <=> 4 Ferricytochrome c + 2 H2O + 4 H+
R00082	ferrocytochrome c2:oxygen oxidoreductase; Oxygen + 4 Ferrocytochrome c2 <=> 4 Ferricytochrome c2 + 2 H2O
R00083	benzenediol:oxygen oxidoreductase; Oxygen + 4 Benzenediol <=> 4 Semiquinone + 2 H2O
R00084	porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing); porphobilinogen ammonia-lyase (polymerizing); 4 Porphobilinogen + H2O <=> Hydroxymethylbilane + 4 Ammonia
R00085	ATP diphosphohydrolase (phosphate-forming); ATP + 2 H2O <=> AMP + 2 Orthophosphate
R00086	ATP phosphohydrolase; ATP + H2O <=> ADP + Orthophosphate
R00087	ATP diphosphohydrolase (diphosphate-forming); ATP pyrophosphohydrolase; ATP + H2O <=> AMP + Diphosphate
R00088	ATP aminohydrolase; ATP + H2O <=> ITP + Ammonia
R00089	ATP diphosphate-lyase (cyclizing; 3',5'-cyclic-AMP-forming); ATP <=> 3',5'-Cyclic AMP + Diphosphate
R00090	NADH:hydrogen-peroxide oxidoreductase; Hydrogen peroxide + NADH + H+ <=> NAD+ + 2 H2O
R00091	CoA:NAD+ oxidoreductase; NAD+ + 2 CoA <=> CoA-disulfide + NADH + H+
R00092	Fe2+:NAD+ oxidoreductase; NADH:Fe3+ oxidoreductase; NAD+ + 2 Fe2+ <=> NADH + H+ + 2 Fe3+
R00093	L-glutamate:NAD+ oxidoreductase (transaminating); 2 L-Glutamate + NAD+ <=> L-Glutamine + 2-Oxoglutarate + NADH + H+
R00094	glutathione:NAD+ oxidoreductase; 2 Glutathione + NAD+ <=> Glutathione disulfide + NADH + H+
R00095	NADH:monodehydroascorbate oxidoreductase; NAD+ + 2 Ascorbate <=> NADH + 2 Monodehydroascorbate + H+
R00097	Cob(II)alamin <=> Aquacob(III)alamin
R00099	Cob(I)alamin <=> Cob(II)alamin
R00100	NADH:ferricytochrome-b5 oxidoreductase; NADH + 2 Ferricytochrome b5 <=> NAD+ + 2 Ferrocytochrome b5 + H+
R00101	NADH:ferrileghemoglobin oxidoreductase; NADH + 2 Ferrileghemoglobin <=> NAD+ + 2 Ferroleghemoglobin + H+
R00102	NAD+ glycohydrolase; NAD+ + H2O <=> Nicotinamide + ADP-ribose
R00103	NAD+ phosphohydrolase; NAD+ + H2O <=> AMP + Nicotinamide D-ribonucleotide
R00104	ATP:NAD+ 2'-phosphotransferase; ATP + NAD+ <=> ADP + NADP+
R00105	ATP:NADH 2'-phosphotransferase; ATP + NADH <=> ADP + NADPH
R00106	NADPH:ferricytochrome oxidoreductase; NADPH + 2 Ferricytochrome <=> NADP+ + 2 Ferrocytochrome + H+
R00108	NADPH:ferricytochrome-c2 oxidoreductase; NADPH + 2 Ferricytochrome c2 <=> NADP+ + 2 Ferrocytochrome c2 + H+
R00109	NADPH:ferrileghemoglobin oxidoreductase; NADPH + 2 Ferrileghemoglobin <=> NADP+ + 2 Ferroleghemoglobin + H+
R00111	N-(omega)-hydroxyarginine,NADPH:oxygen oxidoreductase (nitric-oxide-forming); NADPH + 2 N(omega)-Hydroxyarginine + 2 Oxygen + H+ <=> NADP+ + 2 Nitric oxide + 2 L-Citrulline + 2 H2O
R00112	NADPH:NAD+ oxidoreductase; NADPH + NAD+ <=> NADP+ + NADH
R00113	NADPH:hydrogen-peroxide oxidoreductase; Hydrogen peroxide + NADPH + H+ <=> NADP+ + 2 H2O
R00114	L-glutamate:NADP+ oxidoreductase (transaminating); 2 L-Glutamate + NADP+ <=> L-Glutamine + 2-Oxoglutarate + NADPH + H+
R00115	glutathione:NADP+ oxidoreductase; 2 Glutathione + NADP+ <=> Glutathione disulfide + NADPH + H+
R00118	NADP+ 2'-phosphohydrolase; NADP+ + H2O <=> Orthophosphate + NAD+
R00119	NADP+:nicotinate ADP-ribosyltransferase; NADP+ + Nicotinate <=> Nicotinamide + Nicotinic acid adenine dinucleotide phosphate
R00120	glutathione:oxygen oxidoreductase; Oxygen + 2 Glutathione <=> Glutathione disulfide + Hydrogen peroxide
R00122	ADP phosphohydrolase; ADP + H2O <=> AMP + Orthophosphate
R00123	ADP aminohydrolase; ADP + H2O <=> IDP + Ammonia
R00124	ATP:ADP phosphatransferase; ATP + ADP <=> ADP + ATP
R00125	P1,P4-bis(5'-adenosyl)-tetraphosphate nucleotidebisphosphohydrolase; P1,P4-Bis(5'-adenosyl)tetraphosphate + H2O <=> 2 ADP
R00126	ADP:ATP adenylyltransferase; ADP + ATP <=> Orthophosphate + P1,P4-Bis(5'-adenosyl)tetraphosphate
R00127	ATP:AMP phosphotransferase; ATP + AMP <=> 2 ADP
R00128	adenosine-tetraphosphate phosphohydrolase; Adenosine tetraphosphate + H2O <=> ATP + Orthophosphate
R00129	(6S)-6beta-hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide hydro-lyase (ATP-hydrolysing, NADH-forming); ATP + (6S)-6beta-Hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide <=> ADP + Orthophosphate + NADH
R00130	ATP:dephospho-CoA 3'-phosphotransferase; ATP + Dephospho-CoA <=> ADP + CoA
R00131	urea amidohydrolase; Urea + H2O <=> CO2 + 2 Ammonia
R00132	carbonate hydro-lyase (carbon-dioxide-forming); carbonic acid hydro-lyase; Carbonic acid <=> CO2 + H2O
R00134	formate:NADP+ oxidoreductase; Formate + NADP+ <=> CO2 + NADPH + H+
R00135	Peptide + H2O <=> L-Proline + Peptide
R00137	ATP:nicotinamide-nucleotide adenylyltransferase; ATP + Nicotinamide D-ribonucleotide <=> Diphosphate + NAD+
R00138	triphosphate phosphohydrolase; Triphosphate + H2O <=> Diphosphate + Orthophosphate
R00139	ATP:2'-deoxy-5-hydroxymethylcytidine-5'-diphosphate phosphotransferase; 2'-Deoxy-5-hydroxymethylcytidine-5'-diphosphate + ATP <=> 2'-Deoxy-5-hydroxymethylcytidine-5'-triphosphate + ADP
R00140	ATP:5-hydroxymethyldeoxycytidylate phosphotransferase; 2'-Deoxy-5-hydroxymethylcytidine-5'-diphosphate + ADP <=> 5-Hydroxymethyldeoxycytidylate + ATP
R00141	ATP:ammonia phosphotransferase; ATP + Ammonia <=> ADP + Phosphoramidate
R00143	ammonia:NAD+ oxidoreductase; NADH:hydroxylamine oxidoreductase; Ammonia + NAD+ + H2O <=> Hydroxylamine + NADH + H+
R00145	alpha-amino acid:NAD+ oxidoreductase (deaminating); alpha-Amino acid + H2O + NAD+ <=> 2-Oxo acid + Ammonia + NADH + H+
R00146	alpha-amino acid:NADP+ oxidoreductase (deaminating); alpha-Amino acid + H2O + NADP+ <=> 2-Oxo acid + Ammonia + NADPH + H+
R00148	ammonia,ubiquinol:oxygen oxidoreductase; ammonia monooxygenase; Ammonia + Oxygen + Ubiquinol <=> Hydroxylamine + H2O + Ubiquinone
R00149	carbon-dioxide:ammonia ligase (ADP-forming,carbamate-phosphorylating); 2 ATP + Ammonia + CO2 + H2O <=> 2 ADP + Orthophosphate + Carbamoyl phosphate
R00150	ATP:carbamate phosphotransferase; ATP + Ammonia + HCO3- <=> ADP + Carbamoyl phosphate + H2O
R00152	hydrogen cyanide aminohydrolase; Hydrogen cyanide + 2 H2O <=> Ammonia + Formate
R00153	reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing); Hydrazine + 2 e- + 2 H+ <=> 2 Ammonia
R00155	UDP phosphohydrolase; UDP + H2O <=> UMP + Orthophosphate
R00156	ATP:UDP phosphotransferase; ATP + UDP <=> ADP + UTP
R00157	uridine triphosphate:AMP phosphotransferase; UTP:AMP phosphotransferase; UTP + AMP <=> UDP + ADP
R00158	ATP:UMP phosphotransferase; ATP + UMP <=> ADP + UDP
R00159	UTP phosphohydrolase; UTP + H2O <=> UDP + Orthophosphate
R00160	FAD nucleotidohydrolase; FAD + H2O <=> AMP + FMN
R00161	ATP:FMN adenylyltransferase; ATP + FMN <=> Diphosphate + FAD
R00162	ATP:protein phosphotransferase; ATP:protein phosphotransferase (Ca2+/calmodulin-dependent); ATP + Protein <=> ADP + Phosphoprotein
R00164	phosphoprotein phosphohydrolase; Phosphoprotein + H2O <=> Protein + Orthophosphate
R00165	Protein <=> L-Alanyl-tRNA
R00166	Protein <=> L-Leucyl-tRNA
R00167	L-Arginyl-tRNA(Arg) <=> Protein-L-arginine
R00168	Protein <=> L-Valyl-tRNA(Val)
R00169	Protein <=> L-Glutamyl-tRNA(Glu)
R00170	Protein <=> L-Isoleucyl-tRNA(Ile)
R00172	Protein <=> Selenomethionyl-tRNA(Met)
R00173	pyridoxal-5'-phosphate phosphohydrolase; Pyridoxal phosphate + H2O <=> Pyridoxal + Orthophosphate
R00174	ATP:pyridoxal 5'-phosphotransferase; ATP + Pyridoxal <=> ADP + Pyridoxal phosphate
R00177	ATP:L-methionine S-adenosyltransferase; Orthophosphate + Diphosphate + S-Adenosyl-L-methionine <=> ATP + L-Methionine + H2O
R00178	S-adenosyl-L-methionine carboxy-lyase [S-adenosyl 3-(methylsulfanyl)propylamine-forming]; S-Adenosyl-L-methionine + H+ <=> S-Adenosylmethioninamine + CO2
R00179	S-adenosyl-L-methionine methylthioadenosine-lyase (1-aminocyclopropane-1-carboxylate-forming); S-Adenosyl-L-methionine <=> 1-Aminocyclopropane-1-carboxylate + 5'-Methylthioadenosine
R00181	AMP aminohydrolase; AMP + H2O <=> IMP + Ammonia
R00182	AMP phosphoribohydrolase; AMP + H2O <=> Adenine + D-Ribose 5-phosphate
R00183	adenosine 5'-monophosphate phosphohydrolase; AMP + H2O <=> Adenosine + Orthophosphate
R00184	P1,P4-bis(5'-adenosyl)-tetraphosphate adenylohydrolase; P1,P4-Bis(5'-adenosyl)tetraphosphate + H2O <=> ATP + AMP
R00185	ATP:adenosine 5'-phosphotransferase; ATP + Adenosine <=> ADP + AMP
R00187	P1,P3-bis(5'-adenosyl)-triphosphate adenylohydrolase; P1,P3-Bis(5'-adenosyl) triphosphate + H2O <=> ADP + AMP
R00188	adenosine-3',5'-bisphosphate 3'-phosphohydrolase; Adenosine 3',5'-bisphosphate + H2O <=> AMP + Orthophosphate
R00189	deamido-NAD+:ammonia ligase (AMP-forming); ATP + Deamino-NAD+ + Ammonia <=> AMP + Diphosphate + NAD+
R00190	AMP:diphosphate phospho-D-ribosyltransferase; AMP + Diphosphate <=> Adenine + 5-Phospho-alpha-D-ribose 1-diphosphate
R00191	adenosine 3',5'-phosphate 5'-nucleotidohydrolase; 3',5'-Cyclic AMP + H2O <=> AMP
R00192	S-adenosyl-L-homocysteine hydrolase; S-Adenosyl-L-homocysteine + H2O <=> Adenosine + L-Homocysteine
R00193	S-adenosyl-L-homocysteine aminohydrolase; S-Adenosyl-L-homocysteine + H2O <=> S-Inosyl-L-homocysteine + Ammonia
R00194	S-adenosyl-L-homocysteine homocysteinylribohydrolase; S-Adenosyl-L-homocysteine + H2O <=> S-Ribosyl-L-homocysteine + Adenine
R00195	2,3-diaminopropanoate ammonia-lyase (adding water; pyruvate-forming); 2,3-Diaminopropanoate + H2O <=> Pyruvate + 2 Ammonia
R00196	(S)-lactate:ferricytochrome-c 2-oxidoreductase; (S)-Lactate + 2 Ferricytochrome c <=> Pyruvate + 2 Ferrocytochrome c + 2 H+
R00197	(R)-lactate:ferricytochrome-c 2-oxidoreductase; (R)-Lactate + 2 Ferricytochrome c <=> Pyruvate + 2 Ferrocytochrome c + 2 H+
R00198	(R)-lactate:ferricytochrome-c-553 2-oxidoreductase; (R)-Lactate + 2 Ferricytochrome c-553 <=> Pyruvate + 2 Ferrocytochrome c-553 + 2 H+
R00199	ATP:pyruvate,water phosphotransferase; ATP + Pyruvate + H2O <=> AMP + Phosphoenolpyruvate + Orthophosphate
R00200	ATP:pyruvate 2-O-phosphotransferase; ATP + Pyruvate <=> ADP + Phosphoenolpyruvate
R00203	pyruvaldehyde:NAD+ oxidoreductase; 2-oxopropanal:NAD+ oxidoreductase; Methylglyoxal + NAD+ + H2O <=> Pyruvate + NADH + H+
R00205	2-oxopropanal:NADP+ oxidoreductase; Methylglyoxal + NADP+ + H2O <=> Pyruvate + NADPH + H+
R00206	ATP:pyruvate,phosphate phosphotransferase; ATP + Pyruvate + Orthophosphate <=> AMP + Phosphoenolpyruvate + Diphosphate
R00207	pyruvate:oxygen 2-oxidoreductase (phosphorylating); Pyruvate + Orthophosphate + Oxygen <=> Acetyl phosphate + Hydrogen peroxide + CO2
R00208	phosphoenolpyruvate phosphohydrolase; Phosphoenolpyruvate + H2O <=> Pyruvate + Orthophosphate
R00209	pyruvate:NAD+ 2-oxidoreductase (CoA-acetylating); pyruvate dehydrogenase complex; Pyruvate + CoA + NAD+ <=> Acetyl-CoA + CO2 + NADH + H+
R00210	pyruvate:NADP+ 2-oxidoreductase (CoA-acetylating); Pyruvate + CoA + NADP+ <=> Acetyl-CoA + CO2 + NADPH + H+
R00211	pyruvate:oxygen 2-oxidoreductase (CoA-acetylating); Pyruvate + CoA + Oxygen <=> Hydrogen peroxide + Acetyl-CoA + CO2
R00212	acetyl-CoA:formate C-acetyltransferase; Acetyl-CoA + Formate <=> CoA + Pyruvate
R00213	O-carbamoyl-L-serine ammonia-lyase (decarboxylating; pyruvate-forming); O-Carbamoyl-L-serine + H2O <=> Pyruvate + 2 Ammonia + CO2
R00214	(S)-malate:NAD+ oxidoreductase (decarboxylating); (S)-Malate + NAD+ <=> Pyruvate + CO2 + NADH + H+
R00215	(R)-malate:NAD+ oxidoreductase (decarboxylating); (R)-Malate + NAD+ <=> Pyruvate + CO2 + NADH + H+
R00216	(S)-malate:NADP+ oxidoreductase(oxaloacetate-decarboxylating); (S)-Malate + NADP+ <=> Pyruvate + CO2 + NADPH + H+
R00217	oxaloacetate carboxy-lyase (pyruvate-forming); Oxaloacetate <=> Pyruvate + CO2
R00218	acetylenedicarboxylate carboxy-lyase (pyruvate-forming); Acetylenedicarboxylate + H2O <=> Pyruvate + CO2
R00219	2-hydroxyethylenedicarboxylate carboxy-lyase (pyruvate-forming); Pyruvate + CO2 <=> 2-Hydroxyethylenedicarboxylate
R00220	L-serine ammonia-lyase; L-Serine <=> Pyruvate + Ammonia
R00221	D-serine ammonia-lyase; D-Serine <=> Pyruvate + Ammonia
R00223	serine ammonia-lyase (pyruvate-forming); Serine <=> Pyruvate + Ammonia
R00224	pyruvate carboxy-lyase (acetaldehyde-forming); Pyruvate <=> Acetaldehyde + CO2
R00226	pyruvate:pyruvate acetaldehydetransferase (decarboxylating); (S)-2-acetolactate pyruvate-lyase (carboxylating); (S)-2-Acetolactate + CO2 <=> 2 Pyruvate
R00227	acetyl-CoA hydrolase; Acetyl-CoA + H2O <=> CoA + Acetate
R00228	acetaldehyde:NAD+ oxidoreductase (CoA-acetylating); Acetaldehyde + CoA + NAD+ <=> Acetyl-CoA + NADH + H+
R00229	acetate:CoA ligase (ADP-forming); ATP + Acetate + CoA <=> ADP + Acetyl-CoA + Orthophosphate
R00230	acetyl-CoA:phosphate acetyltransferase; Acetyl-CoA + Orthophosphate <=> CoA + Acetyl phosphate
R00233	malonyl-CoA carboxy-lyase (acetyl-CoA-forming); Malonyl-CoA <=> Acetyl-CoA + CO2
R00235	acetate:CoA ligase (AMP-forming); ATP + Acetate + CoA <=> AMP + Diphosphate + Acetyl-CoA
R00236	acetyl adenylate:CoA acetyltransferase; Acetyl adenylate + CoA <=> AMP + Acetyl-CoA
R00237	(3S)-citramalyl-CoA pyruvate-lyase (acetyl-CoA-forming); (3S)-Citramalyl-CoA <=> Acetyl-CoA + Pyruvate
R00238	acetyl-CoA:acetyl-CoA C-acetyltransferase; 2 Acetyl-CoA <=> CoA + Acetoacetyl-CoA
R00239	ATP:L-glutamate 5-phosphotransferase; ATP + L-Glutamate <=> ADP + L-Glutamyl 5-phosphate
R00243	L-glutamate:NAD+ oxidoreductase (deaminating); L-Glutamate + NAD+ + H2O <=> 2-Oxoglutarate + Ammonia + NADH + H+
R00245	L-glutamate gamma-semialdehyde:NAD+ oxidoreductase; L-Glutamate 5-semialdehyde + NAD+ + H2O <=> L-Glutamate + NADH + H+
R00248	L-glutamate:NADP+ oxidoreductase (deaminating); L-Glutamate + NADP+ + H2O <=> 2-Oxoglutarate + Ammonia + NADPH + H+
R00250	L-glutamate:oxygen oxidoreductase (deaminating); L-Glutamate + Oxygen + H2O <=> 2-Oxoglutarate + Ammonia + Hydrogen peroxide
R00251	5-oxo-L-proline amidohydrolase (ATP-hydrolysing); ATP + 5-Oxoproline + 2 H2O <=> ADP + Orthophosphate + L-Glutamate
R00253	L-glutamate:ammonia ligase (ADP-forming); ATP + L-Glutamate + Ammonia <=> ADP + Orthophosphate + L-Glutamine
R00254	N-carbamyl-L-glutamate amidohydrolase; L-Glutamate + Ammonia + CO2 <=> N-Carbamyl-L-glutamate + H2O
R00256	L-glutamine amidohydrolase; L-Glutamine + H2O <=> L-Glutamate + Ammonia
R00257	deamido-NAD+:L-glutamine amido-ligase (AMP-forming); ATP + Deamino-NAD+ + L-Glutamine + H2O <=> AMP + Diphosphate + NAD+ + L-Glutamate
R00258	L-alanine:2-oxoglutarate aminotransferase; L-Alanine + 2-Oxoglutarate <=> Pyruvate + L-Glutamate
R00259	acetyl-CoA:L-glutamate N-acetyltransferase; Acetyl-CoA + L-Glutamate <=> CoA + N-Acetyl-L-glutamate
R00260	glutamate racemase; L-Glutamate <=> D-Glutamate
R00261	L-glutamate 1-carboxy-lyase (4-aminobutanoate-forming); L-Glutamate <=> 4-Aminobutanoate + CO2
