ko,gene,id,url,sp_code,name
K00297,BJAB0715_02017,0,,abab,
K00121,IX88_10825,0,,abaa,
K01070,BJAB0715_00692,0,,abab,
K00925,BJAB0715_00523,0,,abab,
K13788,IX88_04710,0,,abaa,
K00600,CbuK_1492,0,,cbc,glyA
K00600,IX88_14520,0,,abaa,glyA
K00058,IX88_00525,0,,abaa,
K00831,ABAYE0877,0,,aby,serC
K00831,CbuG_1469,0,,cbg,serC
K01079,IX88_01740,0,,abaa,
K01752,CBUD_1902,0,,cbd,sdaA
K01752,BJAB0715_01517,0,,abab,
K01752,IX87_03780,0,,abau,
K01754,IX88_11755,0,,abaa,
K00282,CbuK_0294,0,,cbc,gvcPA
K00283,CbuK_0295,0,,cbc,gvcPB
K00605,CbuK_0292,0,,cbc,gvcT
K00640,ACICU_01447,0,,abc,
K01738,IX88_03185,0,,abaa,
K12339,IX88_05085,0,,abaa,
K00140,BDGL_001264,0,,acc,mmsA
K01782,ABBFA_000607,0,,abb,
K01782,IX88_17450,0,,abaa,
K01825,BJAB0715_00348,0,,abab,
K00209,CbuK_0462,0,,cbc,
K01647,IX88_16725,0,,abaa,gltA
K01681,ABD1_05220,0,,abad,acnA
K01681,CbuG_0101,0,,cbg,acnA
K01682,ABZJ_02481,0,,abz,
K00031,BJAB0715_02867,0,,abab,
K00031,CbuK_1064,0,,cbc,icd
K00812,IX88_15745,0,,abaa,
K00812,CbuK_1319,0,,cbc,aspC
K00928,IX88_07950,0,,abaa,
K00928,CbuK_0787,0,,cbc,lysC
K00133,IX88_04430,0,,abaa,
K00133,CbuK_0742,0,,cbc,asd
K00836,IX88_15465,0,,abaa,
K14260,ABD1_14660,0,,abad,
K00620,BJAB0868_00714,0,,abaj,
K14682,IX88_02470,0,,abaa,
K00930,IX88_06415,0,,abaa,
K00145,ABTW07_2235,0,,abd,
K00821,P795_7205,0,,abaz,
K01703,ABAYE3360,0,,aby,leuC
K01704,IX88_04375,0,,abaa,
K00052,ABK1_0460,0,,abx,
K01652,IX87_00745,0,,abau,
K01652,IX88_04910,0,,abaa,
K01653,IX88_04915,0,,abaa,
K00053,IX88_04920,0,,abaa,
K00826,CbuK_1649,0,,cbc,
K00826,BJAB0715_03307,0,,abab,
K01649,IX88_04665,0,,abaa,
K01962,IX88_05245,0,,abaa,
K01962,COXBURSA331_A1693,0,,cbs,accA
K02160,COXBURSA331_A1917,0,,cbs,accB
K02160,IX88_12280,0,,abaa,
K01961,CBUD_0276,0,,cbd,accC
K01961,IX88_12285,0,,abaa,
K01963,IX88_17520,0,,abaa,
K01963,CbuK_0758,0,,cbc,accD
K11263,ABLAC_21050,0,,abal,
K00645,CBU_0494,0,,cbu,fabD
K00645,Pput_3801,0,,ppf,
K00645,IX88_06075,0,,abaa,
K00648,CbuK_1367,0,,cbc,fabH
K00647,BJAB0715_00850,0,,abab,
K09458,CbuK_1361,0,,cbc,fabF
K00059,P795_10160,0,,abaz,
K00059,IX88_06080,0,,abaa,fabG
K00059,CbuK_1363,0,,cbc,
K02372,Z664_00920,0,,cea,
K02372,IX88_12050,0,,abaa,
K00208,BJAB0715_00554,0,,abab,
K00209,CbuK_0462,0,,cbc,
K00626,BJAB0868_01504,0,,abaj,
K00632,IX88_03825,0,,abaa,fadA
K01825,BJAB0715_00348,0,,abab,
K01782,ABBFA_000607,0,,abb,
K01782,IX88_17450,0,,abaa,
K01692,P795_10680,0,,abaz,
K06445,ABLAC_11270,0,,abal,
K01897,IX88_03275,0,,abaa,
K00507,ABZJ_03312,0,,abz,
K00507,CbuG_1085,0,,cbg,
K01803,CbuK_0582,0,,cbc,tpiA
K01803,IX88_03945,0,,abaa,
K00134,COXBURSA331_A1980,0,,cbs,gap
K00134,BJAB0868_01271,0,,abaj,
K00927,CBUD_0226,0,,cbd,pgk
K00927,IX88_09735,0,,abaa,
K15633,IX88_03390,0,,abaa,
K15633,CbuK_1762,0,,cbc,gpmI
K01689,CbuK_0336,0,,cbc,eno
K01689,IX88_11655,0,,abaa,eno
K00873,CBUD_0227,0,,cbd,pyk
K00873,AFUA_6G07430,0,,afm,
K01624,IX88_09745,0,,abaa,
K01624,CbuK_0230,0,,cbc,fbaA
K00615,CBU_1784,0,,cbu,tkt
K00615,CbuG_0163,0,,cbg,tkt
K00615,BDGL_000248,0,,acc,tktA
K00616,IX88_12825,0,,abaa,
K01783,CbuK_0172,0,,cbc,rpe
K01783,PPUBIRD1_0453,0,,ppb,rpe
K01783,IX88_05475,0,,abaa,
K01807,BJAB0715_02175,0,,abab,
K01807,CbuK_0214,0,,cbc,rpiA
K00948,CbuK_0127,0,,cbc,prs
K00948,IX88_06135,0,,abaa,
K01703,ABAYE3360,0,,aby,leuC
K01704,IX88_04375,0,,abaa,
K00052,ABK1_0460,0,,abx,
K01652,IX87_00745,0,,abau,
K01652,IX88_04910,0,,abaa,
K01653,IX88_04915,0,,abaa,
K00053,IX88_04920,0,,abaa,
K00826,CbuK_1649,0,,cbc,
K00826,BJAB0715_03307,0,,abab,
K01649,IX88_04665,0,,abaa,
K01754,IX88_11755,0,,abaa,
K01752,CBUD_1902,0,,cbd,sdaA
K01752,BJAB0715_01517,0,,abab,
K01752,IX87_03780,0,,abau,
K00600,CbuK_1492,0,,cbc,glyA
K00600,IX88_14520,0,,abaa,glyA
K00058,IX88_00525,0,,abaa,
K00831,ABAYE0877,0,,aby,serC
K00831,CbuG_1469,0,,cbg,serC
K01079,IX88_01740,0,,abaa,
K02203,IX88_17040,0,,abaa,
K00640,ACICU_01447,0,,abc,
K01738,IX88_03185,0,,abaa,
K12339,IX88_05085,0,,abaa,
K00928,IX88_07950,0,,abaa,
K00928,CbuK_0787,0,,cbc,lysC
K00133,IX88_04430,0,,abaa,
K00133,CbuK_0742,0,,cbc,asd
K00003,ACICU_00262,0,,abc,
K02204,ABSDF0228,0,,abm,
K01733,IX88_03420,0,,abaa,
K14260,ABD1_14660,0,,abad,
K00812,IX88_15745,0,,abaa,
K00812,CbuK_1319,0,,cbc,aspC
K01915,BJAB0715_02756,0,,abab,
K00264,CIMG_02486,0,,cim,
K00265,IX88_00695,0,,abaa,gltB
K00266,IX88_00690,0,,abaa,
K00836,IX88_15465,0,,abaa,
K01760,P795_2000,0,,abaz,
K00548,BJAB0715_01082,0,,abab,
K00549,P795_14045,0,,abaz,
K00789,CbuG_2040,0,,cbg,metK
K00789,IX88_09605,0,,abaa,
K01243,P795_13780,0,,abaz,
K01243,IX88_02435,0,,abaa,
K01647,IX88_16725,0,,abaa,gltA
K01681,ABD1_05220,0,,abad,acnA
K01681,CbuG_0101,0,,cbg,acnA
K01682,ABZJ_02481,0,,abz,
K00031,BJAB0715_02867,0,,abab,
K00031,CbuK_1064,0,,cbc,icd
K00620,BJAB0868_00714,0,,abaj,
K14682,IX88_02470,0,,abaa,
K00930,IX88_06415,0,,abaa,
K00145,ABTW07_2235,0,,abd,
K00821,P795_7205,0,,abaz,
K01940,ACICU_01105,0,,abc,
K01755,BJAB0715_00306,0,,abab,
K00931,ABD1_24850,0,,abad,proB
K00147,ABD1_04610,0,,abad,proA
K00286,CbuK_2140,0,,cbc,proC
K00286,BJAB0715_00654,0,,abab,
K01750,CBUD_0275,0,,cbd,
K01714,ABD1_01990,0,,abad,dapA
K01714,IX87_00995,0,,abau,
K01714,IX88_01900,0,,abaa,
K01714,CbuK_1082,0,,cbc,dapA
K00215,IX88_02010,0,,abaa,
K00215,CbuK_0303,0,,cbc,dapB
K00674,IX88_15890,0,,abaa,dapD
K00674,CBUD_0677,0,,cbd,dapD
K14267,P795_9855,0,,abaz,
K01439,IX88_17230,0,,abaa,
K01439,COXBURSA331_A0781,0,,cbs,dapE
K01778,IX88_16180,0,,abaa,dapF
K01778,CbuK_2021,0,,cbc,dapF
K01586,BJAB0868_02846,0,,abaj,
K00765,IX88_05370,0,,abaa,hisG
K02502,BJAB0868_01272,0,,abaj,
K11755,BJAB0868_00407,0,,abaj,
K01814,IX88_00965,0,,abaa,
K02500,ABTW07_3655,0,,abd,hisF
K02501,BJAB0715_03588,0,,abab,
K01693,IX88_00945,0,,abaa,
K00817,P795_14270,0,,abaz,
K00013,IX88_05375,0,,abaa,
K01626,BJAB0715_01876,0,,abab,
K01626,IX88_10240,0,,abaa,
K01626,CBUD_1066,0,,cbd,
K01735,BJAB0868_03435,0,,abaj,
K01735,CbuG_0267,0,,cbg,aroB
K03785,CbuK_2120,0,,cbc,aroD
K03785,ABBFA_001570,0,,abb,
K03786,IX88_12275,0,,abaa,
K00014,ABZJ_03492,0,,abz,
K00014,CbuK_0199,0,,cbc,aroE
K00891,X969_24305,0,,pmon,aroK
K00891,IX88_00710,0,,abaa,aroK
K00891,CbuK_0191,0,,cbc,aroK
K00800,ABBFA_001168,0,,abb,aroA
K00800,CbuG_1468,0,,cbg,aroA
K01736,BJAB0715_01914,0,,abab,
K01736,CbuG_1128,0,,cbg,aroC
K01657,BJAB0868_00342,0,,abaj,
K01658,IX88_15080,0,,abaa,
K00766,BJAB0715_02763,0,,abab,
K01817,BJAB0715_03275,0,,abab,
K01609,BJAB0715_02764,0,,abab,
K01695,IX88_17525,0,,abaa,
K01696,IX88_17550,0,,abaa,
K06001,IX88_10420,0,,abaa,
K04093,BJAB0715_02394,0,,abab,
K14170,IX88_14380,0,,abaa,
K00832,BJAB0868_00117,0,,abaj,
K00220,ABBFA_001168,0,,abb,aroA
K05549,ABZJ_01351,0,,abz,
K05550,BJAB0868_01309,0,,abaj,
K05784,BDGL_000464,0,,acc,benC
K05783,IX88_08130,0,,abaa,
K03381,ABD1_18690,0,,abad,catA
K01856,IX87_20690,0,,abau,
K03464,IX88_11405,0,,abaa,
K01055,ABBFA_001565,0,,abb,pcaD
K01055,ABZJ_02143,0,,abz,
K00448,IX88_11595,0,,abaa,
K00449,IX88_11600,0,,abaa,
K01857,ABBFA_001564,0,,abb,pcaB
K01607,BJAB0868_01484,0,,abaj,
K01607,IX88_11605,0,,abaa,
K00529,IX88_06760,0,,abaa,
K00481,IX88_08640,0,,abaa,
K00481,ABLAC_21800,0,,abal,
K01826,P795_6470,0,,abaz,
K13954,ABZJ_02450,0,,abz,
K00121,IX88_10825,0,,abaa,
K01810,BL01_01380,0,,abw,
K21071,CbuK_1135,0,,cbc,
K03841,ABTW07_3011,0,,abd,fbp
K01624,IX88_09745,0,,abaa,
K01624,CbuK_0230,0,,cbc,fbaA
K01803,CbuK_0582,0,,cbc,tpiA
K01803,IX88_03945,0,,abaa,
K00134,COXBURSA331_A1980,0,,cbs,gap
K00134,BJAB0868_01271,0,,abaj,
K00927,CBUD_0226,0,,cbd,pgk
K00927,IX88_09735,0,,abaa,
K15633,IX88_03390,0,,abaa,
K15633,CbuK_1762,0,,cbc,gpmI
K01689,CbuK_0336,0,,cbc,eno
K01689,IX88_11655,0,,abaa,eno
K00873,CBUD_0227,0,,cbd,pyk
K00873,AFUA_6G07430,0,,afm,
K00163,IX88_01420,0,,abaa,aceE
K00163,CbuK_1398,0,,cbc,aceE
K00161,PPUBIRD1_0605,0,,ppb,acoA
K00161,IX88_10455,0,,abaa,
K00161,LFML04_1773,0,,lfi,
K00162,A1S_1700,0,,acb,
K00162,LFML04_1774,0,,lfi,
K00627,PP4_03680,0,,ppun,acoC
K00627,ABBFA_000155,0,,abb,
K00627,M3Q_2088,0,,abh,
K00627,CbuK_1397,0,,cbc,pdhC.2
K00382,CBUD_1612,0,,cbd,lpdA
K00382,ABSDF0493,0,,abm,lpd
K00382,ABD1_16950,0,,abad,lpd
K00121,IX88_10825,0,,abaa,
K13954,ABZJ_02450,0,,abz,
K00128,P795_10570,0,,abaz,
K00138,IX88_13050,0,,abaa,
K01785,IX88_06830,0,,abaa,
K01835,TREMEDRAFT_45127,0,,tms,
K15778,ABBFA_002727,0,,abb,
K15778,CbuK_0491,0,,cbc,algC
K00131,ABD1_04600,0,,abad,
K01596,IX88_16500,0,,abaa,
K01610,CBUD_2191,0,,cbd,pckA
K01647,IX88_16725,0,,abaa,gltA
K01681,ABD1_05220,0,,abad,acnA
K01681,CbuG_0101,0,,cbg,acnA
K01682,ABZJ_02481,0,,abz,
K00031,BJAB0715_02867,0,,abab,
K00031,CbuK_1064,0,,cbc,icd
K00164,ABTW07_3178,0,,abd,sucA
K00164,IX88_16695,0,,abaa,
K00164,CBUD_0594,0,,cbd,sucA
K00658,IX88_16690,0,,abaa,
K00658,CbuK_1470,0,,cbc,sucB
K00382,CBUD_1612,0,,cbd,lpdA
K00382,ABSDF0493,0,,abm,lpd
K00382,ABD1_16950,0,,abad,lpd
K01902,IX88_16675,0,,abaa,
K01902,CbuK_1468,0,,cbc,sucD
K01903,IX88_16680,0,,abaa,sucC
K01903,CBU_1397,0,,cbu,sucC
K18118,IX88_00920,0,,abaa,
K00239,IX88_16705,0,,abaa,
K00239,CbuG_0612,0,,cbg,sdhA
K00240,IX88_16700,0,,abaa,sdhB
K00240,CbuK_1472,0,,cbc,sdhB
K00241,IX88_16715,0,,abaa,
K00241,CBUD_0590,0,,cbd,sdhC
K00242,IX88_16710,0,,abaa,
K00242,CbuK_1474,0,,cbc,sdhD
K01676,IX88_04705,0,,abaa,
K01679,BJAB0715_02262,0,,abab,
K01679,CbuG_0907,0,,cbg,fumC
K00024,IX88_18070,0,,abaa,
K00024,CbuK_1102,0,,cbc,mdh
K00116,BJAB0715_01039,0,,abab,
K01610,CBUD_2191,0,,cbd,pckA
K01596,IX88_16500,0,,abaa,
K00163,IX88_01420,0,,abaa,aceE
K00163,CbuK_1398,0,,cbc,aceE
K00161,PPUBIRD1_0605,0,,ppb,acoA
K00161,IX88_10455,0,,abaa,
K00161,LFML04_1773,0,,lfi,
K00162,A1S_1700,0,,acb,
K00162,LFML04_1774,0,,lfi,
K00627,PP4_03680,0,,ppun,acoC
K00627,ABBFA_000155,0,,abb,
K00627,M3Q_2088,0,,abh,
K00627,CbuK_1397,0,,cbc,pdhC.2
K01810,BL01_01380,0,,abw,
K01783,CbuK_0172,0,,cbc,rpe
K01783,PPUBIRD1_0453,0,,ppb,rpe
K01783,IX88_05475,0,,abaa,
K00615,CBU_1784,0,,cbu,tkt
K00615,CbuG_0163,0,,cbg,tkt
K00615,BDGL_000248,0,,acc,tktA
K00616,IX88_12825,0,,abaa,
K01807,BJAB0715_02175,0,,abab,
K01807,CbuK_0214,0,,cbc,rpiA
K01835,TREMEDRAFT_45127,0,,tms,
K15778,ABBFA_002727,0,,abb,
K15778,CbuK_0491,0,,cbc,algC
K00948,CbuK_0127,0,,cbc,prs
K00948,IX88_06135,0,,abaa,
K01690,IX88_04725,0,,abaa,
K01625,IX88_04730,0,,abaa,
K01625,CbuK_1139,0,,cbc,eda
K00131,ABD1_04600,0,,abad,
K00090,BJAB0868_02488,0,,abaj,
K00851,IX88_04740,0,,abaa,
K01624,IX88_09745,0,,abaa,
K01624,CbuK_0230,0,,cbc,fbaA
K03841,ABTW07_3011,0,,abd,fbp
K21071,CbuK_1135,0,,cbc,
K00963,ABK1_0100,0,,abx,
K01783,CbuK_0172,0,,cbc,rpe
K01783,PPUBIRD1_0453,0,,ppb,rpe
K01783,IX88_05475,0,,abaa,
K16011,CbuK_1584,0,,cbc,rfbA.2
K01840,BJAB0868_00110,0,,abaj,
K15778,ABBFA_002727,0,,abb,
K15778,CbuK_0491,0,,cbc,algC
K02377,Hsero_4414,0,,hse,wcaG
K01628,ABD1_02000,0,,abad,
K21071,CbuK_1135,0,,cbc,
K03841,ABTW07_3011,0,,abd,fbp
K00882,IX88_11925,0,,abaa,
K00882,AOLE_08070,0,,acd,
K01624,IX88_09745,0,,abaa,
K01624,CbuK_0230,0,,cbc,fbaA
K01803,CbuK_0582,0,,cbc,tpiA
K01803,IX88_03945,0,,abaa,
K02768,ABD1_19670,0,,abad,fruB
K02768,ACIAD1990,0,,aci,fruB
K02769,ABD1_19690,0,,abad,fruB
K02769,P795_7145,0,,abaz,
K02770,ABD1_19690,0,,abad,fruB
K02770,P795_7145,0,,abaz,
K01785,IX88_06830,0,,abaa,
K17716,ABLAC_36960,0,,abal,
K00963,ABK1_0100,0,,abx,
K01835,TREMEDRAFT_45127,0,,tms,
K15778,ABBFA_002727,0,,abb,
K15778,CbuK_0491,0,,cbc,algC
K21071,CbuK_1135,0,,cbc,
K00128,P795_10570,0,,abaz,
K00963,ABK1_0100,0,,abx,
K00697,IX88_06005,0,,abaa,
K01087,IX87_18350,0,,abau,
K01835,TREMEDRAFT_45127,0,,tms,
K15778,ABBFA_002727,0,,abb,
K15778,CbuK_0491,0,,cbc,algC
K01810,BL01_01380,0,,abw,
K01207,IX87_17065,0,,abau,
K07102,IX88_09760,0,,abaa,
K00992,BJAB0715_01780,0,,abab,
K04042,IX87_14020,0,,abau,glmU
K04042,CbuK_0055,0,,cbc,glmU
K13017,CbuK_0693,0,,cbc,
K02474,M3Q_284,0,,abh,
K00790,IX88_05365,0,,abaa,
K00790,CbuK_1504,0,,cbc,murA
K00075,ABAYE1526,0,,aby,murB
K00075,COXBURSA331_A0226,0,,cbs,murB
K03431,ABSDF3448,0,,abm,glmM
K03431,CbuK_1212,0,,cbc,glmM
K00820,COXBURSA331_A1985,0,,cbs,glmS
K00820,BJAB0868_03644,0,,abaj,
K01810,BL01_01380,0,,abw,
K01835,TREMEDRAFT_45127,0,,tms,
K15778,ABBFA_002727,0,,abb,
K15778,CbuK_0491,0,,cbc,algC
K00963,ABK1_0100,0,,abx,
K17716,ABLAC_36960,0,,abal,
K01840,BJAB0868_00110,0,,abaj,
K16011,CbuK_1584,0,,cbc,rfbA.2
K02377,Hsero_4414,0,,hse,wcaG
K12452,LFML04_1775,0,,lfi,
K00523,L483_31230,0,,pput,
K00163,IX88_01420,0,,abaa,aceE
K00163,CbuK_1398,0,,cbc,aceE
K00161,PPUBIRD1_0605,0,,ppb,acoA
K00161,IX88_10455,0,,abaa,
K00161,LFML04_1773,0,,lfi,
K00162,A1S_1700,0,,acb,
K00162,LFML04_1774,0,,lfi,
K00627,PP4_03680,0,,ppun,acoC
K00627,ABBFA_000155,0,,abb,
K00627,M3Q_2088,0,,abh,
K00627,CbuK_1397,0,,cbc,pdhC.2
K00382,CBUD_1612,0,,cbd,lpdA
K00382,ABSDF0493,0,,abm,lpd
K00382,ABD1_16950,0,,abad,lpd
K00925,BJAB0715_00523,0,,abab,
K13788,IX88_04710,0,,abaa,
K00873,CBUD_0227,0,,cbd,pyk
K00873,AFUA_6G07430,0,,afm,
K01962,IX88_05245,0,,abaa,
K01962,COXBURSA331_A1693,0,,cbs,accA
K02160,COXBURSA331_A1917,0,,cbs,accB
K02160,IX88_12280,0,,abaa,
K01961,CBUD_0276,0,,cbd,accC
K01961,IX88_12285,0,,abaa,
K01963,IX88_17520,0,,abaa,
K01963,CbuK_0758,0,,cbc,accD
K11263,ABLAC_21050,0,,abal,
K00128,P795_10570,0,,abaz,
K00138,IX88_13050,0,,abaa,
K18118,IX88_00920,0,,abaa,
K00101,IX88_02670,0,,abaa,lldD
K03777,ABK1_0108,0,,abx,
K01759,BJAB0715_02814,0,,abab,
K01069,CbuK_0511,0,,cbc,
K01069,BJAB0715_02576,0,,abab,
K05523,ABTW07_3236,0,,abd,hchA
K00027,BJAB0715_00186,0,,abab,
K00029,BJAB0715_02746,0,,abab,
K00024,IX88_18070,0,,abaa,
K00024,CbuK_1102,0,,cbc,mdh
K00116,BJAB0715_01039,0,,abab,
K01676,IX88_04705,0,,abaa,
K01679,BJAB0715_02262,0,,abab,
K01679,CbuG_0907,0,,cbg,fumC
K01595,ABZJ_03840,0,,abz,
K01595,BJAB0868_03698,0,,abaj,
K01596,IX88_16500,0,,abaa,
K01610,CBUD_2191,0,,cbd,pckA
K01007,ABTW07_2558,0,,abd,
K01007,IX88_13370,0,,abaa,
K01638,ABD1_15890,0,,abad,glcB
K00626,BJAB0868_01504,0,,abaj,
K01649,IX88_04665,0,,abaa,
K01637,IX88_07055,0,,abaa,
K01638,ABD1_15890,0,,abad,glcB
K00024,IX88_18070,0,,abaa,
K00024,CbuK_1102,0,,cbc,mdh
K01647,IX88_16725,0,,abaa,gltA
K01681,ABD1_05220,0,,abad,acnA
K01681,CbuG_0101,0,,cbg,acnA
K01682,ABZJ_02481,0,,abz,
K00626,BJAB0868_01504,0,,abaj,
K11263,ABLAC_21050,0,,abal,
K01847,PP1Y_AT29712,0,,npp,
K03781,ABBFA_002102,0,,abb,
K03781,BJAB0868_01471,0,,abaj,
K03781,ACIAD0451,0,,aci,katA
K01091,CbuG_0858,0,,cbg,gph
K01091,ABZJ_00058,0,,abz,
K01091,IX88_01790,0,,abaa,
K01915,BJAB0715_02756,0,,abab,
K00600,CbuK_1492,0,,cbc,glyA
K00600,IX88_14520,0,,abaa,glyA
K00282,CbuK_0294,0,,cbc,gvcPA
K00283,CbuK_0295,0,,cbc,gvcPB
K00605,CbuK_0292,0,,cbc,gvcT
K00382,CBUD_1612,0,,cbd,lpdA
K00382,ABSDF0493,0,,abm,lpd
K00382,ABD1_16950,0,,abad,lpd
K02437,IX88_09675,0,,abaa,
K02437,CbuK_0293,0,,cbc,gvcH
K01816,ABD1_05780,0,,abad,hyi
K00042,ABBFA_001671,0,,abb,
K00865,BJAB0868_02858,0,,abaj,
K07246,IX88_06235,0,,abaa,
K01625,IX88_04730,0,,abaa,
K01625,CbuK_1139,0,,cbc,eda
K01433,IX88_04555,0,,abaa,
K00925,BJAB0715_00523,0,,abab,
K13788,IX88_04710,0,,abaa,
K00382,CBUD_1612,0,,cbd,lpdA
K00382,ABSDF0493,0,,abm,lpd
K00382,ABD1_16950,0,,abad,lpd
K01692,P795_10680,0,,abaz,
K01825,BJAB0715_00348,0,,abab,
K01782,ABBFA_000607,0,,abb,
K01782,IX88_17450,0,,abaa,
K01962,IX88_05245,0,,abaa,
K01962,COXBURSA331_A1693,0,,cbs,accA
K02160,COXBURSA331_A1917,0,,cbs,accB
K02160,IX88_12280,0,,abaa,
K01961,CBUD_0276,0,,cbd,accC
K01961,IX88_12285,0,,abaa,
K01963,IX88_17520,0,,abaa,
K01963,CbuK_0758,0,,cbc,accD
K11263,ABLAC_21050,0,,abal,
K00823,ABBFA_000200,0,,abb,gabT
K00822,ACICU_02439,0,,abc,
K01847,PP1Y_AT29712,0,,npp,
K01903,IX88_16680,0,,abaa,sucC
K01903,CBU_1397,0,,cbu,sucC
K01902,IX88_16675,0,,abaa,
K01902,CbuK_1468,0,,cbc,sucD
K00140,BDGL_001264,0,,acc,mmsA
K01659,LLO_1556,0,,llo,prpC
K01659,P795_16835,0,,abaz,
K20455,IX88_02700,0,,abaa,
K09788,ABD1_27080,0,,abad,
K01682,ABZJ_02481,0,,abz,
K03417,BJAB0715_00122,0,,abab,
K00626,BJAB0868_01504,0,,abaj,
K08325,p3ABAYE0020,0,,aby,
K00626,BJAB0868_01504,0,,abaj,
K00074,ABD1_13520,0,,abad,paaH
K01825,BJAB0715_00348,0,,abab,
K01782,ABBFA_000607,0,,abb,
K01782,IX88_17450,0,,abaa,
K01692,P795_10680,0,,abaz,
K00209,CbuK_0462,0,,cbc,
K03821,ABD1_22210,0,,abad,
K07246,IX88_06235,0,,abaa,
K00239,IX88_16705,0,,abaa,
K00239,CbuG_0612,0,,cbg,sdhA
K00240,IX88_16700,0,,abaa,sdhB
K00240,CbuK_1472,0,,cbc,sdhB
K00241,IX88_16715,0,,abaa,
