Query_id,Subject_id,Identity,Align_length,Mismatch,Gap,Query_start,Query_end,Subject_start,Subject_end,E-value,Score
Sample1.71,shl:Shal_1744,48.2,386,194,4,1,382,185,568,2.10E-99,368.2
Sample1.72,cbu:CBU_0103,71.4,472,135,0,1,472,1,472,3.20E-203,713.4
Sample1.73,cbc:CbuK_0433,71.2,215,62,0,11,225,1,215,6.20E-88,329.3
Sample1.74,cgr:CAGL0G07183g2,47.1,255,135,0,109,363,517,771,3.60E-61,241.1
Sample1.75,aci:ACIAD2172,51.8,83,31,2,4,77,2,84,1.10E-12,79
Sample1.76,cbd:CBUD_0216,73.5,324,85,1,1,324,1,323,3.70E-129,466.8
Sample1.77,cbd:CBUD_0102,69.4,216,65,1,1,216,1,215,1.80E-81,307.8
Sample1.78,maj:MAA_03797,74.7,293,73,1,1,293,152,443,1.00E-127,461.8
Sample1.79,cbd:CBUD_0220,58.1,179,75,0,7,185,3,181,1.20E-55,221.9
Sample1.80,bfu:BC1G_04408,40.8,370,215,3,2,367,641,1010,5.20E-72,277.3
Sample1.81,abaa:IX88_02405,100,180,0,0,1,180,1,180,1.40E-98,364.4
Sample1.82,abr:ABTJ_03797,98.3,116,2,0,1,116,33,148,5.80E-58,228.8
Sample1.83,abm:ABSDF1790,91.9,135,11,0,1,135,12,146,9.40E-68,261.5
Sample1.84,abm:ABSDF1790,93.3,135,9,0,1,135,12,146,7.20E-68,261.9
Sample1.85,cea:Z664_01615,87.3,63,8,0,1,63,42,104,4.60E-25,118.6
Sample1.86,cbc:CbuK_0415,87.9,396,46,1,6,399,1,396,1.60E-200,704.1
Sample1.87,cbc:CbuK_0510,74.7,431,101,5,4,429,70,497,1.00E-184,651.7
Sample1.88,pfn:HZ99_19065,49.1,265,135,0,1,265,1,265,3.40E-64,250.8
Sample1.89,cbd:CBUD_1089,40.6,254,151,0,86,339,24,277,7.40E-53,213.4
Sample1.90,cbc:CbuK_2121,74.8,103,26,0,1,103,1,103,2.50E-42,176.8
Sample1.91,cbc:CbuK_2120,59,227,93,0,6,232,1,227,5.20E-69,266.5
Sample1.92,cbc:CbuK_0603,86.2,327,45,0,1,327,476,802,2.40E-157,560.5
Sample1.93,cbc:CbuK_0604,72.6,113,31,0,4,116,2,114,9.80E-37,158.3
Sample1.94,abaa:IX88_04330,100,299,0,0,1,299,1,299,1.20E-163,581.3
Sample1.95,abau:IX87_16585,98.2,57,1,0,1,57,1,57,7.10E-25,117.9
Sample1.96,bze:COCCADRAFT_52299,58.3,48,17,2,299,344,5,51,5.70E-08,64.3
Sample1.97,yli:YALI0E14388g,44.9,434,226,5,1,426,543,971,2.80E-95,354.8
Sample1.98,abaa:IX88_09440,100,229,0,0,1,229,1,229,1.60E-123,447.6
Sample1.99,abaa:IX88_09445,100,181,0,0,2,182,1,181,5.90E-97,359
Sample1.100,acd:AOLE_13005,60.9,483,184,2,3,485,11,488,2.10E-162,577.8
Sample1.101,abaz:P795_8895,98.1,162,3,0,1,162,1,162,6.60E-84,315.5
Sample1.102,abm:ABSDF1895,98.6,289,4,0,1,289,93,381,5.70E-155,552.4
Sample1.103,kpa:KPNJ1_05535,58.9,440,180,1,1,439,1,440,1.60E-148,531.6
Sample1.104,aci:ACIAD1488,78.8,709,147,1,2,710,4,709,0.00E+00,1119.4
Sample1.105,abab:BJAB0715_01381,99.1,108,1,0,1,108,2,109,1.50E-55,220.7
Sample1.106,abaa:IX88_08175,100,118,0,0,1,118,1,118,1.20E-66,257.7
Sample1.107,cbd:CBUD_2096,64.6,195,68,1,1,195,120,313,1.30E-63,248.4
Sample1.108,cbc:CbuK_2046,69.3,179,55,0,14,192,5,183,3.70E-65,253.4
Sample1.109,aci:ACIAD1489,77.3,396,90,0,1,396,1,396,1.30E-173,614.8
Sample1.110,cbc:CbuK_1715,71.9,430,118,3,1,429,1,428,4.30E-183,646.4
Sample1.111,abaa:IX88_07715,98.5,130,2,0,1,130,1,130,1.90E-68,263.8
Sample1.112,abaz:P795_11910,99.7,353,1,0,1,353,59,411,3.20E-200,703
Sample1.113,abc:ACICU_02728,79.6,304,62,0,1,304,1,304,9.40E-140,501.9
Sample1.114,abk:LX00_14885,99.4,164,1,0,1,164,1,164,6.50E-87,325.5
Sample1.115,abad:ABD1_13280,99.3,152,1,0,1,152,1,152,4.60E-87,325.9
Sample1.116,abaj:BJAB0868_01430,99,206,2,0,1,206,179,384,2.30E-113,413.7
Sample1.117,abk:LX00_14890,100,309,0,0,1,309,1,309,7.70E-174,615.1
Sample1.118,abc:ACICU_02727,90.9,164,15,0,1,164,1,164,5.90E-80,302.4
Sample1.119,abc:ACICU_02717,67.7,62,20,0,1,62,3639,3700,1.40E-16,90.5
Sample1.120,abab:BJAB0715_02075,100,300,0,0,1,300,1,300,6.60E-162,575.5
Sample1.121,cbd:CBUD_1278,73.5,423,112,0,1,423,1,423,1.70E-179,634.4
Sample1.122,abaa:IX88_09285,100,435,0,0,1,435,1,435,3.10E-237,826.2
Sample1.123,abc:ACICU_00993,88.5,520,4,2,1,492,1,492,6.10E-245,852
Sample1.124,cbg:CbuG_0050,81.8,264,48,0,1,264,1,264,2.80E-124,450.3
Sample1.125,cbs:COXBURSA331_A2141,65.1,106,37,0,1,106,27,132,3.20E-32,143.3
Sample1.126,ppd:Ppro_2370,58.1,535,196,8,12,529,2342,2865,4.00E-168,597
Sample1.127,abaa:IX88_09545,100,113,0,0,1,113,4,116,2.20E-57,226.9
Sample1.128,abab:BJAB0715_01736,100,70,0,0,1,70,1,70,1.90E-32,143.3
Sample1.129,abad:ABD1_15160,100,323,0,0,1,323,7,329,5.60E-183,645.6
Sample1.130,cbd:CBUD_1345,71.9,402,110,3,5,404,14,414,2.60E-161,573.9
Sample1.131,cbd:CBUD_1393,80.5,159,31,0,1,159,1,159,5.60E-70,269.2
Sample1.132,cbc:CbuK_1168,72.6,146,39,1,1,146,1,145,4.10E-56,223
Sample1.133,abaa:IX88_04450,99.4,311,2,0,1,311,1,311,7.50E-185,651.7
Sample1.134,abaa:IX88_04455,99,210,2,0,16,225,1,210,3.00E-111,406.8
Sample1.135,abad:ABD1_08570,50,264,131,1,3,266,135,397,7.40E-72,276.2
Sample1.136,acc:BDGL_000515,92.9,182,13,0,1,182,1,182,2.80E-86,323.6
Sample1.137,abaa:IX88_08275,99.3,148,1,0,1,148,1,148,1.10E-77,294.7
Sample1.138,abaa:IX88_08280,100,109,0,0,1,109,1,109,2.50E-55,219.9
Sample1.139,cbg:CbuG_0267,70,330,99,0,1,330,1,330,1.40E-125,454.9
Sample1.140,cbd:CBUD_1954,62.1,198,75,0,1,198,1,198,5.00E-66,256.5
Sample1.141,pcr:Pcryo_0961,63.5,367,133,1,1,366,1,367,1.70E-130,471.5
Sample1.142,prw:PsycPRwf_0685,71.8,71,20,0,1,71,1,71,7.00E-22,108.2
Sample1.143,pso:PSYCG_09115,63.2,68,25,0,1,68,1,68,5.30E-19,98.6
Sample1.144,abc:ACICU_01320,100,82,0,0,1,82,14,95,7.10E-42,174.9
Sample1.145,abaj:BJAB0868_01435,99.3,150,1,0,1,150,1,150,4.10E-80,302.8
Sample1.146,abaz:P795_10780,100,144,0,0,1,144,1,144,1.40E-77,294.3
Sample1.147,cbc:CbuK_0846,76.6,274,64,0,1,274,32,305,2.50E-120,437.2
Sample1.148,cbc:CbuK_0844,81.3,428,80,0,1,428,1,428,7.50E-207,725.3
Sample1.149,cbc:CbuK_0001,83.8,452,68,3,7,454,1,451,8.00E-212,741.9
Sample1.150,cbc:CbuK_0002,77.4,368,83,0,1,368,1,368,1.70E-156,557.8
Sample1.151,cbc:CbuK_2016,80.1,361,72,0,2,362,1,361,1.70E-164,584.3
Sample1.152,cbs:COXBURSA331_A0121,65.6,276,95,0,4,279,1,276,2.40E-102,377.5
Sample1.153,abaa:IX88_08260,100,114,0,0,1,114,1,114,5.20E-59,232.3
Sample1.154,abaj:BJAB0868_01333,98.1,368,7,0,1,368,1,368,7.00E-206,721.8
Sample1.155,acb:A1S_1231,98.1,215,4,0,1,215,127,341,6.70E-116,422.2
Sample1.156,abx:ABK1_1528,99.3,146,1,0,1,146,1,146,1.20E-79,301.2
Sample1.157,aby:p3ABAYE0096,94.2,155,7,1,1,155,1,153,7.20E-80,302
Sample1.158,aby:p3ABAYE0095,98.3,60,1,0,2,61,39,98,1.20E-28,130.6
Sample1.159,abab:BJAB0715_01185,90.4,104,10,0,1,104,78,181,2.80E-46,189.9
Sample1.160,abab:BJAB0715_00802,100,307,0,0,1,307,1,307,2.90E-173,613.2
Sample1.161,abaa:IX88_06045,99.5,198,1,0,1,198,1,198,2.90E-105,386.7
Sample1.162,abaa:IX88_06050,98.9,263,3,0,1,263,1,263,2.30E-142,510.4
Sample1.163,abab:BJAB0715_03553,98.9,268,3,0,1,268,1,268,1.80E-150,537.3
Sample1.164,abn:AB57_3649,100,593,0,0,1,593,229,821,0.00E+00,1199.9
Sample1.165,abab:BJAB0715_00904,99.2,128,1,0,5,132,42,169,2.30E-74,283.5
Sample1.166,abab:BJAB0715_00903,100,69,0,0,1,69,1,69,3.00E-33,146
Sample1.167,abab:BJAB0715_00902,100,71,0,0,1,71,1,71,2.80E-34,149.4
Sample1.168,abab:BJAB0715_00901,100,56,0,0,1,56,1,56,4.10E-25,118.6
Sample1.169,abab:BJAB0715_00900,100,330,0,0,1,330,1,330,5.70E-199,698.7
Sample1.170,abab:BJAB0715_00899,100,151,0,0,1,151,1,151,2.30E-78,297
Sample1.171,abaa:IX88_07050,100,329,0,0,1,329,1,329,5.90E-188,662.1
Sample1.172,abaa:IX88_07045,99.8,441,1,0,1,441,1,441,9.70E-247,857.8
Sample1.173,dsu:Dsui_1494,97.7,266,6,0,1,266,133,398,2.60E-138,496.9
Sample1.174,rpf:Rpic12D_0625,95,160,8,0,1,160,317,476,1.20E-82,311.2
Sample1.175,bmj:BMULJ_00947,98.2,110,2,0,56,165,204,313,3.60E-61,240
Sample1.176,dsu:Dsui_1492,92.2,243,8,1,1,243,718,949,3.90E-120,436.4
Sample1.177,abb:ABBFA_001402,98.4,371,6,0,1,371,1,371,7.00E-209,731.9
Sample1.178,abaa:IX88_12870,99.3,147,1,0,1,147,1,147,1.60E-73,280.8
Sample1.179,abaa:IX88_12865,100,75,0,0,1,75,1,75,2.90E-34,149.4
Sample1.180,aby:ABAYE0506,99,399,4,0,7,405,3,401,1.50E-230,803.9
Sample1.181,abm:ABSDF0493,99.8,457,1,0,1,457,1,457,1.40E-259,900.6
Sample1.182,abaa:IX88_00460,100,177,0,0,1,177,1,177,1.40E-95,354.4
Sample1.183,abad:ABD1_30240,98.5,264,4,0,1,264,1,264,1.50E-149,534.3
Sample1.184,abaz:P795_1720,98.4,425,7,0,1,425,1,425,2.70E-238,829.7
Sample1.185,acb:A1S_1666,97.6,253,6,0,1,253,237,489,2.50E-138,496.9
Sample1.186,abaa:IX88_10250,99,100,1,0,1,100,1,100,4.30E-49,199.1
Sample1.187,abal:ABLAC_24990,100,295,0,0,1,295,1,295,1.90E-161,573.9
Sample1.188,abab:BJAB0715_01876,100,287,0,0,1,287,1,287,9.10E-161,571.6
Sample1.189,abaa:IX88_03225,100,117,0,0,1,117,1,117,8.20E-60,235
Sample1.190,abaa:IX88_03220,100,166,0,0,1,166,1,166,9.50E-86,321.6
Sample1.191,abad:ABD1_01810,99.8,484,1,0,1,484,309,792,7.80E-290,1001.1
Sample1.192,cgr:CAGL0G07183g2,46.1,295,157,2,262,555,497,790,2.70E-68,265.4
Sample1.193,abaa:IX88_12900,100,130,0,0,1,130,1,130,1.60E-67,260.8
Sample1.194,abaj:BJAB0868_02312,98.3,718,12,0,1,718,1,718,0.00E+00,1430.2
Sample1.195,abau:IX87_06355,87.7,73,9,0,1,73,1,73,6.00E-27,125.2
Sample1.196,abaz:P795_1045,99.8,445,1,0,1,445,1,445,2.70E-260,902.9
Sample1.197,aby:ABAYE0215,98.9,275,3,0,1,275,10,284,3.20E-155,553.1
Sample1.198,abab:BJAB0715_03652,100,140,0,0,1,140,1,140,4.70E-78,295.8
Sample1.199,abad:ABD1_22710,98.1,264,5,0,1,264,1,264,4.70E-143,512.7
Sample1.200,abab:BJAB0715_02671,96.7,152,5,0,1,152,1,152,1.10E-75,288.1
Sample1.201,abaz:P795_5565,99.3,422,3,0,1,422,1,422,4.20E-247,859
Sample1.202,abab:BJAB0715_02097,100,395,0,0,1,395,1,395,5.30E-228,795.4
Sample1.203,abau:IX87_20660,99.1,332,3,0,1,332,1,332,6.70E-192,675.2
Sample1.204,abaz:P795_10390,99,600,6,0,1,600,1,600,0.00E+00,1188.7
Sample1.205,abaz:P795_10385,98.9,267,3,0,1,267,1,267,5.30E-155,552.4
Sample1.206,abaa:IX88_08785,99.4,174,1,0,1,174,987,1160,2.60E-94,350.1
Sample1.207,csz:CSSP291_04335,97.8,692,15,0,1,692,1,692,0.00E+00,1312
Sample1.208,adk:Alide2_2062,97.5,121,3,0,1,121,69,189,2.40E-62,243.4
Sample1.209,abau:IX87_00340,62,129,47,1,1,127,1,129,3.80E-37,159.8
Sample1.210,aby:ABAYE0573,95.1,589,29,0,1,589,16,604,0.00E+00,1149
Sample1.211,aby:ABAYE0574,92,325,26,0,1,325,1,325,6.10E-177,625.5
Sample1.212,azo:azo2588,46.8,141,69,3,145,284,101,236,7.20E-25,120.2
Sample1.213,vni:VIBNI_A2244,47.1,136,65,3,7,140,3,133,1.20E-25,122.1
Sample1.214,abau:IX87_05865,97.1,614,18,0,1,614,1,614,0.00E+00,1112.4
Sample1.215,abaz:P795_12265,93.6,313,20,0,1,313,1,313,1.10E-164,584.7
Sample1.216,abk:LX00_04580,89.5,172,18,0,1,172,1,172,4.10E-84,316.2
Sample1.217,aci:ACIAD2170,70.3,175,47,3,1,170,1,175,1.50E-60,238
Sample1.218,abaa:IX88_00445,100,477,0,0,1,477,1,477,2.20E-276,956.4
Sample1.219,abaa:IX88_00440,100,423,0,0,1,423,1,423,3.90E-245,852.4
Sample1.220,abaa:IX88_11545,99.5,193,1,0,1,193,114,306,4.70E-105,386
Sample1.221,abab:BJAB0715_02131,100,270,0,0,1,270,1,270,1.40E-150,537.7
Sample1.222,abaj:BJAB0868_02125,99.3,288,2,0,1,288,1,288,4.70E-165,585.9
Sample1.223,abab:BJAB0715_02133,97.8,137,3,0,1,137,1,137,6.00E-70,268.9
Sample1.224,abau:IX87_20850,99.3,137,1,0,1,137,1,137,1.60E-70,270.8
Sample1.225,abaa:IX88_11570,99.4,155,1,0,1,155,1,155,1.10E-83,314.7
Sample1.226,acc:BDGL_001238,98.9,353,4,0,3,355,1,353,8.80E-190,668.3
Sample1.227,acd:AOLE_09290,99.3,458,3,0,1,458,58,515,2.00E-263,913.3
Sample1.228,abaa:IX88_11050,100,179,0,0,1,179,1,179,7.30E-100,368.6
Sample1.229,abaa:IX88_11050,100,67,0,0,1,67,207,273,6.40E-33,144.8
Sample1.230,abaz:P795_8200,100,181,0,0,1,181,1,181,5.60E-100,369
Sample1.231,abaa:IX88_05285,100,471,0,0,1,471,1,471,2.00E-266,923.3
Sample1.232,abaa:IX88_05280,99.6,273,1,0,1,273,1,273,9.20E-163,578.2
Sample1.233,abad:ABD1_06200,99.7,305,1,0,1,305,1,305,7.60E-166,588.6
Sample1.234,abaz:P795_14355,97.7,441,10,0,1,441,495,935,5.30E-245,852
Sample1.235,abaa:IX88_10295,99.6,229,1,0,1,229,144,372,1.70E-122,444.1
Sample1.236,abal:ABLAC_25100,100,289,0,0,1,289,1,289,1.00E-167,594.7
Sample1.237,abaa:IX88_10305,100,153,0,0,1,153,1,153,1.30E-84,317.8
Sample1.238,abab:BJAB0715_01890,79,219,0,2,1,196,1,196,8.80E-83,312
Sample1.239,abaa:IX88_10315,98.1,375,0,1,1,375,1,368,2.10E-205,720.3
Sample1.240,abaa:IX88_10320,100,137,0,0,1,137,1,137,3.50E-70,269.6
Sample1.241,abaj:BJAB0868_03614,100,171,0,0,1,171,1,171,2.00E-94,350.5
Sample1.242,abau:IX87_13900,99.6,525,2,0,1,525,1,525,1.00E-306,1057.4
Sample1.243,abaj:BJAB0868_03616,100,179,0,0,1,179,1,179,4.70E-99,365.9
Sample1.244,aby:ABAYE0113,99.5,194,1,0,1,194,1,194,4.90E-110,402.5
Sample1.245,abab:BJAB0715_03760,99.3,436,3,0,1,436,1,436,1.20E-244,850.9
Sample1.246,abaj:BJAB0868_01984,99.7,366,1,0,1,366,163,528,3.00E-209,733
Sample1.247,abb:ABBFA_001685,100,442,0,0,1,442,1,442,2.40E-245,853.2
Sample1.248,abaj:BJAB0868_01982,96.6,387,13,0,1,387,1,387,5.80E-219,765.4
Sample1.249,acd:AOLE_09325,92.4,145,11,0,1,145,1,145,5.20E-72,275.8
Sample1.250,abad:ABD1_29030,94.8,116,1,1,1,111,1,116,1.30E-59,234.2
Sample1.251,abm:ABSDF2876,98.5,199,3,0,1,199,2,200,1.70E-110,404.1
Sample1.252,abm:ABSDF2875,99,404,4,0,1,404,4,407,1.70E-229,800.4
Sample1.253,abad:ABD1_29000,99.5,199,1,0,1,199,1,199,1.50E-109,401
Sample1.254,abaa:IX88_17990,99.3,601,4,0,1,601,1,601,0.00E+00,1177.9
Sample1.255,abau:IX87_09020,98.5,271,4,0,1,271,1,271,4.70E-151,539.3
Sample1.256,abd:ABTW07_2925,99.8,474,1,0,1,474,1,474,3.10E-259,899.4
Sample1.257,abab:BJAB0715_02862,99.7,293,1,0,1,293,1,293,2.80E-165,586.6
Sample1.258,abm:ABSDF1066,94.3,314,17,1,1,313,1,314,4.40E-165,586.3
Sample1.259,acb:A1S_1073,68.4,57,18,0,19,75,3160,3216,2.70E-16,89.7
Sample1.260,abaa:IX88_08060,99.6,238,1,0,1,238,1,238,2.20E-136,490.3
Sample1.261,abab:BJAB0715_01358,99.3,812,6,0,1,812,1,812,0.00E+00,1621.3
Sample1.262,abau:IX87_04650,100,203,0,0,1,203,1,203,1.30E-113,414.5
Sample1.263,abab:BJAB0715_01360,100,114,0,0,1,114,1,114,1.70E-54,217.2
Sample1.264,abaa:IX88_08080,100,58,0,0,1,58,464,521,9.50E-25,117.5
Sample1.265,abaa:IX88_05290,100,143,0,0,1,143,1,143,1.10E-74,284.6
Sample1.266,abaa:IX88_05295,99.3,145,1,0,1,145,1,145,1.20E-73,281.2
Sample1.267,abm:ABSDF2889,99.2,125,1,0,1,125,1,125,1.00E-68,264.6
Sample1.268,abaa:IX88_05305,99.3,274,2,0,1,274,1,274,2.10E-154,550.4
Sample1.269,abaa:IX88_05310,100,173,0,0,1,173,1,173,2.40E-92,343.6
Sample1.270,abaa:IX88_05315,100,322,0,0,1,322,1,322,7.50E-188,661.8
Sample1.271,abaa:IX88_05320,99.7,299,1,0,1,299,1,299,2.70E-168,596.7
Sample1.272,abab:BJAB0715_01694,100,319,0,0,1,319,1,319,2.10E-182,643.7
Sample1.273,abx:ABK1_1968,100,404,0,0,1,404,1,404,2.10E-227,793.5
Sample1.274,abab:BJAB0715_01696,99.2,129,1,0,1,129,1,129,1.70E-66,257.3
Sample1.275,abab:BJAB0715_01697,100,113,0,0,1,113,1,113,7.70E-55,218.4
Sample1.276,abad:ABD1_14760,100,240,0,0,1,240,7,246,1.30E-131,474.6
Sample1.277,abaa:IX88_09345,100,156,0,0,1,156,1,156,1.40E-83,314.3
Sample1.278,abad:ABD1_14780,99.1,111,1,0,1,111,1,111,5.20E-56,222.2
Sample1.279,acb:A1S_1479,99,99,1,0,20,118,53,151,2.00E-45,187.2
Sample1.280,abab:BJAB0715_03317,99.7,321,1,0,1,321,1,321,7.20E-175,618.6
Sample1.281,abaa:IX88_17755,100,633,0,0,1,633,1,633,0.00E+00,1216.1
Sample1.282,abaa:IX88_17750,100,109,0,0,1,109,1,109,1.20E-52,211.1
Sample1.283,abaa:IX88_17745,99.5,377,2,0,1,377,1,377,7.60E-224,781.6
Sample1.284,abaa:IX88_17740,96.8,189,6,0,1,189,1,189,1.10E-98,364.8
Sample1.285,abaa:IX88_12380,67.1,225,46,2,1,211,176,386,5.20E-81,306.2
Sample1.286,abaa:IX88_12375,88.8,268,26,1,1,264,1,268,7.10E-136,488.8
Sample1.287,abc:ACICU_02719,90.4,251,24,0,1,251,1,251,4.10E-141,506.1
Sample1.288,abaa:IX88_12365,79.3,222,41,2,1,218,1,221,1.10E-94,351.7
Sample1.289,abaa:IX88_12360,82.3,919,161,2,9,926,4,921,0.00E+00,1568.1
Sample1.290,cbc:CbuK_2100,74.9,721,180,1,1,721,4,723,0.00E+00,1097
Sample1.291,abaa:IX88_13810,100,305,0,0,1,305,1,305,2.60E-174,616.7
Sample1.292,abc:ACICU_02439,98.9,460,5,0,1,460,1,460,2.10E-268,929.9
Sample1.293,acc:BDGL_001264,99.6,522,2,0,1,522,1,522,3.50E-304,1048.9
Sample1.294,abaa:IX88_13795,99.8,465,1,0,1,465,1,465,4.60E-263,912.1
Sample1.295,abal:ABLAC_20470,99.4,156,1,0,1,156,1,156,6.40E-84,315.5
Sample1.296,abaa:IX88_08225,100,129,0,0,1,129,1,129,8.20E-69,265
