# Wildtype expression means: rows=genes, columns=intervention conditions
# Metric: WildtypeMean
# Genes: 495, Conditions: 6
Gene,sigH_Knockout,yceF_Knockout,srfAA_Overexpression,thrC_Overexpression,lutR_Knockdown,ytrJ_Knockdown
dnaC,-0.0067,-0.0067,-0.0067,-0.0067,-0.0067,-0.0067
dnaD,-0.0079,-0.0079,-0.0079,-0.0079,-0.0079,-0.0079
dnaE,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
dnaF,0.0042,0.0042,0.0042,0.0042,0.0042,0.0042
dnaJ,-0.0074,-0.0074,-0.0074,-0.0074,-0.0074,-0.0074
dnaK,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009
dppA,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018
dppB,-0.0093,-0.0093,-0.0093,-0.0093,-0.0093,-0.0093
dppC,0.0049,0.0049,0.0049,0.0049,0.0049,0.0049
dppD,0.0076,0.0076,0.0076,0.0076,0.0076,0.0076
dppE,0.0187,0.0187,0.0187,0.0187,0.0187,0.0187
dppF,-0.0003,-0.0003,-0.0003,-0.0003,-0.0003,-0.0003
efp,-0.0065,-0.0065,-0.0065,-0.0065,-0.0065,-0.0065
efp2,-0.0144,-0.0144,-0.0144,-0.0144,-0.0144,-0.0144
fenA,0.0089,0.0089,0.0089,0.0089,0.0089,0.0089
fenB,0.0087,0.0087,0.0087,0.0087,0.0087,0.0087
fenC,0.0052,0.0052,0.0052,0.0052,0.0052,0.0052
fenD,0.0074,0.0074,0.0074,0.0074,0.0074,0.0074
fenE,0.0079,0.0079,0.0079,0.0079,0.0079,0.0079
feuA,0.0180,0.0180,0.0180,0.0180,0.0180,0.0180
feuB,-0.0105,-0.0105,-0.0105,-0.0105,-0.0105,-0.0105
feuC,-0.0097,-0.0097,-0.0097,-0.0097,-0.0097,-0.0097
feuD,-0.0047,-0.0047,-0.0047,-0.0047,-0.0047,-0.0047
fgnZ,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053
fhuB,-0.0155,-0.0155,-0.0155,-0.0155,-0.0155,-0.0155
fhuC,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001
fhuD,0.0107,0.0107,0.0107,0.0107,0.0107,0.0107
fhuG,0.0095,0.0095,0.0095,0.0095,0.0095,0.0095
fmt,0.0046,0.0046,0.0046,0.0046,0.0046,0.0046
ftsA,-0.0029,-0.0029,-0.0029,-0.0029,-0.0029,-0.0029
ftsE,-0.0049,-0.0049,-0.0049,-0.0049,-0.0049,-0.0049
ftsX,-0.0151,-0.0151,-0.0151,-0.0151,-0.0151,-0.0151
ftsY,-0.0077,-0.0077,-0.0077,-0.0077,-0.0077,-0.0077
ftsZ,0.0127,0.0127,0.0127,0.0127,0.0127,0.0127
fumA,0.0071,0.0071,0.0071,0.0071,0.0071,0.0071
fumB,0.0081,0.0081,0.0081,0.0081,0.0081,0.0081
fumC,-0.0062,-0.0062,-0.0062,-0.0062,-0.0062,-0.0062
fur,-0.0054,-0.0054,-0.0054,-0.0054,-0.0054,-0.0054
fusA,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035
glmM,-0.0160,-0.0160,-0.0160,-0.0160,-0.0160,-0.0160
glmS,-0.0218,-0.0218,-0.0218,-0.0218,-0.0218,-0.0218
glmU,-0.0200,-0.0200,-0.0200,-0.0200,-0.0200,-0.0200
glnA,-0.0157,-0.0157,-0.0157,-0.0157,-0.0157,-0.0157
glnH,0.0124,0.0124,0.0124,0.0124,0.0124,0.0124
glnP,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125
glnQ,-0.0034,-0.0034,-0.0034,-0.0034,-0.0034,-0.0034
glnR,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015
gltA,-0.0112,-0.0112,-0.0112,-0.0112,-0.0112,-0.0112
gltB,-0.0016,-0.0016,-0.0016,-0.0016,-0.0016,-0.0016
gltC,-0.0078,-0.0078,-0.0078,-0.0078,-0.0078,-0.0078
gltP,0.0127,0.0127,0.0127,0.0127,0.0127,0.0127
gltS,-0.0027,-0.0027,-0.0027,-0.0027,-0.0027,-0.0027
gltT,0.0023,0.0023,0.0023,0.0023,0.0023,0.0023
gor,0.0156,0.0156,0.0156,0.0156,0.0156,0.0156
groL,-0.0007,-0.0007,-0.0007,-0.0007,-0.0007,-0.0007
groS,0.0140,0.0140,0.0140,0.0140,0.0140,0.0140
grpE,-0.0114,-0.0114,-0.0114,-0.0114,-0.0114,-0.0114
gyrA,-0.0019,-0.0019,-0.0019,-0.0019,-0.0019,-0.0019
gyrB,-0.0194,-0.0194,-0.0194,-0.0194,-0.0194,-0.0194
hisA,0.0046,0.0046,0.0046,0.0046,0.0046,0.0046
hisB,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026
hisC,-0.0034,-0.0034,-0.0034,-0.0034,-0.0034,-0.0034
hisD,-0.0107,-0.0107,-0.0107,-0.0107,-0.0107,-0.0107
hisE,-0.0058,-0.0058,-0.0058,-0.0058,-0.0058,-0.0058
hisF,-0.0064,-0.0064,-0.0064,-0.0064,-0.0064,-0.0064
hisG,-0.0013,-0.0013,-0.0013,-0.0013,-0.0013,-0.0013
icd,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035
ichAA,-0.0169,-0.0169,-0.0169,-0.0169,-0.0169,-0.0169
ilvA,-0.0224,-0.0224,-0.0224,-0.0224,-0.0224,-0.0224
ilvB,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004
ilvC,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012
ilvD,0.0045,0.0045,0.0045,0.0045,0.0045,0.0045
ilvE,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005
infA,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192
infB,-0.0125,-0.0125,-0.0125,-0.0125,-0.0125,-0.0125
infC,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027
ituA,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075
ituB,0.0077,0.0077,0.0077,0.0077,0.0077,0.0077
ituC,0.0076,0.0076,0.0076,0.0076,0.0076,0.0076
ituD,0.0081,0.0081,0.0081,0.0081,0.0081,0.0081
katA,-0.0113,-0.0113,-0.0113,-0.0113,-0.0113,-0.0113
katB,0.0195,0.0195,0.0195,0.0195,0.0195,0.0195
katE,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075
kr1,-0.0007,-0.0007,-0.0007,-0.0007,-0.0007,-0.0007
kr2,0.0085,0.0085,0.0085,0.0085,0.0085,0.0085
ks1,0.0038,0.0038,0.0038,0.0038,0.0038,0.0038
ks2,0.0030,0.0030,0.0030,0.0030,0.0030,0.0030
ks3,0.0058,0.0058,0.0058,0.0058,0.0058,0.0058
leuA,0.0100,0.0100,0.0100,0.0100,0.0100,0.0100
leuB,-0.0050,-0.0050,-0.0050,-0.0050,-0.0050,-0.0050
leuC,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017
leuD,-0.0035,-0.0035,-0.0035,-0.0035,-0.0035,-0.0035
ligA,-0.0118,-0.0118,-0.0118,-0.0118,-0.0118,-0.0118
ligB,-0.0120,-0.0120,-0.0120,-0.0120,-0.0120,-0.0120
ligC,-0.0230,-0.0230,-0.0230,-0.0230,-0.0230,-0.0230
lpd,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084
lutP,0.0151,0.0151,0.0151,0.0151,0.0151,0.0151
lutR,-0.0069,-0.0069,-0.0069,-0.0069,-0.0069,-0.0069
lysA,-0.0064,-0.0064,-0.0064,-0.0064,-0.0064,-0.0064
lysC,0.0119,0.0119,0.0119,0.0119,0.0119,0.0119
malonyl,0.0047,0.0047,0.0047,0.0047,0.0047,0.0047
map,0.0052,0.0052,0.0052,0.0052,0.0052,0.0052
mdh,-0.0065,-0.0065,-0.0065,-0.0065,-0.0065,-0.0065
metA,-0.0042,-0.0042,-0.0042,-0.0042,-0.0042,-0.0042
metB,-0.0114,-0.0114,-0.0114,-0.0114,-0.0114,-0.0114
metC,0.0107,0.0107,0.0107,0.0107,0.0107,0.0107
metE,-0.0050,-0.0050,-0.0050,-0.0050,-0.0050,-0.0050
metF,-0.0060,-0.0060,-0.0060,-0.0060,-0.0060,-0.0060
metH,-0.0018,-0.0018,-0.0018,-0.0018,-0.0018,-0.0018
methyl,0.0102,0.0102,0.0102,0.0102,0.0102,0.0102
minC,-0.0078,-0.0078,-0.0078,-0.0078,-0.0078,-0.0078
minD,-0.0136,-0.0136,-0.0136,-0.0136,-0.0136,-0.0136
minE,-0.0046,-0.0046,-0.0046,-0.0046,-0.0046,-0.0046
mntA,-0.0025,-0.0025,-0.0025,-0.0025,-0.0025,-0.0025
mntB,0.0091,0.0091,0.0091,0.0091,0.0091,0.0091
mntC,-0.0072,-0.0072,-0.0072,-0.0072,-0.0072,-0.0072
mntD,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035
mntH,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018
mreB,-0.0211,-0.0211,-0.0211,-0.0211,-0.0211,-0.0211
mreC,-0.0192,-0.0192,-0.0192,-0.0192,-0.0192,-0.0192
mreD,-0.0202,-0.0202,-0.0202,-0.0202,-0.0202,-0.0202
msaAB,0.0032,0.0032,0.0032,0.0032,0.0032,0.0032
msaB,0.0094,0.0094,0.0094,0.0094,0.0094,0.0094
murA,-0.0113,-0.0113,-0.0113,-0.0113,-0.0113,-0.0113
murB,-0.0040,-0.0040,-0.0040,-0.0040,-0.0040,-0.0040
murC,-0.0219,-0.0219,-0.0219,-0.0219,-0.0219,-0.0219
murD,-0.0189,-0.0189,-0.0189,-0.0189,-0.0189,-0.0189
murE,-0.0178,-0.0178,-0.0178,-0.0178,-0.0178,-0.0178
murF,-0.0221,-0.0221,-0.0221,-0.0221,-0.0221,-0.0221
murG,-0.0172,-0.0172,-0.0172,-0.0172,-0.0172,-0.0172
mutH,-0.0040,-0.0040,-0.0040,-0.0040,-0.0040,-0.0040
mutL,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024
mutS,-0.0038,-0.0038,-0.0038,-0.0038,-0.0038,-0.0038
mycA,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035
mycB,0.0042,0.0042,0.0042,0.0042,0.0042,0.0042
mycC,0.0074,0.0074,0.0074,0.0074,0.0074,0.0074
ndh,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
nuoA,0.0050,0.0050,0.0050,0.0050,0.0050,0.0050
nuoB,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
nuoC,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098
nuoD,0.0233,0.0233,0.0233,0.0233,0.0233,0.0233
nuoE,0.0096,0.0096,0.0096,0.0096,0.0096,0.0096
nuoF,0.0142,0.0142,0.0142,0.0142,0.0142,0.0142
oppA,0.0065,0.0065,0.0065,0.0065,0.0065,0.0065
oppB,-0.0058,-0.0058,-0.0058,-0.0058,-0.0058,-0.0058
oppC,0.0148,0.0148,0.0148,0.0148,0.0148,0.0148
oppD,0.0107,0.0107,0.0107,0.0107,0.0107,0.0107
oppF,-0.0161,-0.0161,-0.0161,-0.0161,-0.0161,-0.0161
parC,-0.0078,-0.0078,-0.0078,-0.0078,-0.0078,-0.0078
parE,0.0096,0.0096,0.0096,0.0096,0.0096,0.0096
pbpA,-0.0208,-0.0208,-0.0208,-0.0208,-0.0208,-0.0208
pbpB,-0.0147,-0.0147,-0.0147,-0.0147,-0.0147,-0.0147
pbpC,-0.0176,-0.0176,-0.0176,-0.0176,-0.0176,-0.0176
pbpD,-0.0235,-0.0235,-0.0235,-0.0235,-0.0235,-0.0235
pbpE,-0.0210,-0.0210,-0.0210,-0.0210,-0.0210,-0.0210
perR,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053
pheA,0.0049,0.0049,0.0049,0.0049,0.0049,0.0049
phrC,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004
pksA,0.0071,0.0071,0.0071,0.0071,0.0071,0.0071
pksB,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017
pksC,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019
pksD,0.0036,0.0036,0.0036,0.0036,0.0036,0.0036
pksE,0.0065,0.0065,0.0065,0.0065,0.0065,0.0065
pksM,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061
pksN,0.0045,0.0045,0.0045,0.0045,0.0045,0.0045
pksR,0.0073,0.0073,0.0073,0.0073,0.0073,0.0073
pksS,0.0036,0.0036,0.0036,0.0036,0.0036,0.0036
polA,-0.0048,-0.0048,-0.0048,-0.0048,-0.0048,-0.0048
polC,-0.0068,-0.0068,-0.0068,-0.0068,-0.0068,-0.0068
prfA,0.0177,0.0177,0.0177,0.0177,0.0177,0.0177
prfB,0.0158,0.0158,0.0158,0.0158,0.0158,0.0158
prfC,-0.0027,-0.0027,-0.0027,-0.0027,-0.0027,-0.0027
proP,-0.0146,-0.0146,-0.0146,-0.0146,-0.0146,-0.0146
proV,-0.0030,-0.0030,-0.0030,-0.0030,-0.0030,-0.0030
proW,-0.0071,-0.0071,-0.0071,-0.0071,-0.0071,-0.0071
proX,0.0231,0.0231,0.0231,0.0231,0.0231,0.0231
qoxA,0.0137,0.0137,0.0137,0.0137,0.0137,0.0137
qoxB,0.0052,0.0052,0.0052,0.0052,0.0052,0.0052
qoxC,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139
qoxD,-0.0043,-0.0043,-0.0043,-0.0043,-0.0043,-0.0043
qoxE,0.0086,0.0086,0.0086,0.0086,0.0086,0.0086
qoxF,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053
recA,0.0071,0.0071,0.0071,0.0071,0.0071,0.0071
recB,-0.0036,-0.0036,-0.0036,-0.0036,-0.0036,-0.0036
recC,0.0090,0.0090,0.0090,0.0090,0.0090,0.0090
recD,-0.0025,-0.0025,-0.0025,-0.0025,-0.0025,-0.0025
recE,-0.0028,-0.0028,-0.0028,-0.0028,-0.0028,-0.0028
recF,-0.0080,-0.0080,-0.0080,-0.0080,-0.0080,-0.0080
recG,-0.0148,-0.0148,-0.0148,-0.0148,-0.0148,-0.0148
rocD,-0.0080,-0.0080,-0.0080,-0.0080,-0.0080,-0.0080
rocR,-0.0104,-0.0104,-0.0104,-0.0104,-0.0104,-0.0104
rodA,-0.0120,-0.0120,-0.0120,-0.0120,-0.0120,-0.0120
rplA,-0.0003,-0.0003,-0.0003,-0.0003,-0.0003,-0.0003
rplB,-0.0060,-0.0060,-0.0060,-0.0060,-0.0060,-0.0060
rplC,0.0088,0.0088,0.0088,0.0088,0.0088,0.0088
rplD,0.0040,0.0040,0.0040,0.0040,0.0040,0.0040
rplE,-0.0289,-0.0289,-0.0289,-0.0289,-0.0289,-0.0289
rpoA,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008
rpoB,0.0095,0.0095,0.0095,0.0095,0.0095,0.0095
rpoC,0.0095,0.0095,0.0095,0.0095,0.0095,0.0095
rpoD,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026
rpoE,-0.0035,-0.0035,-0.0035,-0.0035,-0.0035,-0.0035
rpsA,-0.0077,-0.0077,-0.0077,-0.0077,-0.0077,-0.0077
rpsB,-0.0071,-0.0071,-0.0071,-0.0071,-0.0071,-0.0071
rpsC,-0.0085,-0.0085,-0.0085,-0.0085,-0.0085,-0.0085
rpsD,0.0119,0.0119,0.0119,0.0119,0.0119,0.0119
rpsE,-0.0040,-0.0040,-0.0040,-0.0040,-0.0040,-0.0040
sdhA,-0.0035,-0.0035,-0.0035,-0.0035,-0.0035,-0.0035
sdhB,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021
sdhC,0.0102,0.0102,0.0102,0.0102,0.0102,0.0102
sdhD,-0.0085,-0.0085,-0.0085,-0.0085,-0.0085,-0.0085
secA,0.0068,0.0068,0.0068,0.0068,0.0068,0.0068
secD,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098
secE,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098
secF,-0.0139,-0.0139,-0.0139,-0.0139,-0.0139,-0.0139
secG,-0.0118,-0.0118,-0.0118,-0.0118,-0.0118,-0.0118
secY,0.0117,0.0117,0.0117,0.0117,0.0117,0.0117
sfp,0.0020,0.0020,0.0020,0.0020,0.0020,0.0020
sigA,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109
sigB,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106
sigE,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
sigF,-0.0065,-0.0065,-0.0065,-0.0065,-0.0065,-0.0065
sigG,-0.0025,-0.0025,-0.0025,-0.0025,-0.0025,-0.0025
sigH,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133
sinI,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022
sinR,0.0091,0.0091,0.0091,0.0091,0.0091,0.0091
sipS,0.0181,0.0181,0.0181,0.0181,0.0181,0.0181
sipT,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109
sipU,0.0093,0.0093,0.0093,0.0093,0.0093,0.0093
sipV,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016
sipW,0.0062,0.0062,0.0062,0.0062,0.0062,0.0062
slrA,0.0045,0.0045,0.0045,0.0045,0.0045,0.0045
sodA,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109
sodF,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
spo0A,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009
spo0B,-0.0159,-0.0159,-0.0159,-0.0159,-0.0159,-0.0159
spo0E,-0.0011,-0.0011,-0.0011,-0.0011,-0.0011,-0.0011
spo0F,-0.0218,-0.0218,-0.0218,-0.0218,-0.0218,-0.0218
spoVG,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
spx,-0.0086,-0.0086,-0.0086,-0.0086,-0.0086,-0.0086
srfA,0.0054,0.0054,0.0054,0.0054,0.0054,0.0054
srfAA,0.0044,0.0044,0.0044,0.0044,0.0044,0.0044
srfAB,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082
srfAC,0.0065,0.0065,0.0065,0.0065,0.0065,0.0065
srfAD,0.0065,0.0065,0.0065,0.0065,0.0065,0.0065
sucA,0.0040,0.0040,0.0040,0.0040,0.0040,0.0040
sucB,-0.0163,-0.0163,-0.0163,-0.0163,-0.0163,-0.0163
sucC,0.0088,0.0088,0.0088,0.0088,0.0088,0.0088
sucD,-0.0036,-0.0036,-0.0036,-0.0036,-0.0036,-0.0036
tagA,-0.0161,-0.0161,-0.0161,-0.0161,-0.0161,-0.0161
tagB,-0.0206,-0.0206,-0.0206,-0.0206,-0.0206,-0.0206
tagC,-0.0167,-0.0167,-0.0167,-0.0167,-0.0167,-0.0167
tagD,-0.0192,-0.0192,-0.0192,-0.0192,-0.0192,-0.0192
tagE,-0.0208,-0.0208,-0.0208,-0.0208,-0.0208,-0.0208
tagF,-0.0199,-0.0199,-0.0199,-0.0199,-0.0199,-0.0199
tagO,-0.0160,-0.0160,-0.0160,-0.0160,-0.0160,-0.0160
tatA,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098
tatB,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012
tatC,-0.0138,-0.0138,-0.0138,-0.0138,-0.0138,-0.0138
thrA,0.0056,0.0056,0.0056,0.0056,0.0056,0.0056
thrB,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061
thrC,-0.0120,-0.0120,-0.0120,-0.0120,-0.0120,-0.0120
topA,-0.0041,-0.0041,-0.0041,-0.0041,-0.0041,-0.0041
topB,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012
tpx,0.0094,0.0094,0.0094,0.0094,0.0094,0.0094
trpA,-0.0008,-0.0008,-0.0008,-0.0008,-0.0008,-0.0008
trpB,-0.0035,-0.0035,-0.0035,-0.0035,-0.0035,-0.0035
trpC,0.0079,0.0079,0.0079,0.0079,0.0079,0.0079
trpD,0.0078,0.0078,0.0078,0.0078,0.0078,0.0078
