,kegg_code,organism,kingdom,lineage
T00826,eck,Escherichia coli 55989 (EAEC),Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Escherichia
T00796,ecg,Escherichia coli O127:H6 E2348/69 (EPEC),Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Escherichia
T01190,eok,Escherichia coli O55:H7 CB9615 (EPEC),Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Escherichia
T02066,elr,Escherichia coli O55:H7 RM12579 (EPEC),Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Escherichia
T02069,elh,Escherichia coli O78:H11:K80 H10407 (ETEC),Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Escherichia
T00590,ecw,Escherichia coli O139:H28 E24377A (ETEC),Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Escherichia
T02001,eun,"Escherichia coli UMNK88 (ETEC, porcine)",Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Escherichia
T00373,ecp,Escherichia coli O6:K15:H31 536 (UPEC),Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Escherichia
T01998,ena,Escherichia coli NA114 (UPEC),Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Escherichia
T04373,ecos,Escherichia coli O25b:K100:H4-ST131 EC958 (UPEC),Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Escherichia
T00425,ecv,Escherichia coli APEC O1 (APEC),Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Escherichia
T02445,ecoa,Escherichia coli APEC O78 (APEC),Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Escherichia
T00591,ecx,Escherichia coli O9 HS (commensal),Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Escherichia
T00672,ecm,Escherichia coli SMS-3-5 (environmental),Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Escherichia
T00784,ecy,Escherichia coli O152:H28 SE11 (commensal),Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Escherichia
T00828,ecr,Escherichia coli O8 IAI1 (commensal),Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Escherichia
T00827,ecq,Escherichia coli O81 ED1a (commensal),Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Escherichia
T00831,eum,Escherichia coli O17:K52:H18 UMN026 (ExPEC),Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Escherichia
T00829,ect,Escherichia coli O7:K1 IAI39 (ExPEC),Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Escherichia
T01999,eoc,Escherichia coli O7:K1 CE10,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Escherichia
T00944,ebr,Escherichia coli B REL606,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Escherichia
T09610,ecob,Escherichia coli B C3029,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Escherichia
T00931,ebl,Escherichia coli BL21(DE3),Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Escherichia
T02096,ebe,Escherichia coli BL21(DE3),Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Escherichia
T00939,ebd,Escherichia coli BL21-Gold(DE3)pLysS AG,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Escherichia
T00338,eci,Escherichia coli O18:K1:H7 UTI89 (UPEC),Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Escherichia
T01997,eih,Escherichia coli O18:K1:H7 IHE3034 (ExPEC),Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Escherichia
T00830,ecz,Escherichia coli O45:K1:H7 S88 (ExPEC),Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Escherichia
T00106,ecc,Escherichia coli O6:K2:H1 CFT073 (UPEC),Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Escherichia
T02067,elo,Escherichia coli O44:H18 042 (EAEC),Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Escherichia
T02068,eln,Escherichia coli O83:H1 NRG 857C (AIEC),Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Escherichia
T02077,ese,Escherichia coli O150:H5 SE15 (commensal),Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Escherichia
T00697,ecl,Escherichia coli ATCC 8739,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Escherichia
T02104,ekf,Escherichia coli KO11FL,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Escherichia
T01995,eab,Escherichia coli ABU 83972,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Escherichia
T01996,edh,Escherichia coli DH1,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Escherichia
T02102,edj,Escherichia coli DH1,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Escherichia
T02000,elu,Escherichia coli UM146,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Escherichia
T02002,elw,Escherichia coli W,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Escherichia
T02101,ell,Escherichia coli W,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Escherichia
T02003,elc,Escherichia coli clone D i14,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Escherichia
T02004,eld,Escherichia coli clone D i2,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Escherichia
T02030,elp,Escherichia coli P12b,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Escherichia
T00854,elf,Escherichia coli LF82,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Escherichia
T02846,ecol,Escherichia coli LY180,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Escherichia
T02847,ecoi,Escherichia coli O18:K1 PMV-1 (ExPEC),Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Escherichia
T02896,ecoj,Escherichia coli JJ1886,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Escherichia
T00811,efe,Escherichia fergusonii,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Escherichia
T03986,eal,Escherichia albertii,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Escherichia
T05353,ema,Escherichia marmotae,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Escherichia
T06276,esz,Escherichia sp. E4742,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Escherichia
T09019,eruy,Escherichia ruysiae,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Escherichia
T11101,esf,Escherichia sp. F1,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Escherichia
T00064,sty,Salmonella enterica subsp. enterica serovar Typhi CT18,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Salmonella
T00121,stt,Salmonella enterica subsp. enterica serovar Typhi Ty2,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Salmonella
T01741,sex,Salmonella enterica subsp. enterica serovar Typhi P-stx-12,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Salmonella
T02648,sent,Salmonella enterica subsp. enterica serovar Typhi Ty21a,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Salmonella
T00065,stm,Salmonella enterica subsp. enterica serovar Typhimurium LT2,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Salmonella
T01714,seo,Salmonella enterica subsp. enterica serovar Typhimurium 14028S,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Salmonella
T01715,sev,Salmonella enterica subsp. enterica serovar Typhimurium D23580,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Salmonella
T01724,sey,Salmonella enterica subsp. enterica serovar Typhimurium SL1344,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Salmonella
T01742,sem,Salmonella enterica subsp. enterica serovar Typhimurium T000240,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Salmonella
T01743,sej,Salmonella enterica subsp. enterica serovar Typhimurium UK-1,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Salmonella
T01760,seb,Salmonella enterica subsp. enterica serovar Typhimurium ST4/74,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Salmonella
T01782,sef,Salmonella enterica subsp. enterica serovar Typhimurium 798,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Salmonella
T02639,setu,Salmonella enterica subsp. enterica serovar Typhimurium U288,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Salmonella
T02737,setc,Salmonella enterica subsp. enterica serovar Typhimurium var. 5- CFSAN001921,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Salmonella
T02869,senr,Salmonella enterica subsp. enterica serovar Typhimurium DT2,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Salmonella
T02874,send,Salmonella enterica subsp. enterica serovar Typhimurium DT104,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Salmonella
T03493,seni,Salmonella enterica subsp. enterica serovar Typhimurium 138736,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Salmonella
T02738,seen,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:- 08-1736",Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Salmonella
T00219,spt,Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Salmonella
T00756,sek,Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Salmonella
T00628,spq,Salmonella enterica subsp. enterica serovar Paratyphi B,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Salmonella
T00862,sei,Salmonella enterica subsp. enterica serovar Paratyphi C,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Salmonella
T00240,sec,Salmonella enterica subsp. enterica serovar Choleraesuis,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Salmonella
T00738,seh,Salmonella enterica subsp. enterica serovar Heidelberg SL476,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Salmonella
T02011,shb,Salmonella enterica subsp. enterica serovar Heidelberg B182,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Salmonella
T02735,senh,Salmonella enterica subsp. enterica serovar Heidelberg CFSAN002069,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Salmonella
T02736,seeh,Salmonella enterica subsp. enterica serovar Heidelberg 41578,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Salmonella
T00739,see,Salmonella enterica subsp. enterica serovar Newport SL254,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Salmonella
T02779,senn,Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Salmonella
T00743,sew,Salmonella enterica subsp. enterica serovar Schwarzengrund,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Salmonella
T00751,sea,Salmonella enterica subsp. enterica serovar Agona SL483,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Salmonella
T02944,sens,Salmonella enterica subsp. enterica serovar Agona 24249,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Salmonella
T00757,sed,Salmonella enterica subsp. enterica serovar Dublin,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Salmonella
T00770,seg,Salmonella enterica subsp. enterica serovar Gallinarum 287/91,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Salmonella
T01740,sel,Salmonella enterica subsp. enterica serovar Gallinarum/pullorum RKS5078,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Salmonella
T02824,sega,Salmonella enterica subsp. enterica serovar Gallinarum/pullorum CDC1983-67,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Salmonella
T00776,set,Salmonella enterica subsp. enterica serovar Enteritidis P125109,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Salmonella
T03731,sena,Salmonella enterica subsp. enterica serovar Enteritidis EC20090135,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Salmonella
T03732,seno,Salmonella enterica subsp. enterica serovar Enteritidis EC20090193,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Salmonella
T03760,senv,Salmonella enterica subsp. enterica serovar Enteritidis EC20090332,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Salmonella
T03761,senq,Salmonella enterica subsp. enterica serovar Enteritidis EC20090531,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Salmonella
T03817,senl,Salmonella enterica subsp. enterica serovar Enteritidis OLF-SE1-1019-1,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Salmonella
T02479,senj,Salmonella enterica subsp. enterica serovar Javiana,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Salmonella
T02734,seec,Salmonella enterica subsp. enterica serovar Cubana,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Salmonella
T02739,seeb,Salmonella enterica subsp. enterica serovar Bareilly,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Salmonella
T02790,seep,Salmonella enterica subsp. enterica serovar Pullorum,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Salmonella
T02827,senb,Salmonella enterica subsp. enterica serovar Bovismorbificans,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Salmonella
T02868,sene,Salmonella enterica subsp. enterica serovar Thompson,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Salmonella
T03730,senc,Salmonella enterica subsp. enterica serovar Tennessee,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Salmonella
T00627,ses,Salmonella enterica subsp. arizonae,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Salmonella
T01579,sbg,Salmonella bongori NCTC 12419,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Salmonella
T02733,sbz,Salmonella bongori N268-08,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Salmonella
T03249,sbv,Salmonella bongori serovar 48:z41:--,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Salmonella
T06160,salz,Salmonella sp. SSDFZ69,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Salmonella
T00097,sfl,Shigella flexneri 301 (serotype 2a),Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Shigella
T00128,sfx,Shigella flexneri 2457T (serotype 2a),Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Shigella
T00377,sfv,Shigella flexneri 8401 (serotype 5b),Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Shigella
T01883,sfe,Shigella flexneri 2002017 (serotype Fxv),Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Shigella
T03267,sfn,Shigella flexneri 2003036,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Shigella
T03315,sfs,Shigella flexneri Shi06HN006 (serotype Yv),Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Shigella
T03751,sft,Shigella flexneri NCTC1 (serotype 2a),Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Shigella
T00274,ssn,Shigella sonnei Ss046,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Shigella
T00301,sbo,Shigella boydii Sb227 (serotype 4),Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Shigella
T00700,sbc,Shigella boydii CDC 3083-94 (serotype 18),Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Shigella
T00306,sdy,Shigella dysenteriae Sd197,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Shigella
T02933,sdz,Shigella dysenteriae 1617 (serotype 1),Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Shigella
T04390,shq,Shigella sp. PAMC 28760,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Shigella
T10707,shig,Shigella sp. PIB,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Shigella
T01231,enc,Enterobacter cloacae subsp. cloacae ATCC 13047,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Enterobacter
T02159,enl,Enterobacter cloacae subsp. dissolvens SDM,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Enterobacter
T03429,eclg,Enterobacter cloacae GGT036,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Enterobacter
T03471,ecle,Enterobacter cloacae ECNIH2,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Enterobacter
T03486,ecln,Enterobacter cloacae ECNIH4,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Enterobacter
T03706,ecli,Enterobacter cloacae ECNIH5,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Enterobacter
T03707,eclx,Enterobacter hormaechei subsp. xiangfangensis 34399,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Enterobacter
T03708,ecly,Enterobacter hormaechei subsp. steigerwaltii,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Enterobacter
T03709,eclz,Enterobacter hormaechei subsp. hormaechei,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Enterobacter
T02615,eclo,Enterobacter hormaechei NCTC 9394,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Enterobacter
T04593,ehm,Enterobacter hormaechei CAV1176,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Enterobacter
T04821,exf,Enterobacter hormaechei subsp. xiangfangensis,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Enterobacter
T03350,ecla,Enterobacter hormaechei subsp. hoffmannii ECNIH3,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Enterobacter
T03378,eclc,Enterobacter hormaechei subsp. hoffmannii ECR091,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Enterobacter
T03084,eau,Enterobacter asburiae L1,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Enterobacter
T04686,ekb,Enterobacter kobei DSM 13645,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Enterobacter
T02315,eno,Enterobacter kobei ENHKU01,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Enterobacter
T01652,eec,Enterobacter ludwigii EcWSU1,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Enterobacter
T04719,elg,Enterobacter ludwigii EN-119,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Enterobacter
T05545,ecan,Enterobacter cancerogenus,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Enterobacter
T05556,ern,Enterobacter roggenkampii DSM 16690,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Enterobacter
T04878,ecls,Enterobacter roggenkampii 35734,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Enterobacter
T06229,echg,Enterobacter chengduensis,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Enterobacter
T06532,esh,Enterobacter sichuanensis,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Enterobacter
T09666,ept,Enterobacter pasteurii,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Enterobacter
T11050,echu,Enterobacter chuandaensis,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Enterobacter
T00507,ent,Enterobacter sp. 638,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Enterobacter
T01604,eas,Enterobacter soli,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Enterobacter
T02700,enr,Enterobacter sp. R4-368,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Enterobacter
T04118,enx,Enterobacter sp. E20,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Enterobacter
T04405,enf,Enterobacter sp. FY-07,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Enterobacter
T05333,lni,Enterobacter sp. SGAir0187,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Enterobacter
T05993,ebg,Enterobacter bugandensis,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Enterobacter
T06363,end,Enterobacter sp. ODB01,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Enterobacter
T07956,enz,Enterobacter sp. T2,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Enterobacter
T07983,ens,Enterobacter sp. DSM 30060,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Enterobacter
T07994,enk,Enterobacter sp. AN-K1,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Enterobacter
T08129,ehu,Enterobacter huaxiensis,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Enterobacter
T08239,emor,Enterobacter mori,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Enterobacter
T08394,enb,Enterobacter sp. N18-03635,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Enterobacter
T09002,equ,Enterobacter quasiroggenkampii,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Enterobacter
T09244,epu,Enterobacter pseudoroggenkampii,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Enterobacter
T10162,edy,Enterobacter dykesii,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Enterobacter
T10740,eax,Enterobacter adelaidei,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Enterobacter
T11023,ente,Enterobacter sp. SES19,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Enterobacter
T11024,enty,Enterobacter sp. YSU,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Enterobacter
T11208,enj,Enterobacter sp. PGRG2,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Enterobacter
T11374,enhk,Enterobacter sp. HK169,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Enterobacter
T11438,entl,Enterobacter sp. LU1,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Enterobacter
T11440,entc,Enterobacter sp. Crenshaw,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Enterobacter
T11441,entj,Enterobacter sp. JJBC,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Enterobacter
T11477,enth,Enterobacter sp. HNDS-6,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Enterobacter
T11584,env,Enterobacter sp. JBIWA008,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Enterobacter
T00586,esa,Cronobacter sakazakii ATCC BAA-894,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Cronobacter
T02119,csk,Cronobacter sakazakii ES15,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Cronobacter
T02461,csz,Cronobacter sakazakii Sp291,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Cronobacter
T03903,csj,Cronobacter sakazakii ATCC 29544,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Cronobacter
T04060,ccon,Cronobacter condimenti,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Cronobacter
T04061,cdm,Cronobacter dublinensis,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Cronobacter
T02955,csi,Cronobacter malonaticus CMCC45402,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Cronobacter
T04062,cmj,Cronobacter malonaticus LMG 23826,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Cronobacter
T04063,cui,Cronobacter universalis,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Cronobacter
T04067,cmw,Cronobacter muytjensii,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Cronobacter
T00999,ctu,Cronobacter turicensis,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Cronobacter
T00566,kpn,Klebsiella pneumoniae subsp. pneumoniae MGH 78578 (serotype K52),Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Klebsiella
T00910,kpu,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044 (serotype K1),Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Klebsiella
T01733,kpm,Klebsiella pneumoniae subsp. pneumoniae HS11286,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Klebsiella
T02213,kpp,Klebsiella pneumoniae subsp. pneumoniae 1084 (serotype K1),Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Klebsiella
T03369,kph,Klebsiella pneumoniae subsp. pneumoniae KPNIH24,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Klebsiella
T03370,kpz,Klebsiella pneumoniae subsp. pneumoniae KPNIH27,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Klebsiella
T03465,kpv,Klebsiella pneumoniae subsp. pneumoniae KPNIH29,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Klebsiella
T03466,kpw,Klebsiella pneumoniae subsp. pneumoniae KPNIH30,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Klebsiella
T03467,kpy,Klebsiella pneumoniae subsp. pneumoniae KPNIH31,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Klebsiella
T03468,kpg,Klebsiella pneumoniae subsp. pneumoniae KPNIH32,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Klebsiella
T03788,kpc,Klebsiella pneumoniae subsp. pneumoniae KPNIH10,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Klebsiella
T03371,kpq,Klebsiella pneumoniae subsp. pneumoniae KPR0928,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Klebsiella
