FromNode,ToNode,InteractionType
NAGLIPASYN-PWY,UDPNAGSYN-PWY,interact_with
LPSSYN-PWY,NAGLIPASYN-PWY,Contains
KDO-NAGLIPASYN-PWY,NAGLIPASYN-PWY,Contains
P1-PWY,,
ANARESP1-PWY,,
PWY-5918,GLUTAMATE-SYN,INCOMING
AMMASSIM-PWY,,
PWY-5667,PWY-5669,interact_with
PWY-5667,PWY-5668,interact_with
PWY-5667,PWY-5269,interact_with
PWY-5667,GLYCOLYSIS,interact_with
PHOSLIPSYN-PWY,PWY-5667,Contains
PWY4FS-8,PWY-5667,Contains
PWY-6121,,
PWY-841,PWY-6121,Contains
PWY-6277,PWY-6121,Contains
PWY-4921,,
OXIDATIVEPENT-PWY,NONOXIPENT-PWY,interact_with
OXIDATIVEPENT-PWY,ENTNER-DOUDOROFF-PWY,interact_with
PENTOSE-P-PWY,OXIDATIVEPENT-PWY,Contains
PWY0-1061,,
PWY-5194,PWY-5188,interact_with
PWY-5194,PWY-5189,interact_with
PWY-6599,PWY-6125,interact_with
PWY-5043,PWY-6599,Contains
XYLCAT-PWY,NONOXIPENT-PWY,interact_with
PWY-6901,XYLCAT-PWY,Contains
GLNSYN-PWY,GLUTAMATE-SYN,interact_with
PWY-5505,GLNSYN-PWY,Contains
AMMASSIM-PWY,GLNSYN-PWY,Contains
UDPNAGSYN-PWY,,
OANTIGEN-PWY,UDPNAGSYN-PWY,Contains
PWY-5659,,
GLUTAMINDEG-PWY,,
THREONINE-DEG2-PWY,,
PWY-6790,,
PWY0-862,PWY-6282,interact_with
PWY-6284,PWY0-862,Contains
NAD-BIOSYNTHESIS-III,,
P2-PWY,PWY-6038,interact_with
PWY-4261,GLUCONEO-PWY,interact_with
PWY-4261,GLYCOLYSIS-VARIANTS,interact_with
PWY0-381,PWY-4261,Contains
PWY-7082,,
KDO-LIPASYN-PWY,KDOSYN-PWY,interact_with
LPSSYN-PWY,KDO-LIPASYN-PWY,Contains
TYRSYN,ARO-PWY,interact_with
PWY-5436,,
PWY0-1325,,
PWY-6543,PWY-6614,interact_with
PWY-6543,ARO-PWY,interact_with
PWY-6612,PWY-6543,Contains
LEUSYN-PWY,VALSYN-PWY,interact_with
BRANCHED-CHAIN-AA-SYN-PWY,LEUSYN-PWY,Contains
ASPARTATE-DEG1-PWY,TCA,interact_with
PWY-4381,PWY-6519,interact_with
BETSYN-PWY,,
PWY-6464,,
NONOXIPENT-PWY,ARO-PWY,interact_with
NONOXIPENT-PWY,OXIDATIVEPENT-PWY,interact_with
NONOXIPENT-PWY,PRPP-BIOSYNTHESIS,interact_with
PENTOSE-P-PWY,NONOXIPENT-PWY,Contains
PWY-6124,PWY-6125,interact_with
PWY-6124,PWY-6126,interact_with
PWY-6124,AIR-BIOSYNTHESIS,INCOMING
PWY-841,PWY-6124,Contains
GLUDEG-II-PWY,,
HOMOSER-METSYN-PWY,CYSTSYN-PWY,interact_with
HOMOSER-METSYN-PWY,HOMOSERSYN-PWY,interact_with
METSYN-PWY,HOMOSER-METSYN-PWY,Contains
PWY-5347,HOMOSER-METSYN-PWY,Contains
PWY-7003,,
GLUCOSE1PMETAB-PWY,,
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY,,
PWY0-1317,PYRUVDEHYD-PWY,interact_with
PWY-5345,TCA,interact_with
PWY-5989,,
PWY-4984,,
PWY-2301,,
TRESYN-PWY,PWY0-1182,interact_with
PWY-6028,,
PWY-1881,PWY-1801,interact_with
PWY-1881,PWY-1722,interact_with
PWY-1882,PWY-1881,Contains
GLUTSYNIII-PWY,,
PWY-5505,GLUTSYNIII-PWY,Contains
FERMENTATION-PWY,GLYCOLYSIS,interact_with
PWY-6613,PWY-2161,interact_with
HEMESYN2-PWY,PWY-5188,interact_with
PWY0-1415,HEMESYN2-PWY,Contains
PWY-6268,,
PWY-6122,,
PWY-6277,PWY-6122,Contains
PWY0-181,PWY-7184,interact_with
PWY0-181,PWY-7184,interact_with
PYRIDNUCSYN-PWY,,
GLUT-REDOX-PWY,,
PWY-6963,,
PWY-3282,PWY-6963,Contains
PWY-841,THISYN-PWY,interact_with
PWY-6612,PWY-6125,interact_with
PWY-6612,ARO-PWY,interact_with
PWY-6612,PWY-2201,interact_with
PWY-6612,PWY-2161,interact_with
TREHALOSESYN-PWY,,
THIOREDOX-PWY,,
PWY-6443,,
PWY0-1275,,
PWY-6578,PWY0-1507,interact_with
PWY-6614,PWY-6147,interact_with
PWY-6614,PWY-2201,interact_with
PWY-6614,PWY-2161,interact_with
PWY-6614,PWY-6543,interact_with
PWY-6612,PWY-6614,Contains
FASYN-ELONG-PWY,PWY-4381,INCOMING
PWY-6894,PWY-6892,interact_with
PWY-6894,PWY-6890,interact_with
PWY-6895,PWY-6894,Contains
THISYN-PWY,PWY-6894,Contains
METHIONINE-DEG1-PWY,,
PWY-6292,METHIONINE-DEG1-PWY,Contains
GALDEG-PWY,GALACTCAT-PWY,interact_with
PWY-5360,,
PWY-6620,PWY-6125,interact_with
PLPSAL-PWY,,
PWY0-845,PLPSAL-PWY,Contains
PWY0-1466,,
PWY-2201,,
PWY-5298,,
NADPHOS-DEPHOS-PWY,,
TRNA-CHARGING-PWY,,
BSUBPOLYAMSYN-PWY,,
PWY-5314,,
HISTSYN-PWY,IMP-BIOSYNTHESIS,interact_with
HISTSYN-PWY,PRPP-BIOSYNTHESIS,INCOMING
DETOX1-PWY,,
PWY-5647,PWY-5162,interact_with
ALADEG-PWY,,
PWY-1622,,
ARGSYNBSUB-PWY,PWY0-162,OUTGOING
ARGSYNBSUB-PWY,GLUTAMATE-SYN,interact_with
PWY-6892,AIR-BIOSYNTHESIS,INCOMING
PWY-6892,PWY-6894,interact_with
PWY-6892,TYRSYN,interact_with
PWY-6895,PWY-6892,Contains
THISYN-PWY,PWY-6892,Contains
PWY3O-210,,
KDO-NAGLIPASYN-PWY,,
ENTNER-DOUDOROFF-PWY,PYRUVDEHYD-PWY,interact_with
ENTNER-DOUDOROFF-PWY,GLYCOLYSIS,interact_with
GLYCOLYSIS-E-D,ENTNER-DOUDOROFF-PWY,Contains
GLUAMCAT-PWY,,
PWY-6517,GLUAMCAT-PWY,Contains
PWY-6151,,
PANTO-PWY,VALSYN-PWY,interact_with
PANTO-PWY,BETA-ALANINE-BIOSYNTHESIS,INCOMING
PANTO-PWY,COA-PWY,interact_with
PANTO-PWY,VALSYN-PWY,interact_with
PANTOSYN-PWY,PANTO-PWY,Contains
SAM-PWY,,
PWY-6151,SAM-PWY,Contains
COBALSYN-PWY,,
PWY-6517,,
PWY-6952,GLYCOLYSIS,interact_with
PWY0-381,PWY-6952,Contains
ARGSYN-PWY,,
PWY-6126,IMP-BIOSYNTHESIS,INCOMING
PWY-4341,,
PWY-5505,PWY-4341,Contains
PENTOSE-P-PWY,,
PWY-6901,PENTOSE-P-PWY,Contains
PWY-7184,PWY0-162,interact_with
PWY-7184,PWY0-162,interact_with
PWY0-166,PWY-7184,Contains
PYRUVOX-PWY,,
PWY-6708,,
PWY-5188,,
PWY-5918,PWY-5188,Contains
PWY-6891,AIR-BIOSYNTHESIS,INCOMING
PWY-6891,PWY-6893,interact_with
PWY-6895,PWY-6891,Contains
LACTOSEUTIL-PWY,,
PWY-3001,TCA,interact_with
THRESYN-PWY,,
PWY-5988,,
PWY-5507,PWY-5188,interact_with
CENTFERM-PWY,GLYCOLYSIS,interact_with
GLUDEG-II-PWY,CENTFERM-PWY,Contains
PWY-1269,KDOSYN-PWY,interact_with
LPSSYN-PWY,PWY-1269,Contains
KDO-NAGLIPASYN-PWY,PWY-1269,Contains
ANAGLYCOLYSIS-PWY,,
PWY0-1319,PWY-5668,interact_with
PWY0-1319,PWY-5669,interact_with
PWY0-1319,GLYCOLYSIS,interact_with
PWY0-1319,PWY-6284,INCOMING
PHOSLIPSYN-PWY,PWY0-1319,Contains
PWY4FS-7,PWY0-1319,Contains
CYSTSYN-PWY,SERSYN-PWY,interact_with
SULFATE-CYS-PWY,CYSTSYN-PWY,Contains
PWY-6755,SAM-PWY,interact_with
PWY-5148,,
PWY-6317,GLYCOLYSIS,interact_with
FAO-PWY,TCA-VARIANTS,interact_with
1CMET2-PWY,,
PWY0-1021,,
PWY0-1061,PWY0-1021,Contains
PWY4FS-8,,
PWY-5970,,
PHOSLIPSYN-PWY,GLYCOLYSIS,interact_with
PWY0-381,GLYCOLYSIS,interact_with
PWY-5655,TCA,interact_with
CHOLINE-BETAINE-ANA-PWY,,
PWY0-1353,,
PWY-7185,PWY0-162,interact_with
GLYCLEAV-PWY,,
PANTOSYN-PWY,,
ARG-GLU-PWY,,
ASPARAGINE-DEG1-PWY,ASPARTATE-DEG1-PWY,interact_with
PWY-6700,,
PWY-6336,PWY-5162,interact_with
PYRIDOXSYN-PWY,,
PWY0-845,PYRIDOXSYN-PWY,Contains
PWY-5344,SO4ASSIM-PWY,interact_with
PWY-5344,HOMOSERSYN-PWY,interact_with
PWY-5345,PWY-5344,Contains
PWY0-845,,
BIOTIN-BIOSYNTHESIS-PWY,PWY-4381,interact_with
PWY0-1314,GLYCOLYSIS,interact_with
BGALACT-PWY,,
PWY-1801,PWY-1881,interact_with
PWY-1882,PWY-1801,Contains
SERSYN-PWY,GLYCOLYSIS,interact_with
SERSYN-PWY,TRPSYN-PWY,interact_with
SERSYN-PWY,GLYSYN-PWY,interact_with
SERSYN-PWY,CYSTSYN-PWY,interact_with
SULFATE-CYS-PWY,SERSYN-PWY,Contains
SER-GLYSYN-PWY,SERSYN-PWY,Contains
GLYSYN-THR-PWY,,
SULFATE-CYS-PWY,GLYCOLYSIS,interact_with
PWY-2661,,
GLUTAMINEFUM-PWY,,
AST-PWY,,
