"","Total","Hits","Raw p","-log(p)","Holm adjust","FDR","Impact","compounds","pathway","links"
"Biosynthesis of siderophore group nonribosomal peptides",6,1,0.032993,3.4115,1,0.33433,0,"C00805","ko01053","http://www.kegg.jp/pathway/ko01053+C00805"
"Metabolic pathways",1677,14,0.036874,3.3002,1,0.35006,0.01641,"C00122;C00049;C00188;C00073;C00082;C00217;C00189;C00805;C06104;C00258;C00208;C00818;C00407;C00123","ko01100","http://www.kegg.jp/pathway/ko01100+C00122+C00049+C00188+C00073+C00082+C00217+C00189+C00805+C06104+C00258+C00208+C00818+C00407+C00123"
"Cysteine and methionine metabolism",57,2,0.03933,3.2358,1,0.35006,0.0827,"C00073;C00049","ko00270","http://www.kegg.jp/pathway/ko00270+C00073+C00049"
"Tyrosine metabolism",59,2,0.041883,3.1729,1,0.35006,0.13167,"C00082;C00122","ko00350","http://www.kegg.jp/pathway/ko00350+C00082+C00122"
"D-Glutamine and D-glutamate metabolism",8,1,0.043758,3.1291,1,0.35006,0.35714,"C00217","ko00471","http://www.kegg.jp/pathway/ko00471+C00217"
"Betalain biosynthesis",11,1,0.059691,2.8186,1,0.45365,0,"C00082","ko00965","http://www.kegg.jp/pathway/ko00965+C00082"
"Puromycin biosynthesis",12,1,0.064945,2.7342,1,0.47008,0,"C00082","ko00231","http://www.kegg.jp/pathway/ko00231+C00082"
"Methane metabolism",79,2,0.070563,2.6513,1,0.48753,0.00709,"C00258;C00082","ko00680","http://www.kegg.jp/pathway/ko00680+C00258+C00082"
"Biosynthesis of antibiotics",721,7,0.090294,2.4047,1,0.57507,0.01631,"C00049;C00258;C00082;C00188;C00407;C00122;C00805","ko01130","http://www.kegg.jp/pathway/ko01130+C00049+C00258+C00082+C00188+C00407+C00122+C00805"
"Biosynthesis of vancomycin group antibiotics",17,1,0.0908,2.3991,1,0.57507,0.00847,"C00082","ko01055","http://www.kegg.jp/pathway/ko01055+C00082"
"Caprolactam degradation",18,1,0.095888,2.3446,1,0.583,0,"C06104","ko00930","http://www.kegg.jp/pathway/ko00930+C06104"
"Cutin, suberine and wax biosynthesis",20,1,0.10598,2.2445,1,0.59665,0,"C08281","ko00073","http://www.kegg.jp/pathway/ko00073+C08281"
"Citrate cycle (TCA cycle)",20,1,0.10598,2.2445,1,0.59665,0.03382,"C00122","ko00020","http://www.kegg.jp/pathway/ko00020+C00122"
"Carbon fixation in photosynthetic organisms",22,1,0.11597,2.1544,1,0.60038,0,"C00049","ko00710","http://www.kegg.jp/pathway/ko00710+C00049"
"Degradation of aromatic compounds",219,3,0.11941,2.1252,1,0.60038,0.02003,"C00805;C00122;C06104","ko01220","http://www.kegg.jp/pathway/ko01220+C00805+C00122+C06104"
"Styrene degradation",24,1,0.12585,2.0726,1,0.60038,0,"C00122","ko00643","http://www.kegg.jp/pathway/ko00643+C00122"
"beta-Alanine metabolism",25,1,0.13075,2.0344,1,0.60038,0,"C00049","ko00410","http://www.kegg.jp/pathway/ko00410+C00049"
"Pantothenate and CoA biosynthesis",25,1,0.13075,2.0344,1,0.60038,0,"C00049","ko00770","http://www.kegg.jp/pathway/ko00770+C00049"
"Peptidoglycan biosynthesis",26,1,0.13563,1.9978,1,0.60038,0,"C00009","ko00550","http://www.kegg.jp/pathway/ko00550+C00009"
"Pyruvate metabolism",27,1,0.14048,1.9627,1,0.60038,0.04244,"C00122","ko00620","http://www.kegg.jp/pathway/ko00620+C00122"
"Glycerolipid metabolism",28,1,0.1453,1.929,1,0.60038,0.04816,"C00258","ko00561","http://www.kegg.jp/pathway/ko00561+C00258"
"Thiamine metabolism",29,1,0.1501,1.8965,1,0.60038,0,"C00082","ko00730","http://www.kegg.jp/pathway/ko00730+C00082"
"Dioxin degradation",29,1,0.1501,1.8965,1,0.60038,0.02468,"C00805","ko00621","http://www.kegg.jp/pathway/ko00621+C00805"
"Novobiocin biosynthesis",29,1,0.1501,1.8965,1,0.60038,0.04621,"C00082","ko00401","http://www.kegg.jp/pathway/ko00401+C00082"
"Histidine metabolism",33,1,0.16903,1.7777,1,0.61609,0,"C00049","ko00340","http://www.kegg.jp/pathway/ko00340+C00049"
"Lysine biosynthesis",34,1,0.1737,1.7504,1,0.61609,0,"C00049","ko00300","http://www.kegg.jp/pathway/ko00300+C00049"
"Phenylalanine, tyrosine and tryptophan biosynthesis",34,1,0.1737,1.7504,1,0.61609,6e-04,"C00082","ko00400","http://www.kegg.jp/pathway/ko00400+C00082"
"Pentose phosphate pathway",35,1,0.17834,1.7241,1,0.61609,0.02174,"C00258","ko00030","http://www.kegg.jp/pathway/ko00030+C00258"
"Starch and sucrose metabolism",35,1,0.17834,1.7241,1,0.61609,0.048,"C00208","ko00500","http://www.kegg.jp/pathway/ko00500+C00208"
"Naphthalene degradation",35,1,0.17834,1.7241,1,0.61609,0.09286,"C00805","ko00626","http://www.kegg.jp/pathway/ko00626+C00805"
"Butanoate metabolism",38,1,0.19213,1.6496,1,0.64896,0.0121,"C00122","ko00650","http://www.kegg.jp/pathway/ko00650+C00122"
"Polycyclic aromatic hydrocarbon degradation",41,1,0.20569,1.5814,1,0.66521,0,"C00805","ko00624","http://www.kegg.jp/pathway/ko00624+C00805"
"Ascorbate and aldarate metabolism",41,1,0.20569,1.5814,1,0.66521,0.02065,"C00818","ko00053","http://www.kegg.jp/pathway/ko00053+C00818"
"Isoquinoline alkaloid biosynthesis",42,1,0.21016,1.5599,1,0.66551,0.0169,"C00082","ko00950","http://www.kegg.jp/pathway/ko00950+C00082"
"Lysine degradation",44,1,0.21904,1.5185,1,0.66587,0,"C00489","ko00310","http://www.kegg.jp/pathway/ko00310+C00489"
"Carbon fixation pathways in prokaryotes",44,1,0.21904,1.5185,1,0.66587,0.01144,"C00122","ko00720","http://www.kegg.jp/pathway/ko00720+C00122"
"Glycerophospholipid metabolism",47,1,0.23217,1.4603,1,0.68494,0.01365,"C00189","ko00564","http://www.kegg.jp/pathway/ko00564+C00189"
"Microbial metabolism in diverse environments",757,6,0.23432,1.4511,1,0.68494,0.01571,"C00258;C00805;C00122;C00188;C00049;C06104","ko01120","http://www.kegg.jp/pathway/ko01120+C00258+C00805+C00122+C00188+C00049+C06104"
"Fatty acid biosynthesis",49,1,0.2408,1.4238,1,0.69061,0,"C01530","ko00061","http://www.kegg.jp/pathway/ko00061+C01530"
"Ubiquinone and other terpenoid-quinone biosynthesis",51,1,0.24935,1.3889,1,0.70082,0,"C00082","ko00130","http://www.kegg.jp/pathway/ko00130+C00082"
"Glyoxylate and dicarboxylate metabolism",52,1,0.25359,1.372,1,0.70082,0.02262,"C00258","ko00630","http://www.kegg.jp/pathway/ko00630+C00258"
"Phenylpropanoid biosynthesis",57,1,0.27444,1.293,1,0.7449,0,"C00082","ko00940","http://www.kegg.jp/pathway/ko00940+C00082"
"Porphyrin and chlorophyll metabolism",99,1,0.42891,0.8465,1,1,0,"C00188","ko00860","http://www.kegg.jp/pathway/ko00860+C00188"
"Biosynthesis of amino acids",127,6,4.8107e-05,9.9421,0.0073123,0.0073123,0.02518,"C00407;C00123;C00188;C00049;C00073;C00082","ko01230","http://www.kegg.jp/pathway/ko01230+C00407+C00123+C00188+C00049+C00073+C00082"
