ID,NodeType,weight,definition,evidence,is_obsolete,value_colors,label
GO:0001121,biological_process,1,"The synthesis of RNA from a DNA template by a bacterial-type RNA polymerase, originating at a bacterial-type promoter.",[""GOC:txnOH""],false,#808080,bacterial transcription
GO:0001123,biological_process,1,"Any process involved in the assembly of bacterial-type RNA polymerase preinitiation complex (PIC) at the core promoter region of a DNA template, resulting in the subsequent synthesis of RNA from that promoter. The initiation phase includes PIC assembly and the formation of the first few bonds in the RNA chain, including abortive initiation, which occurs when the first few nucleotides are repeatedly synthesized and then released. The initiation phase ends just before and does not include promoter clearance, or release, which is the transition between the initiation and elongation phases of transcription.","[""GOC:txnOH"",""PMID:18280161""]",false,#B21749,transcription initiation from bacterial-type RNA polymerase promoter
GO:0001216,molecular_function,1,"Interacting selectively and non-covalently with a specific DNA sequence in order to activate or increase the frequency, rate or extent of transcription by a RNA polymerase.",[""GOC:krc""],false,#D53E4F,DNA-binding transcription activator activity
GO:0001539,biological_process,1,Cell motility due to movement of eukaryotic cilia or bacterial-type flagella or archaeal-type flagella.,"[""GOC:cilia"",""GOC:hjd"",""GOC:krc""]",false,#808080,cilium or flagellum-dependent cell motility
GO:0003674,molecular_function,1,"A molecular process that can be carried out by the action of a single macromolecular machine, usually via direct physical interactions with other molecular entities. Function in this sense denotes an action, or activity, that a gene product (or a complex) performs. These actions are described from two distinct but related perspectives: (1) biochemical activity, and (2) role as a component in a larger system/process.",[""GOC:pdt""],false,#808080,molecular_function
GO:0003676,molecular_function,1,Interacting selectively and non-covalently with any nucleic acid.,[""GOC:jl""],false,#9E0142,nucleic acid binding
GO:0003677,molecular_function,1,Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).,"[""GOC:dph"",""GOC:jl"",""GOC:tb"",""GOC:vw""]",false,#B21749,DNA binding
GO:0003688,molecular_function,1,"Interacting selectively and non-covalently with the DNA replication origin, a unique DNA sequence of a replicon at which DNA replication is initiated and proceeds bidirectionally or unidirectionally.",[""GOC:curators""],false,#B21749,DNA replication origin binding
GO:0003690,molecular_function,1,Interacting selectively and non-covalently with double-stranded DNA.,"[""GOC:elh"",""GOC:vw""]",false,#C52C4E,double-stranded DNA binding
GO:0003700,molecular_function,1,"A protein or a member of a complex that interacts selectively and non-covalently with a specific DNA sequence (sometimes referred to as a motif) within the regulatory region of a gene to modulate transcription. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units, and include bacterial operons.",[""GOC:txnOH-2018""],false,#9E0142,DNA-binding transcription factor activity
GO:0003723,molecular_function,1,Interacting selectively and non-covalently with an RNA molecule or a portion thereof.,"[""GOC:jl"",""GOC:mah""]",false,#B21749,RNA binding
GO:0003824,molecular_function,1,"Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic.","[""GOC:vw"",""ISBN:0198506732""]",false,#9E0142,catalytic activity
GO:0003899,molecular_function,1,"Catalysis of the reaction: nucleoside triphosphate + RNA(n) = diphosphate + RNA(n+1). Utilizes a DNA template, i.e. the catalysis of DNA-template-directed extension of the 3'-end of an RNA strand by one nucleotide at a time. Can initiate a chain 'de novo'.","[""EC:2.7.7.6"",""GOC:pf""]",false,#C52C4E,DNA-directed 5'-3' RNA polymerase activity
GO:0003993,molecular_function,1,"Catalysis of the reaction: an orthophosphoric monoester + H2O = an alcohol + phosphate, with an acid pH optimum.",[""EC:3.1.3.2""],false,#B21749,acid phosphatase activity
GO:0004175,molecular_function,1,"Catalysis of the hydrolysis of internal, alpha-peptide bonds in a polypeptide chain.",[""http:\/\/merops.sanger.ac.uk\/about\/glossary.htm#ENDOPEPTIDASE""],false,#808080,endopeptidase activity
GO:0004252,molecular_function,1,"Catalysis of the hydrolysis of internal, alpha-peptide bonds in a polypeptide chain by a catalytic mechanism that involves a catalytic triad consisting of a serine nucleophile that is activated by a proton relay involving an acidic residue (e.g. aspartate or glutamate) and a basic residue (usually histidine).","[""GOC:mah"",""http:\/\/merops.sanger.ac.uk\/about\/glossary.htm#CATTYPE"",""ISBN:0716720094""]",false,#9E0142,serine-type endopeptidase activity
GO:0004356,molecular_function,1,Catalysis of the reaction: L-glutamate + ATP + NH(3) = L-glutamine + ADP + 2 H(+) + phosphate.,"[""EC:6.3.1.2"",""RHEA:16169""]",false,#D53E4F,glutamate-ammonia ligase activity
GO:0004553,molecular_function,1,Catalysis of the hydrolysis of any O-glycosyl bond.,[""GOC:mah""],false,#9E0142,"hydrolase activity, hydrolyzing O-glycosyl compounds"
GO:0004672,molecular_function,1,"Catalysis of the phosphorylation of an amino acid residue in a protein, usually according to the reaction: a protein + ATP = a phosphoprotein + ADP.",[""MetaCyc:PROTEIN-KINASE-RXN""],false,#808080,protein kinase activity
GO:0004673,molecular_function,1,Catalysis of the reaction: ATP + protein L-histidine = ADP + protein phospho-L-histidine.,"[""EC:2.7.13.3"",""GOC:mah""]",false,#808080,protein histidine kinase activity
GO:0004721,molecular_function,1,"Catalysis of the reaction: a phosphoprotein + H2O = a protein + phosphate. Together with protein kinases, these enzymes control the state of phosphorylation of cell proteins and thereby provide an important mechanism for regulating cellular activity.","[""EC:3.1.3.16"",""ISBN:0198547684""]",false,#B21749,phosphoprotein phosphatase activity
GO:0004871,molecular_function,1,Conveys a signal across a cell to trigger a change in cell function or state. A signal is a physical entity or change in state that is used to transfer information in order to trigger a response.,[""GOC:go_curators""],true,#3288BD,obsolete signal transducer activity
GO:0005198,molecular_function,1,The action of a molecule that contributes to the structural integrity of a complex or its assembly within or outside a cell.,"[""GOC:mah"",""GOC:vw""]",false,#9E0142,structural molecule activity
GO:0005215,molecular_function,1,"Enables the directed movement of substances (such as macromolecules, small molecules, ions) into, out of or within a cell, or between cells.","[""GOC:ai"",""GOC:dgf""]",false,#9E0142,transporter activity
GO:0005488,molecular_function,1,"The selective, non-covalent, often stoichiometric, interaction of a molecule with one or more specific sites on another molecule.","[""GOC:ceb"",""GOC:mah"",""ISBN:0198506732""]",false,#808080,binding
GO:0005515,molecular_function,1,Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).,[""GOC:go_curators""],false,#808080,protein binding
GO:0005524,molecular_function,1,"Interacting selectively and non-covalently with ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator.",[""ISBN:0198506732""],false,#D53E4F,ATP binding
GO:0005575,cellular_component,1,"A location, relative to cellular compartments and structures, occupied by a macromolecular machine when it carries out a molecular function. There are two ways in which the gene ontology describes locations of gene products: (1) relative to cellular structures (e.g., cytoplasmic side of plasma membrane) or compartments (e.g., mitochondrion), and (2) the stable macromolecular complexes of which they are parts (e.g., the ribosome).","[""GOC:pdt"",""NIF_Subcellular:sao-1337158144""]",false,#808080,cellular_component
GO:0005576,cellular_component,1,The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite.,[""GOC:go_curators""],false,#B21749,extracellular region
GO:0005618,cellular_component,1,"The rigid or semi-rigid envelope lying outside the cell membrane of plant, fungal, most prokaryotic cells and some protozoan parasites, maintaining their shape and protecting them from osmotic lysis. In plants it is made of cellulose and, often, lignin; in fungi it is composed largely of polysaccharides; in bacteria it is composed of peptidoglycan; in protozoan parasites such as Giardia species, it's made of carbohydrates and proteins.","[""GOC:giardia"",""http:\/\/en.wikipedia.org\/wiki\/Microbial_cyst"",""ISBN:0198547684"",""PMID:15134259""]",false,#B21749,cell wall
GO:0005622,cellular_component,1,"The living contents of a cell; the matter contained within (but not including) the plasma membrane, usually taken to exclude large vacuoles and masses of secretory or ingested material. In eukaryotes it includes the nucleus and cytoplasm.",[""ISBN:0198506732""],false,#FFF9B6,intracellular
GO:0005623,cellular_component,1,The basic structural and functional unit of all organisms. Includes the plasma membrane and any external encapsulating structures such as the cell wall and cell envelope.,[""GOC:go_curators""],false,#808080,cell
GO:0005737,cellular_component,1,"All of the contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures.",[""ISBN:0198547684""],false,#C52C4E,cytoplasm
GO:0005739,cellular_component,1,"A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration.","[""GOC:giardia"",""ISBN:0198506732""]",false,#808080,mitochondrion
GO:0005886,cellular_component,1,The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins.,[""ISBN:0716731363""],false,#9E0142,plasma membrane
GO:0005887,cellular_component,1,The component of the plasma membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane.,"[""GOC:dos"",""GOC:go_curators""]",false,#B21749,integral component of plasma membrane
GO:0005975,biological_process,1,"The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y. Includes the formation of carbohydrate derivatives by the addition of a carbohydrate residue to another molecule.","[""GOC:mah"",""ISBN:0198506732""]",false,#B21749,carbohydrate metabolic process
GO:0005976,biological_process,1,"The chemical reactions and pathways involving a polysaccharide, a polymer of many (typically more than 10) monosaccharide residues linked glycosidically.","[""CHEBI:18154"",""ISBN:0198547684""]",false,#9E0142,polysaccharide metabolic process
GO:0006073,biological_process,1,"The chemical reactions and pathways involving glucans, polysaccharides consisting only of glucose residues, occurring at the level of an individual cell.",[""ISBN:0198547684""],false,#808080,cellular glucan metabolic process
GO:0006082,biological_process,1,"The chemical reactions and pathways involving organic acids, any acidic compound containing carbon in covalent linkage.",[""ISBN:0198506732""],false,#808080,organic acid metabolic process
GO:0006091,biological_process,1,"The chemical reactions and pathways resulting in the formation of precursor metabolites, substances from which energy is derived, and any process involved in the liberation of energy from these substances.",[""GOC:jl""],false,#C52C4E,generation of precursor metabolites and energy
GO:0006109,biological_process,1,"Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving carbohydrates.",[""GOC:go_curators""],false,#B21749,regulation of carbohydrate metabolic process
GO:0006119,biological_process,1,"The phosphorylation of ADP to ATP that accompanies the oxidation of a metabolite through the operation of the respiratory chain. Oxidation of compounds establishes a proton gradient across the membrane, providing the energy for ATP synthesis.","[""ISBN:0198506732"",""ISBN:0471331309""]",false,#808080,oxidative phosphorylation
GO:0006122,biological_process,1,"The transfer of electrons from ubiquinol to cytochrome c that occurs during oxidative phosphorylation, mediated by the multisubunit enzyme known as complex III.",[""ISBN:0716731363""],false,#B21749,"mitochondrial electron transport, ubiquinol to cytochrome c"
GO:0006139,biological_process,1,"Any cellular metabolic process involving nucleobases, nucleosides, nucleotides and nucleic acids.",[""GOC:ai""],false,#B21749,nucleobase-containing compound metabolic process
GO:0006163,biological_process,1,"The chemical reactions and pathways involving a purine nucleotide, a compound consisting of nucleoside (a purine base linked to a deoxyribose or ribose sugar) esterified with a phosphate group at either the 3' or 5'-hydroxyl group of the sugar.","[""GOC:go_curators"",""ISBN:0198506732""]",false,#808080,purine nucleotide metabolic process
GO:0006164,biological_process,1,"The chemical reactions and pathways resulting in the formation of a purine nucleotide, a compound consisting of nucleoside (a purine base linked to a deoxyribose or ribose sugar) esterified with a phosphate group at either the 3' or 5'-hydroxyl group of the sugar.","[""GOC:go_curators"",""ISBN:0198506732""]",false,#808080,purine nucleotide biosynthetic process
GO:0006259,biological_process,1,"Any cellular metabolic process involving deoxyribonucleic acid. This is one of the two main types of nucleic acid, consisting of a long, unbranched macromolecule formed from one, or more commonly, two, strands of linked deoxyribonucleotides.",[""ISBN:0198506732""],false,#808080,DNA metabolic process
GO:0006260,biological_process,1,"The cellular metabolic process in which a cell duplicates one or more molecules of DNA. DNA replication begins when specific sequences, known as origins of replication, are recognized and bound by initiation proteins, and ends when the original DNA molecule has been completely duplicated and the copies topologically separated. The unit of replication usually corresponds to the genome of the cell, an organelle, or a virus. The template for replication can either be an existing DNA molecule or RNA.",[""GOC:mah""],false,#808080,DNA replication
GO:0006261,biological_process,1,A DNA replication process that uses parental DNA as a template for the DNA-dependent DNA polymerases that synthesize the new strands.,"[""GOC:mah"",""ISBN:0198506732""]",false,#808080,DNA-dependent DNA replication
GO:0006270,biological_process,1,"The process in which DNA-dependent DNA replication is started; this begins with the ATP dependent loading of an initiator complex onto the DNA, this is followed by DNA melting and helicase activity. In bacteria, the gene products that enable the helicase activity are loaded after the initial melting and in archaea and eukaryotes, the gene products that enable the helicase activity are inactive when they are loaded and subsequently activate.","[""ISBN:071673706X"",""ISBN:0815316194"",""PMID:28209641""]",false,#B21749,DNA replication initiation
GO:0006275,biological_process,1,"Any process that modulates the frequency, rate or extent of DNA replication.",[""GOC:go_curators""],false,#B21749,regulation of DNA replication
GO:0006351,biological_process,1,The cellular synthesis of RNA on a template of DNA.,"[""GOC:jl"",""GOC:txnOH""]",false,#E24E4B,"transcription, DNA-templated"
GO:0006352,biological_process,1,"Any process involved in the assembly of the RNA polymerase preinitiation complex (PIC) at the core promoter region of a DNA template, resulting in the subsequent synthesis of RNA from that promoter. The initiation phase includes PIC assembly and the formation of the first few bonds in the RNA chain, including abortive initiation, which occurs when the first few nucleotides are repeatedly synthesized and then released. The initiation phase ends just before and does not include promoter clearance, or release, which is the transition between the initiation and elongation phases of transcription.","[""GOC:jid"",""GOC:txnOH"",""PMID:18280161""]",false,#C52C4E,"DNA-templated transcription, initiation"
GO:0006355,biological_process,1,"Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription.","[""GOC:go_curators"",""GOC:txnOH""]",false,#F46D43,"regulation of transcription, DNA-templated"
GO:0006401,biological_process,1,"The chemical reactions and pathways resulting in the breakdown of RNA, ribonucleic acid, one of the two main type of nucleic acid, consisting of a long, unbranched macromolecule formed from ribonucleotides joined in 3',5'-phosphodiester linkage.",[""ISBN:0198506732""],false,#B21749,RNA catabolic process
GO:0006402,biological_process,1,"The chemical reactions and pathways resulting in the breakdown of mRNA, messenger RNA, which is responsible for carrying the coded genetic 'message', transcribed from DNA, to sites of protein assembly at the ribosomes.",[""ISBN:0198506732""],false,#B21749,mRNA catabolic process
GO:0006412,biological_process,1,"The cellular metabolic process in which a protein is formed, using the sequence of a mature mRNA or circRNA molecule to specify the sequence of amino acids in a polypeptide chain. Translation is mediated by the ribosome, and begins with the formation of a ternary complex between aminoacylated initiator methionine tRNA, GTP, and initiation factor 2, which subsequently associates with the small subunit of the ribosome and an mRNA or circRNA. Translation ends with the release of a polypeptide chain from the ribosome.",[""GOC:go_curators""],false,#808080,translation
GO:0006414,biological_process,1,The successive addition of amino acid residues to a nascent polypeptide chain during protein biosynthesis.,[""GOC:ems""],false,#808080,translational elongation
GO:0006417,biological_process,1,"Any process that modulates the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of proteins by the translation of mRNA or circRNA.",[""GOC:isa_complete""],false,#B21749,regulation of translation
GO:0006464,biological_process,1,"The covalent alteration of one or more amino acids occurring in proteins, peptides and nascent polypeptides (co-translational, post-translational modifications) occurring at the level of an individual cell. Includes the modification of charged tRNAs that are destined to occur in a protein (pre-translation modification).",[""GOC:go_curators""],false,#808080,cellular protein modification process
GO:0006468,biological_process,1,The process of introducing a phosphate group on to a protein.,[""GOC:hb""],false,#808080,protein phosphorylation
GO:0006470,biological_process,1,The process of removing one or more phosphoric residues from a protein.,[""GOC:hb""],false,#808080,protein dephosphorylation
GO:0006479,biological_process,1,The addition of a methyl group to a protein amino acid. A methyl group is derived from methane by the removal of a hydrogen atom.,[""GOC:ai""],false,#808080,protein methylation
GO:0006508,biological_process,1,The hydrolysis of proteins into smaller polypeptides and/or amino acids by cleavage of their peptide bonds.,"[""GOC:bf"",""GOC:mah""]",false,#808080,proteolysis
GO:0006518,biological_process,1,"The chemical reactions and pathways involving peptides, compounds of two or more amino acids where the alpha carboxyl group of one is bound to the alpha amino group of another.","[""CHEBI:16670"",""GOC:go_curators""]",false,#808080,peptide metabolic process
GO:0006520,biological_process,1,"The chemical reactions and pathways involving amino acids, carboxylic acids containing one or more amino groups, as carried out by individual cells.","[""CHEBI:33709"",""GOC:curators"",""ISBN:0198506732""]",false,#9E0142,cellular amino acid metabolic process
GO:0006541,biological_process,1,"The chemical reactions and pathways involving glutamine, 2-amino-4-carbamoylbutanoic acid.",[""GOC:ai""],false,#C52C4E,glutamine metabolic process
GO:0006542,biological_process,1,"The chemical reactions and pathways resulting in the formation of glutamine, 2-amino-4-carbamoylbutanoic acid.",[""GOC:ai""],false,#D53E4F,glutamine biosynthetic process
GO:0006725,biological_process,1,"The chemical reactions and pathways involving aromatic compounds, any organic compound characterized by one or more planar rings, each of which contains conjugated double bonds and delocalized pi electrons, as carried out by individual cells.","[""GOC:ai"",""ISBN:0198506732""]",false,#9E0142,cellular aromatic compound metabolic process
GO:0006753,biological_process,1,The chemical reactions and pathways involving any phosphorylated nucleoside.,[""GOC:mah""],false,#808080,nucleoside phosphate metabolic process
GO:0006754,biological_process,1,"The chemical reactions and pathways resulting in the formation of ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator.","[""GOC:go_curators"",""ISBN:0198506732""]",false,#808080,ATP biosynthetic process
GO:0006778,biological_process,1,The chemical reactions and pathways involving any member of a large group of derivatives or analogs of porphyrin. Porphyrins consists of a ring of four pyrrole nuclei linked each to the next at their alpha positions through a methine group.,"[""GOC:jl"",""ISBN:0198506732""]",false,#808080,porphyrin-containing compound metabolic process
GO:0006779,biological_process,1,The chemical reactions and pathways resulting in the formation of any member of a large group of derivatives or analogs of porphyrin. Porphyrin consists of a ring of four pyrrole nuclei linked each to the next at their alpha positions through a methine group.,"[""GOC:jl"",""ISBN:0198506732""]",false,#9E0142,porphyrin-containing compound biosynthetic process
GO:0006783,biological_process,1,"The chemical reactions and pathways resulting in the formation of heme, any compound of iron complexed in a porphyrin (tetrapyrrole) ring, from less complex precursors.",[""GOC:jl""],false,#B21749,heme biosynthetic process
GO:0006784,biological_process,1,"The chemical reactions and pathways resulting in the formation of heme a, a derivative of heme found in cytochrome aa3.","[""CHEBI:24479"",""GOC:ai""]",false,#B21749,heme a biosynthetic process
GO:0006793,biological_process,1,"The chemical reactions and pathways involving the nonmetallic element phosphorus or compounds that contain phosphorus, usually in the form of a phosphate group (PO4).",[""GOC:ai""],false,#808080,phosphorus metabolic process
GO:0006796,biological_process,1,"The chemical reactions and pathways involving the phosphate group, the anion or salt of any phosphoric acid.",[""GOC:ai""],false,#808080,phosphate-containing compound metabolic process
GO:0006807,biological_process,1,The chemical reactions and pathways involving organic or inorganic compounds that contain nitrogen.,"[""CHEBI:51143"",""GOC:go_curators"",""GOC:jl"",""ISBN:0198506732""]",false,#9E0142,nitrogen compound metabolic process
GO:0006808,biological_process,1,"Any process that modulates the frequency, rate or extent of nitrogen utilization.",[""GOC:go_curators""],false,#D53E4F,regulation of nitrogen utilization
GO:0006810,biological_process,1,"The directed movement of substances (such as macromolecules, small molecules, ions) or cellular components (such as complexes and organelles) into, out of or within a cell, or between cells, or within a multicellular organism by means of some agent such as a transporter, pore or motor protein.","[""GOC:dos"",""GOC:dph"",""GOC:jl"",""GOC:mah""]",false,#808080,transport
GO:0006811,biological_process,1,"The directed movement of charged atoms or small charged molecules into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.",[""GOC:ai""],false,#B21749,ion transport
GO:0006812,biological_process,1,"The directed movement of cations, atoms or small molecules with a net positive charge, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.",[""GOC:ai""],false,#808080,cation transport
GO:0006813,biological_process,1,"The directed movement of potassium ions (K+) into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.",[""GOC:ai""],false,#808080,potassium ion transport
GO:0006817,biological_process,1,"The directed movement of phosphate into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.",[""GOC:krc""],false,#C52C4E,phosphate ion transport
GO:0006820,biological_process,1,"The directed movement of anions, atoms or small molecules with a net negative charge, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.",[""GOC:ai""],false,#808080,anion transport
GO:0006835,biological_process,1,"The directed movement of dicarboxylic acids into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.",[""GOC:krc""],false,#B21749,dicarboxylic acid transport
GO:0006928,biological_process,1,"The directed, self-propelled movement of a cell or subcellular component without the involvement of an external agent such as a transporter or a pore.","[""GOC:dgh"",""GOC:dph"",""GOC:jl"",""GOC:mlg""]",false,#808080,movement of cell or subcellular component
GO:0006935,biological_process,1,"The directed movement of a motile cell or organism, or the directed growth of a cell guided by a specific chemical concentration gradient. Movement may be towards a higher concentration (positive chemotaxis) or towards a lower concentration (negative chemotaxis).",[""ISBN:0198506732""],false,#4861B0,chemotaxis
GO:0006950,biological_process,1,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a disturbance in organismal or cellular homeostasis, usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation).",[""GOC:mah""],false,#9E0142,response to stress
GO:0006996,biological_process,1,"A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of an organelle within a cell. An organelle is an organized structure of distinctive morphology and function. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton. Excludes the plasma membrane.",[""GOC:mah""],false,#808080,organelle organization
GO:0007154,biological_process,1,"Any process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment.",[""GOC:mah""],false,#808080,cell communication
GO:0007155,biological_process,1,"The attachment of a cell, either to another cell or to an underlying substrate such as the extracellular matrix, via cell adhesion molecules.","[""GOC:hb"",""GOC:pf""]",false,#D53E4F,cell adhesion
GO:0007165,biological_process,1,"The cellular process in which a signal is conveyed to trigger a change in the activity or state of a cell. Signal transduction begins with reception of a signal (e.g. a ligand binding to a receptor or receptor activation by a stimulus such as light), or for signal transduction in the absence of ligand, signal-withdrawal or the activity of a constitutively active receptor. Signal transduction ends with regulation of a downstream cellular process, e.g. regulation of transcription or regulation of a metabolic process. Signal transduction covers signaling from receptors located on the surface of the cell and signaling via molecules located within the cell. For signaling between cells, signal transduction is restricted to events at and within the receiving cell.","[""GOC:go_curators"",""GOC:mtg_signaling_feb11""]",false,#FDC16D,signal transduction
GO:0008104,biological_process,1,"Any process in which a protein is transported to, or maintained in, a specific location.",[""GOC:ai""],false,#808080,protein localization
GO:0008121,molecular_function,1,Enables the transfer of a solute or solutes from one side of a membrane to the other according to the reaction: CoQH2 + 2 ferricytochrome c = CoQ + 2 ferrocytochrome c + 2 H+.,"[""EC:1.10.2.2"",""ISBN:0198547684""]",false,#C52C4E,ubiquinol-cytochrome-c reductase activity
GO:0008134,molecular_function,1,"Interacting selectively and non-covalently with a transcription factor, a protein required to initiate or regulate transcription.",[""ISBN:0198506732""],false,#C52C4E,transcription factor binding
GO:0008144,molecular_function,1,"Interacting selectively and non-covalently with a drug, any naturally occurring or synthetic substance, other than a nutrient, that, when administered or applied to an organism, affects the structure or functioning of the organism; in particular, any such substance used in the diagnosis, prevention, or treatment of disease.","[""GOC:jl"",""ISBN:0198506732""]",false,#D53E4F,drug binding
GO:0008150,biological_process,1,"A biological process represents a specific objective that the organism is genetically programmed to achieve. Biological processes are often described by their outcome or ending state, e.g., the biological process of cell division results in the creation of two daughter cells (a divided cell) from a single parent cell. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence.",[""GOC:pdt""],false,#808080,biological_process
GO:0008152,biological_process,1,"The chemical reactions and pathways, including anabolism and catabolism, by which living organisms transform chemical substances. Metabolic processes typically transform small molecules, but also include macromolecular processes such as DNA repair and replication, and protein synthesis and degradation.","[""GOC:go_curators"",""ISBN:0198547684""]",false,#9E0142,metabolic process
GO:0008168,molecular_function,1,Catalysis of the transfer of a methyl group to an acceptor molecule.,[""ISBN:0198506732""],false,#B21749,methyltransferase activity
GO:0008171,molecular_function,1,Catalysis of the transfer of a methyl group to the oxygen atom of an acceptor molecule.,[""GOC:ai""],false,#808080,O-methyltransferase activity
GO:0008213,biological_process,1,The addition of an alkyl group to a protein amino acid. An alkyl group is any group derived from an alkane by removal of one hydrogen atom.,[""GOC:ma""],false,#808080,protein alkylation
GO:0008233,molecular_function,1,Catalysis of the hydrolysis of a peptide bond. A peptide bond is a covalent bond formed when the carbon atom from the carboxyl group of one amino acid shares electrons with the nitrogen atom from the amino group of a second amino acid.,"[""GOC:jl"",""ISBN:0815332181""]",false,#9E0142,peptidase activity
