"query id","subject ids","query acc.ver","subject acc.ver","% identity","alignment length",mismatches,"gap opens","q. start","q. end","s. start","s. end",evalue,"bit score",GI
Contig_23926,gi|594078857|ref|XM_006063054.1|,Contig_23926,XM_006063054.1,92.916,734,52,0,24,757,76,809,0,1090,594078857
Contig_23926,gi|27819613|ref|NM_174225.1|,Contig_23926,NM_174225.1,92.916,734,52,0,24,757,59,792,0,1090,27819613
Contig_23926,gi|955079757|ref|NM_001317258.1|,Contig_23926,NM_001317258.1,93.829,713,44,0,45,757,1,713,0,1088,955079757
Contig_23926,gi|686400487|dbj|AB608018.1|,Contig_23926,NM_001317258.1,93.829,713,44,0,45,757,1,713,0,1088,686400487
Contig_23926,gi|955510079|ref|XM_004426881.2|,Contig_23926,XM_004426881.2,94.302,702,40,0,56,757,67,768,0,1086,955510079
Contig_23926,gi|953844479|ref|XM_005602627.2|,Contig_23926,XM_005602627.2,94.302,702,40,0,56,757,73,774,0,1086,953844479
Contig_23926,gi|472370794|ref|XM_004404848.1|,Contig_23926,XM_004404848.1,94.302,702,40,0,56,757,68,769,0,1086,472370794
Contig_23926,gi|826338965|ref|XM_012660304.1|,Contig_23926,XM_012660304.1,92.906,733,51,1,25,757,61,792,0,1085,826338965
Contig_23926,gi|134024775|gb|BC134665.1|,Contig_23926,BC134665.1,92.779,734,53,0,24,757,51,784,0,1085,134024775
Contig_23926,gi|1059169390|ref|XM_017885605.1|,Contig_23926,XM_017885605.1,92.779,734,52,1,24,757,76,808,0,1081,1059169390
Contig_23926,gi|958765202|ref|XM_014860833.1|,Contig_23926,XM_014860833.1,94.16,702,41,0,56,757,73,774,0,1081,958765202
Contig_23926,gi|742110739|ref|XM_010838105.1|,Contig_23926,XM_010838105.1,92.643,734,54,0,24,757,106,839,0,1081,742110739
Contig_23926,gi|545494776|ref|XM_005618839.1|,Contig_23926,XM_005618839.1,92.779,734,52,1,24,757,110,842,0,1081,545494776
Contig_23926,gi|15214922|gb|BC012597.1|,Contig_23926,BC012597.1,93.213,722,49,0,36,757,73,794,0,1081,15214922
Contig_23926,gi|47078293|ref|NM_001100.3|,Contig_23926,NM_001100.3,93.213,722,49,0,36,757,71,792,0,1081,47078293
Contig_23926,gi|371924428|dbj|AK394681.1|,Contig_23926,AK394681.1,94.017,702,42,0,56,757,72,773,0,1077,371924428
Contig_23926,gi|533183978|ref|XM_005405008.1|,Contig_23926,XM_005405008.1,92.507,734,55,0,24,757,74,807,0,1076,533183978
Contig_23926,gi|1034078209|ref|XM_016940594.1|,Contig_23926,XM_016940594.1,92.936,722,51,0,36,757,88,809,0,1072,1034078209
Contig_23926,gi|931565547|ref|XM_003824459.3|,Contig_23926,XM_003824459.3,92.936,722,51,0,36,757,81,802,0,1072,931565547
Contig_23926,gi|635133072|ref|XM_007989745.1|,Contig_23926,XM_007989745.1,92.936,722,51,0,36,757,138,859,0,1072,635133072
Contig_23926,gi|268607670|ref|NM_001167795.1|,Contig_23926,NM_001167795.1,93.875,702,43,0,56,757,74,775,0,1072,268607670
Contig_23926,gi|197102393|ref|NM_001132414.1|,Contig_23926,NM_001132414.1,92.936,722,51,0,36,757,70,791,0,1072,197102393
Contig_23926,gi|55729547|emb|CR859327.1|,Contig_23926,NM_001132414.1,92.936,722,51,0,36,757,70,791,0,1072,55729547
Contig_23926,gi|178028|gb|J00068.1|HUMACTASK,Contig_23926,J00068.1,92.936,722,51,0,36,757,69,790,0,1072,178028
Contig_23926,gi|1060504437|ref|XM_003893792.3|,Contig_23926,XM_003893792.3,92.798,722,52,0,36,757,71,792,0,1068,1060504437
Contig_23926,gi|982221533|ref|XM_005539819.2|,Contig_23926,XM_005539819.2,92.798,722,52,0,36,757,100,821,0,1068,982221533
Contig_23926,gi|966923841|ref|XM_002802127.2|,Contig_23926,XM_002802127.2,92.798,722,52,0,36,757,88,809,0,1068,966923841
Contig_23926,gi|830191367|ref|XM_004693044.2|,Contig_23926,XM_004693044.2,93.732,702,44,0,56,757,39,740,0,1068,830191367
Contig_23926,gi|795482507|ref|XM_011771613.1|,Contig_23926,XM_011771613.1,92.798,722,52,0,36,757,88,809,0,1068,795482507
Contig_23926,gi|795121738|ref|XM_011933331.1|,Contig_23926,XM_011933331.1,92.798,722,52,0,36,757,71,792,0,1068,795121738
Contig_23926,gi|724877493|ref|XM_010374031.1|,Contig_23926,XM_010374031.1,92.798,722,52,0,36,757,86,807,0,1068,724877493
Contig_23926,gi|942056987|ref|XM_005896703.2|,Contig_23926,XM_005896703.2,93.723,701,44,0,57,757,747,1447,0,1067,942056987
Contig_23926,gi|512985581|ref|XM_004854689.1|,Contig_23926,XM_004854689.1,92.234,734,57,0,24,757,40,773,0,1067,512985581
Contig_23926,gi|123999233|gb|DQ896197.2|,Contig_23926,DQ896197.2,94.211,691,40,0,67,757,19,709,0,1067,123999233
Contig_23926,gi|123989281|gb|DQ892949.2|,Contig_23926,DQ892949.2,94.211,691,40,0,67,757,19,709,0,1067,123989281
Contig_23926,gi|208965785|dbj|AB463394.1|,Contig_23926,AB463394.1,94.331,688,39,0,70,757,9,696,0,1065,208965785
Contig_23926,gi|821415021|ref|XM_004281561.2|,Contig_23926,XM_004281561.2,94.075,692,41,0,66,757,2,693,0,1063,821415021
Contig_23926,gi|817289901|ref|XM_012459846.1|,Contig_23926,XM_012459846.1,92.659,722,53,0,36,757,81,802,0,1063,817289901
Contig_23926,gi|795473615|ref|XM_012036082.1|,Contig_23926,XM_012036082.1,92.659,722,53,0,36,757,87,808,0,1063,795473615
Contig_23926,gi|795253759|ref|XM_011999851.1|,Contig_23926,XM_011999851.1,92.659,722,53,0,36,757,71,792,0,1063,795253759
Contig_23926,gi|667306356|ref|XM_008584780.1|,Contig_23926,XM_008584780.1,94.323,687,39,0,71,757,1,687,0,1063,667306356
Contig_23926,gi|49456548|emb|CR541796.1|,Contig_23926,CR541796.1,94.323,687,39,0,71,757,1,687,0,1063,49456548
Contig_23926,gi|49168517|emb|CR536516.1|,Contig_23926,CR536516.1,94.323,687,39,0,71,757,1,687,0,1063,49168517
Contig_23926,gi|60832847|gb|AY893990.1|,Contig_23926,AY893990.1,94.323,687,39,0,71,757,1,687,0,1063,60832847
Contig_23926,gi|741977850|ref|XM_005226192.2|,Contig_23926,XM_005226192.2,93.581,701,45,0,57,757,115,815,0,1061,741977850
Contig_23926,gi|73587172|gb|BC102376.1|,Contig_23926,BC102376.1,93.581,701,45,0,57,757,121,821,0,1061,73587172
Contig_23926,gi|725599432|ref|XM_010351547.1|,Contig_23926,XM_010351547.1,92.521,722,54,0,36,757,91,812,0,1059,725599432
Contig_23926,gi|649148621|gb|KJ904413.1|,Contig_23926,KJ904413.1,94.194,689,39,1,69,757,64,751,0,1059,649148621
Contig_23926,gi|602704363|ref|XM_007446709.1|,Contig_23926,XM_007446709.1,94.178,687,40,0,71,757,1,687,0,1059,602704363
Contig_23926,gi|759196506|ref|XM_011386451.1|,Contig_23926,XM_011386451.1,93.678,696,44,0,62,757,1,696,0,1058,759196506
Contig_23926,gi|731496911|ref|XM_003415221.2|,Contig_23926,XM_003415221.2,93.678,696,44,0,62,757,1,696,0,1058,731496911
Contig_23926,gi|556775649|ref|XM_005982877.1|,Contig_23926,XM_005982877.1,93.438,701,46,0,57,757,122,822,0,1058,556775649
Contig_23926,gi|1060961302|ref|XM_002760568.4|,Contig_23926,XM_002760568.4,92.382,722,55,0,36,757,86,807,0,1054,1060961302
Contig_23926,gi|829764390|ref|XM_012764344.1|,Contig_23926,XM_012764344.1,91.951,733,58,1,25,757,72,803,0,1052,829764390
Contig_23926,gi|664748945|ref|XM_008533651.1|,Contig_23926,XM_008533651.1,89.895,762,47,1,26,757,67,828,0,1050,664748945
Contig_23926,gi|1012225157|ref|XM_016163442.1|,Contig_23926,XM_016163442.1,91.837,735,56,3,25,757,340,1072,0,1047,1012225157
Contig_23926,gi|731211192|ref|XM_010621912.1|,Contig_23926,XM_010621912.1,91.452,737,60,1,24,757,92,828,0,1043,731211192
Contig_23926,gi|395836163|ref|XM_003790986.1|,Contig_23926,XM_003790986.1,91.84,723,59,0,35,757,64,786,0,1038,395836163
Contig_23926,gi|829764395|ref|XM_012764345.1|,Contig_23926,XM_012764345.1,92.735,702,51,0,56,757,91,792,0,1036,829764395
Contig_23926,gi|1044352712|ref|XM_017526492.1|,Contig_23926,XM_017526492.1,91.69,722,60,0,36,757,155,876,0,1032,1044352712
Contig_23926,gi|641732922|ref|XM_008158627.1|,Contig_23926,XM_008158627.1,92.929,693,49,0,65,757,1,693,0,1029,641732922
Contig_23926,gi|471404022|ref|XM_004384121.1|,Contig_23926,XM_004384121.1,93.169,688,47,0,70,757,6,693,0,1029,471404022
Contig_23926,gi|664748947|ref|XM_008533652.1|,Contig_23926,XM_008533652.1,90.437,732,40,1,56,757,77,808,0,1027,664748947
Contig_23926,gi|884925707|ref|XM_003473386.3|,Contig_23926,XM_003473386.3,90.736,734,68,0,24,757,69,802,0,1018,884925707
Contig_23926,gi|507551877|ref|XM_004659681.1|,Contig_23926,XM_004659681.1,92.63,692,51,0,66,757,2,693,0,1018,507551877
Contig_23926,gi|1016643889|ref|XM_016196034.1|,Contig_23926,XM_016196034.1,90.723,733,68,0,25,757,59,791,0,1016,1016643889
Contig_23926,gi|914901521|ref|XM_005320386.2|,Contig_23926,XM_005320386.2,90.625,736,69,0,22,757,276,1011,0,1016,914901521
Contig_23926,gi|507687627|ref|XM_004712162.1|,Contig_23926,XM_004712162.1,92.341,692,53,0,66,757,2,693,0,1009,507687627
Contig_23926,gi|744593905|ref|XM_010989875.1|,Contig_23926,XM_010989875.1,91.595,702,47,1,56,757,22,711,0,1007,744593905
Contig_23926,gi|1051041420|ref|XM_008845773.2|,Contig_23926,XM_008845773.2,91.738,702,58,0,56,757,106,807,0,1005,1051041420
Contig_23926,gi|1022985065|ref|XM_003340176.3|,Contig_23926,XM_003340176.3,90.769,715,66,0,43,757,94,808,0,993,1022985065
Contig_23926,gi|914901522|ref|XM_005320387.2|,Contig_23926,XM_005320387.2,91.311,702,61,0,56,757,212,913,0,991,914901522
Contig_23926,gi|586476162|ref|XM_006868572.1|,Contig_23926,XM_006868572.1,91.763,692,57,0,66,757,2,693,0,991,586476162
Contig_23926,gi|617665423|ref|XM_007538840.1|,Contig_23926,XM_007538840.1,90.318,723,70,0,35,757,63,785,0,989,617665423
Contig_23926,gi|594668819|ref|XM_007182365.1|,Contig_23926,XM_007182365.1,92.377,669,51,0,24,692,73,741,0,976,594668819
Contig_23926,gi|913489713|ref|XM_005345864.2|,Contig_23926,XM_005345864.2,90.741,702,65,0,56,757,33,734,0,973,913489713
Contig_23926,gi|507686783|ref|XM_004640807.1|,Contig_23926,XM_004640807.1,91.185,692,61,0,66,757,2,693,0,973,507686783
Contig_23926,gi|4587216|dbj|AB021650.1|,Contig_23926,AB021650.1,91.172,691,61,0,67,757,44,734,0,971,4587216
Contig_23926,gi|589956784|ref|XM_006990937.1|,Contig_23926,XM_006990937.1,90.598,702,66,0,56,757,86,787,0,969,589956784
Contig_23926,gi|4587220|dbj|AB021652.1|,Contig_23926,AB021652.1,91.027,691,62,0,67,757,4,694,0,967,4587220
Contig_23926,gi|634841671|ref|XM_007938501.1|,Contig_23926,XM_007938501.1,90.751,692,64,0,66,757,2,693,0,960,634841671
Contig_23926,gi|15928833|gb|BC014877.1|,Contig_23926,BC014877.1,90.313,702,68,0,56,757,43,744,0,960,15928833
Contig_23926,gi|439253892|ref|NM_001272041.1|,Contig_23926,NM_001272041.1,90.057,704,70,0,54,757,170,873,0,955,439253892
Contig_23926,gi|439253889|ref|NM_009606.3|,Contig_23926,NM_009606.3,90.171,702,69,0,56,757,82,783,0,955,439253889
Contig_23926,gi|26080631|dbj|AK027919.1|,Contig_23926,AK027919.1,90.171,702,69,0,56,757,58,759,0,955,26080631
Contig_23926,gi|30268606|dbj|AB086242.1|,Contig_23926,AB086242.1,90.83,687,63,0,71,757,1,687,0,955,30268606
Contig_23926,gi|191642|gb|M12866.1|MUSACSM,Contig_23926,M12866.1,90.171,702,69,0,56,757,36,737,0,955,191642
