"query id","subject ids","query acc.ver","subject acc.ver","% identity","alignment length",mismatches,"gap opens","q. start","q. end","s. start","s. end",evalue,"bit score",GI
Contig_17280,gi|374671780|ref|NR_046271.1|;gi|18369730|emb|AJ311673.1|,Contig_17280,NR_046271.1,100,477,0,0,1,477,1716,1240,0,861,"374671780; 18369730"
Contig_17280,gi|337377|gb|K03432.1|HUMRGEA,Contig_17280,K03432.1,100,477,0,0,1,477,1878,1402,0,861,337377
Contig_17280,gi|337376|gb|M10098.1|HUMRGE,Contig_17280,M10098.1,100,477,0,0,1,477,1838,1362,0,861,337376
Contig_17280,gi|206631|gb|M11188.1|RATRGEA,Contig_17280,M11188.1,100,477,0,0,1,477,1749,1273,0,861,206631
Contig_17280,gi|36162|emb|X03205.1|;gi|672884471|pdb|4UQ4|1;gi|672884505|pdb|4UQ5|1;gi|958159612|pdb|5A8L|B,Contig_17280,X03205.1,100,477,0,0,1,477,1737,1261,0,861,"36162; 672884471; 672884505; 958159612"
Contig_17280,gi|644985589|tpe|HG982138.1|,Contig_17280,HG982138.1,99.79,477,1,0,1,477,1139,663,0,856,644985589
Contig_17280,gi|577019615|ref|NR_046233.2|,Contig_17280,NR_046233.2,99.79,477,1,0,1,477,5744,5268,0,856,577019615
Contig_17280,gi|511668571|tpg|BK000964.3|,Contig_17280,BK000964.3,99.79,477,1,0,1,477,5744,5268,0,856,511668571
Contig_17280,gi|374253766|ref|NG_032038.1|,Contig_17280,NG_032038.1,99.79,477,1,0,1,477,1843,1367,0,856,374253766
Contig_17280,gi|374088232|ref|NR_003278.3|,Contig_17280,NR_003278.3,99.79,477,1,0,1,477,1737,1261,0,856,374088232
Contig_17280,gi|371917048|dbj|AK399122.1|,Contig_17280,AK399122.1,100,474,0,0,1,474,474,1,0,856,371917048
Contig_17280,gi|84365506|emb|CT010467.6|,Contig_17280,CT010467.6,99.79,477,1,0,1,477,65959,66435,0,856,84365506
Contig_17280,gi|1261918|emb|X82564.1|,Contig_17280,X82564.1,99.79,477,1,0,1,477,11379,10903,0,856,1261918
Contig_17280,gi|53990|emb|X00686.1|,Contig_17280,X00686.1,99.79,477,1,0,1,477,1737,1261,0,856,53990
Contig_17280,gi|485601472|pdb|3J3D|2,Contig_17280,3J3D_2,99.581,477,2,0,1,477,1737,1261,0,854,485601472
Contig_17280,gi|18025948|gb|AY046772.1|,Contig_17280,AY046772.1,99.791,478,0,1,1,477,1113,636,0,854,18025948
Contig_17280,gi|74211473|dbj|AK145507.1|,Contig_17280,AK145507.1,99.791,478,0,1,1,477,1140,663,0,854,74211473
Contig_17280,gi|531997081|gb|KC876029.1|,Contig_17280,KC876029.1,99.79,477,0,1,1,477,28204,28679,0,852,531997081
Contig_17280,gi|531997080|gb|KC876028.1|,Contig_17280,KC876028.1,99.581,477,2,0,1,477,36379,36855,0,852,531997080
Contig_17280,gi|371913276|dbj|AK392932.1|,Contig_17280,AK392932.1,99.581,477,2,0,1,477,826,350,0,852,371913276
Contig_17280,gi|343957432|gb|HQ438181.1|,Contig_17280,HQ438181.1,99.581,477,2,0,1,477,1619,1143,0,852,343957432
Contig_17280,gi|336126652|gb|HQ658084.1|,Contig_17280,HQ658084.1,99.581,477,2,0,1,477,1738,1262,0,852,336126652
Contig_17280,gi|91974411|gb|DQ430733.1|,Contig_17280,DQ430733.1,99.581,477,2,0,1,477,501,25,0,852,91974411
Contig_17280,gi|1048348539|pdb|5K0Y|A,Contig_17280,5K0Y_A,99.581,477,1,1,1,477,1645,1170,0,848,1048348539
Contig_17280,gi|18025958|gb|AY046782.1|,Contig_17280,AY046782.1,99.581,477,1,1,1,477,1113,638,0,848,18025958
Contig_17280,gi|555853|gb|U13369.1|HSU13369,Contig_17280,U13369.1,99.582,479,0,2,1,477,5395,4917,0,848,555853
Contig_17280,gi|283837872|ref|NR_033238.1|;gi|1707|emb|X06778.1|,Contig_17280,NR_033238.1,99.581,477,1,1,1,477,1732,1257,0,848,"283837872; 1707"
Contig_17280,gi|902711425|gb|KP780173.1|,Contig_17280,KP780173.1,99.371,477,3,0,1,477,1736,1260,0,847,902711425
Contig_17280,gi|531997082|gb|KC876030.1|,Contig_17280,KC876030.1,99.371,477,3,0,1,477,21113,21589,0,847,531997082
Contig_17280,gi|18025935|gb|AY046759.1|,Contig_17280,AY046759.1,99.371,477,3,0,1,477,1113,637,0,847,18025935
Contig_17280,gi|531997079|gb|KC876027.1|,Contig_17280,KC876027.1,99.161,477,4,0,1,477,33321,33797,0,843,531997079
Contig_17280,gi|32452403|dbj|AB048358.1|,Contig_17280,AB048358.1,100,467,0,0,11,477,721,255,0,843,32452403
Contig_17280,gi|529281383|pdb|4KZX|II;gi|529281418|pdb|4KZY|II;gi|529281454|pdb|4KZZ|II,Contig_17280,4KZX_II,99.161,477,3,1,1,477,1732,1257,0,841,"529281383; 529281418; 529281454"
Contig_17280,gi|300422603|dbj|AB571241.1|,Contig_17280,AB571241.1,100,466,0,0,12,477,1364,899,0,841,300422603
Contig_17280,gi|374429560|ref|NR_046239.1|;gi|2624399|emb|V01270.1|,Contig_17280,NR_046239.1,99.374,479,0,3,1,477,1742,1265,0,839,"374429560; 2624399"
Contig_17280,gi|374429558|ref|NR_046237.1|;gi|57149|emb|X01117.1|,Contig_17280,NR_046237.1,99.374,479,0,3,1,477,1742,1265,0,839,"374429558; 57149"
Contig_17280,gi|347565615|gb|JN141100.1|;gi|347565618|gb|JN141103.1|;gi|347565619|gb|JN141104.1|;gi|347565620|gb|JN141105.1|;gi|347565622|gb|JN141107.1|;gi|347565623|gb|JN141108.1|;gi|347565625|gb|JN141110.1|;gi|347565626|gb|JN141111.1|;gi|347565649|gb|JN141134.1|;gi|347565652|gb|JN141137.1|,Contig_17280,JN141100.1,99.786,467,1,0,11,477,519,53,0,838,"347565615; 347565618; 347565619; 347565620; 347565622; 347565623; 347565625; 347565626; 347565649; 347565652"
Contig_17280,gi|225692163|gb|FJ809787.1|,Contig_17280,FJ809787.1,98.952,477,3,1,1,477,1737,1263,0,836,225692163
Contig_17280,gi|18369781|emb|AJ311678.1|,Contig_17280,AJ311678.1,98.952,477,3,1,1,477,1736,1262,0,836,18369781
Contig_17280,gi|18369780|emb|AJ311676.1|,Contig_17280,AJ311676.1,98.952,477,3,1,1,477,1738,1264,0,836,18369780
Contig_17280,gi|18369733|emb|AJ311677.1|,Contig_17280,AJ311677.1,98.952,477,3,1,1,477,1738,1264,0,836,18369733
Contig_17280,gi|347565630|gb|JN141115.1|,Contig_17280,JN141115.1,99.572,467,2,0,11,477,519,53,0,834,347565630
Contig_17280,gi|347565624|gb|JN141109.1|,Contig_17280,JN141109.1,99.572,467,2,0,11,477,519,53,0,834,347565624
Contig_17280,gi|347566438|gb|JN141923.1|;gi|347566461|gb|JN141946.1|;gi|347566467|gb|JN141952.1|;gi|347566470|gb|JN141955.1|;gi|347566481|gb|JN141966.1|;gi|347566505|gb|JN141990.1|;gi|347566512|gb|JN141997.1|;gi|347566513|gb|JN141998.1|;gi|347566525|gb|JN142010.1|;gi|347566536|gb|JN142021.1|;gi|347566545|gb|JN142030.1|;gi|347566547|gb|JN142032.1|;gi|347566549|gb|JN142034.1|;gi|347566572|gb|JN142057.1|;gi|347566576|gb|JN142061.1|;gi|347566579|gb|JN142064.1|;gi|347566585|gb|JN142070.1|,Contig_17280,JN141923.1,99.572,467,1,1,12,477,519,53,0,830,"347566438; 347566461; 347566467; 347566470; 347566481; 347566505; 347566512; 347566513; 347566525; 347566536; 347566545; 347566547; 347566549; 347566572; 347566576; 347566579; 347566585"
Contig_17280,gi|160966320|gb|EU253952.1|,Contig_17280,EU253952.1,100,460,0,0,18,477,489,30,0,830,160966320
Contig_17280,gi|987262054|gb|KT445934.2|,Contig_17280,KT445934.2,98.532,477,4,1,1,477,3528,3055,0,827,987262054
Contig_17280,gi|840932872|emb|LK077046.1|,Contig_17280,LK077046.1,98.532,477,4,1,1,477,3343,2870,0,827,840932872
Contig_17280,gi|840932872|emb|LK077046.1|,Contig_17280,LK077046.1,98.532,477,4,1,1,477,14862,14389,0,827,840932872
Contig_17280,gi|840932872|emb|LK077046.1|,Contig_17280,LK077046.1,97.214,323,6,1,1,323,6980,6661,3.17E-150,542,840932872
Contig_17280,gi|218047175|emb|FM165414.1|,Contig_17280,FM165414.1,98.532,477,4,1,1,477,1681,1208,0,827,218047175
Contig_17280,gi|15011540|gb|AF397157.1|AF397157,Contig_17280,AF397157.1,98.742,477,3,2,1,477,46,519,0,827,15011540
Contig_17280,gi|7262899|gb|AF173612.1|AF173612,Contig_17280,AF173612.1,98.532,477,4,1,1,477,1651,1178,0,827,7262899
Contig_17280,gi|7262898|gb|AF173611.1|AF173611,Contig_17280,AF173611.1,98.532,477,4,1,1,477,1651,1178,0,827,7262898
Contig_17280,gi|7262893|gb|AF173606.1|;gi|7262894|gb|AF173607.1|;gi|7262895|gb|AF173608.1|;gi|7262896|gb|AF173609.1|;gi|7262897|gb|AF173610.1|,Contig_17280,AF173606.1,98.532,477,4,1,1,477,1651,1178,0,827,"7262893; 7262894; 7262895; 7262896; 7262897"
Contig_17280,gi|347566541|gb|JN142026.1|,Contig_17280,JN142026.1,99.358,467,2,1,12,477,519,53,0,825,347566541
Contig_17280,gi|347566530|gb|JN142015.1|,Contig_17280,JN142015.1,99.358,467,2,1,12,477,519,53,0,825,347566530
Contig_17280,gi|347566448|gb|JN141933.1|;gi|347566514|gb|JN141999.1|;gi|347566562|gb|JN142047.1|,Contig_17280,JN141933.1,99.358,467,2,1,12,477,519,53,0,825,"347566448; 347566514; 347566562"
Contig_17280,gi|347566503|gb|JN141988.1|,Contig_17280,JN141988.1,99.358,467,2,1,12,477,519,53,0,825,347566503
Contig_17280,gi|347566501|gb|JN141986.1|,Contig_17280,JN141986.1,99.358,467,2,1,12,477,519,53,0,825,347566501
